mapId,id,label,xPos,yPos,destination,destinationLabel,script,flags
1010300,2,"sp",353,-774,999999999,"","",""
1010300,3,"sp",213,-763,999999999,"","",""
1010300,4,"out00",455,-749,1010000,"in00","","only_once"
1010400,0,"sp",315,-760,999999999,"","",""
1010400,1,"sp",287,-787,999999999,"","",""
1010400,2,"sp",353,-774,999999999,"","",""
1010400,3,"sp",213,-763,999999999,"","",""
1010400,4,"out00",455,-749,1010000,"in00","","only_once"
1020000,0,"sp",-91,181,999999999,"","",""
1020000,1,"east00",701,209,2000000,"west00","","only_once"
1020000,2,"west00",-136,212,1010000,"east00","",""
1020000,3,"top00",316,41,1020000,"bottom00","",""
1020000,4,"bottom00",174,217,1020000,"top00","",""
1020001,0,"sp",-110,-199,999999999,"","",""
1020001,1,"sp",561,-305,999999999,"","",""
1020001,2,"sp",-181,94,999999999,"","",""
1020001,3,"sp",-348,106,999999999,"","",""
1020001,4,"sp",1095,-304,999999999,"","",""
1020001,5,"sp",121,-293,999999999,"","",""
1020001,6,"out00",-335,210,1020000,"in00","",""
1020100,0,"sp",179,1,999999999,"","",""
1020200,0,"sp",177,79,999999999,"","",""
1020300,0,"sp",190,76,999999999,"","",""
1020400,0,"sp",205,90,999999999,"","",""
1020500,0,"sp",205,89,999999999,"","",""
2000000,0,"sp",71,432,999999999,"","",""
2000000,1,"west00",-18,523,1020000,"east00","","only_once"
2000000,2,"in00",930,524,2000001,"out00","","only_once"
2000000,3,"tp",897,40,999999999,"","",""
2000000,4,"tp",805,40,999999999,"","",""
2000000,5,"tp",985,40,999999999,"","",""
2000000,6,"tp",528,42,999999999,"","",""
2000000,7,"tp",613,39,999999999,"","",""
2000000,8,"tp",716,39,999999999,"","",""
2000001,0,"sp",-114,115,999999999,"","",""
2000001,1,"out00",-48,181,2000000,"in00","","only_once"
2010000,0,"sp",0,0,999999999,"","",""
100000000,0,"sp",112,197,999999999,"","",""
100000000,1,"sp",1473,260,999999999,"","",""
100000000,2,"sp",1928,213,999999999,"","",""
100000000,3,"sp",2741,259,999999999,"","",""
100000000,4,"sp",3827,368,999999999,"","",""
100000000,5,"sp",4024,67,999999999,"","",""
100000000,6,"sp",4281,395,999999999,"","",""
100000000,7,"sp",4690,300,999999999,"","",""
100000000,8,"sp",5634,402,999999999,"","",""
100000000,9,"sp",5094,-155,999999999,"","",""
100000000,10,"sp",5653,-213,999999999,"","",""
100000000,11,"in03",318,-75,100000002,"out00","",""
100000000,12,"hp00",1302,93,100000000,"hp00_1","",""
100000000,13,"hp00_1",5169,92,100000000,"hp00","",""
100000000,14,"up00",312,64,100000000,"in03","",""
100000000,15,"gm00",3572,120,999999999,"","",""
100000000,16,"gm01",5469,450,999999999,"","",""
100000000,17,"gm02",5907,-183,999999999,"","",""
100000000,18,"gm03",1700,329,999999999,"","",""
100000000,19,"gm04",646,269,999999999,"","",""
100000000,20,"west00",-922,272,104040000,"east00","",""
100000000,21,"east00",5907,455,100010000,"west00","",""
100000000,22,"east10",6073,-176,106010000,"west00","",""
100000000,23,"in00",3026,335,100000100,"out00","",""
100000000,24,"in01",3848,124,100000200,"out00","",""
100000000,25,"in02",5136,453,100000001,"out02","",""
100000000,26,"hp01",-377,273,100000000,"hp01_1","",""
100000000,27,"hp01_1",5801,454,100000000,"hp01","",""
100000000,28,"tp",2786,333,999999999,"","",""
100000000,29,"tp",3148,333,999999999,"","",""
100000000,30,"tp",3219,334,999999999,"","",""
100000000,31,"tp",3290,335,999999999,"","",""
100000000,32,"tp",3360,333,999999999,"","",""
100000000,33,"tp",2864,333,999999999,"","",""
100000001,0,"sp",364,204,999999999,"","",""
100000001,1,"out02",202,242,100000000,"in02","",""
100000002,0,"sp",66,-266,999999999,"","",""
100000002,1,"sp",134,-269,999999999,"","",""
100000002,2,"sp",204,-264,999999999,"","",""
100000002,3,"up00",-28,-183,100000002,"out00","",""
100000002,4,"TD00",-1094,214,999999999,"","TD_MC_first",""
100000002,5,"in00",-871,-296,100000003,"out00","",""
100000002,6,"out00",-16,-341,100000000,"in03","",""
100000003,0,"sp",96,-233,999999999,"","",""
100000003,1,"sp",1768,-334,999999999,"","",""
100000003,2,"sp",1901,-332,999999999,"","",""
100000003,3,"in02",1212,-10,100000006,"st00","",""
100000003,4,"st00",1800,-266,999999999,"","",""
100000003,5,"out00",-6,-146,100000002,"in00","",""
100000003,6,"in00",3581,-326,100000004,"out00","",""
100000003,7,"in01",2299,-4,100000006,"st00","",""
100000004,0,"sp",1725,-141,999999999,"","",""
100000004,1,"sp",2471,-360,999999999,"","",""
100000004,2,"sp",1901,-332,999999999,"","",""
100000004,3,"in00",2797,-1344,100000005,"out00","",""
100000004,4,"out00",1911,-27,100000003,"in00","",""
100000005,0,"sp",-1086,123,999999999,"","",""
100000005,1,"sp",-805,-160,999999999,"","",""
100000005,2,"sp",-805,-345,999999999,"","",""
100000005,3,"sp",-675,-480,999999999,"","",""
100000005,4,"out00",-809,-446,100000004,"in00","",""
100000006,0,"sp",-813,132,999999999,"","",""
100000006,1,"st00",-744,209,999999999,"","",""
100000006,2,"out00",-830,-446,100000003,"st00","",""
100000100,0,"sp",-144,84,999999999,"","",""
100000100,1,"sp",646,47,999999999,"","",""
100000100,2,"sp",1711,150,999999999,"","",""
100000100,3,"sp",1937,-107,999999999,"","",""
100000100,4,"sp",2415,151,999999999,"","",""
100000100,5,"sp",2461,-103,999999999,"","",""
100000100,6,"sp",3129,2,999999999,"","",""
100000100,7,"sp",3290,-165,999999999,"","",""
100000100,8,"sp",3998,25,999999999,"","",""
100000100,9,"sp",3933,-231,999999999,"","",""
100000100,10,"sp",4633,21,999999999,"","",""
100000100,11,"h_east",3354,98,100000100,"h_west","",""
100000100,12,"h_west",1338,215,100000100,"h_east","",""
100000100,13,"st00",727,151,999999999,"","",""
100000100,14,"out00",-288,155,100000000,"in00","",""
100000100,15,"out01",4847,95,100000200,"out01","",""
100000100,16,"in00",1889,212,100000101,"out00","",""
100000100,17,"in01",2913,-117,100000102,"out01","",""
100000100,18,"in04",4191,-179,100000103,"out00","",""
100000100,19,"in05",4165,94,100000104,"out00","",""
100000100,20,"in06",3653,91,100000105,"out00","",""
100000100,21,"market00",838,155,999999999,"","market01",""
100000100,22,"hp00",-219,153,100000100,"hp00_1","",""
100000100,23,"hp00_1",4751,92,100000100,"hp00","",""
100000101,0,"sp",186,104,999999999,"","",""
100000101,1,"sp",302,96,999999999,"","",""
100000101,2,"sp",351,95,999999999,"","",""
100000101,3,"sp",-1,110,999999999,"","",""
100000101,4,"sp",-74,107,999999999,"","",""
100000101,5,"sp",-81,-221,999999999,"","",""
100000101,6,"sp",-24,-225,999999999,"","",""
100000101,7,"sp",66,-411,999999999,"","",""
100000101,8,"sp",188,-180,999999999,"","",""
100000101,9,"out00",244,180,100000100,"in00","",""
100000102,0,"sp",-114,115,999999999,"","",""
100000102,1,"sp",126,28,999999999,"","",""
100000102,2,"out01",300,182,100000100,"in01","",""
100000103,0,"sp",-197,118,999999999,"","",""
100000103,1,"sp",-358,113,999999999,"","",""
100000103,2,"sp",316,115,999999999,"","",""
100000103,3,"sp",258,129,999999999,"","",""
100000103,4,"sp",366,128,999999999,"","",""
100000103,5,"sp",-127,-81,999999999,"","",""
100000103,6,"sp",-45,-82,999999999,"","",""
100000103,7,"sp",28,-78,999999999,"","",""
100000103,8,"sp",114,-82,999999999,"","",""
100000103,9,"sp",-282,-42,999999999,"","",""
100000103,10,"sp",-225,-44,999999999,"","",""
100000103,11,"out00",-288,179,100000100,"in04","",""
100000104,0,"sp",301,164,999999999,"","",""
100000104,1,"sp",-348,152,999999999,"","",""
100000104,2,"sp",183,168,999999999,"","",""
100000104,3,"sp",121,163,999999999,"","",""
100000104,4,"sp",-165,152,999999999,"","",""
100000104,5,"out00",340,179,100000100,"in05","",""
100000105,0,"sp",246,153,999999999,"","",""
100000105,1,"sp",191,159,999999999,"","",""
100000105,2,"sp",-314,139,999999999,"","",""
100000105,3,"sp",-275,153,999999999,"","",""
100000105,4,"sp",-63,170,999999999,"","",""
100000105,5,"out00",340,179,100000100,"in06","",""
100000200,0,"sp",27,300,999999999,"","",""
100000200,1,"sp",702,332,999999999,"","",""
100000200,2,"sp",1118,489,999999999,"","",""
100000200,3,"sp",1613,245,999999999,"","",""
100000200,4,"sp",1791,509,999999999,"","",""
100000200,5,"sp",2429,525,999999999,"","",""
100000200,6,"sp",2909,502,999999999,"","",""
100000200,7,"sp",3462,561,999999999,"","",""
100000200,8,"sp",2060,344,999999999,"","",""
100000200,9,"in02",3941,693,999999999,"","enterAchter",""
100000200,10,"hide01",197,452,100000200,"hide02","",""
100000200,11,"hide02",3419,301,100000200,"hide01","",""
100000200,12,"hide03",1622,574,100000200,"in01","",""
100000200,13,"in01",1728,302,100000202,"out00","",""
100000200,14,"event00",1255,415,999999999,"","",""
100000200,15,"event01",1269,565,999999999,"","",""
100000200,16,"event02",1379,566,999999999,"","",""
100000200,17,"wd00",2934,569,999999999,"","",""
100000200,18,"out00",41,455,100000000,"in01","",""
100000200,19,"out01",910,424,100000100,"out01","",""
100000200,20,"in00",4473,692,100000203,"out00","",""
100000201,0,"sp",49,112,999999999,"","",""
100000201,1,"sp",105,118,999999999,"","",""
100000201,2,"sp",160,117,999999999,"","",""
100000201,3,"sp",227,115,999999999,"","",""
100000201,4,"sp",-11,105,999999999,"","",""
100000201,5,"sp",-219,-63,999999999,"","",""
100000201,6,"sp",-186,-61,999999999,"","",""
100000201,7,"sp",-135,-63,999999999,"","",""
100000201,8,"sp",-63,-57,999999999,"","",""
100000201,9,"out02",270,180,100000200,"in02","",""
100000201,10,"rank00",-323,181,999999999,"","rankRoom",""
100000201,11,"tutorial",155,137,999999999,"","tutorialNPC","only_once"
100000202,0,"sp",-155,-5,999999999,"","",""
100000202,1,"sp",-80,1,999999999,"","",""
100000202,2,"sp",5,-1,999999999,"","",""
100000202,3,"sp",75,-7,999999999,"","",""
100000202,4,"sp",163,-5,999999999,"","",""
100000202,5,"out00",43,-147,100000200,"in01","",""
100000202,6,"h001",-377,152,100000202,"out00","",""
100000202,7,"h002",813,152,100000202,"h003","",""
100000202,8,"h003",798,-328,100000202,"h004","",""
100000202,9,"h004",855,-725,999999999,"","",""
100000202,10,"h005",-1689,-1627,100000202,"h006","",""
100000202,11,"h006",-1976,233,999999999,"","",""
100000203,0,"sp",905,-327,999999999,"","",""
100000203,1,"sp",-400,-149,999999999,"","",""
100000203,2,"sp",-700,232,999999999,"","",""
100000203,3,"sp",-412,-721,999999999,"","",""
100000203,4,"sp",565,-743,999999999,"","",""
100000203,5,"sp",713,-1049,999999999,"","",""
100000203,6,"sp",-183,-1013,999999999,"","",""
100000203,7,"sp",-636,-1000,999999999,"","",""
100000203,8,"sp",-415,-1730,999999999,"","",""
100000203,9,"sp",151,-1742,999999999,"","",""
100000203,10,"up01",17,274,100000203,"up02","",""
100000203,11,"up02",9,63,100000203,"up03","",""
100000203,12,"up03",21,-114,100000203,"up04","",""
100000203,13,"up04",8,-297,100000203,"up05","",""
100000203,14,"up05",17,-477,100000203,"up06","",""
100000203,15,"up06",14,-657,100000203,"up07","","only_once"
100000203,16,"up07",14,-957,100000203,"up06","","only_once"
100000203,17,"h002_1",-563,-1678,100000203,"h002","",""
100000203,18,"out00",596,333,100000200,"in00","",""
100000203,19,"h001",1189,212,100000203,"h001_1","",""
100000203,20,"h001_1",589,-958,100000203,"h001","",""
100000203,21,"h002",-912,272,100000203,"h002_1","",""
100000204,0,"sp",-212,141,999999999,"","",""
100000204,1,"sp",-141,141,999999999,"","",""
100000204,2,"out00",-332,157,100000201,"rank00","","only_once"
100000205,0,"sp",-212,141,999999999,"","",""
100000205,1,"sp",-141,141,999999999,"","",""
100000205,2,"out00",-332,157,100000201,"rank00","","only_once"
100010000,0,"sp",-580,305,999999999,"","",""
100010000,1,"sp",-485,300,999999999,"","",""
100010000,2,"sp",-397,297,999999999,"","",""
100010000,3,"sp",-322,143,999999999,"","",""
100010000,4,"sp",-214,291,999999999,"","",""
100010000,5,"sp",-123,290,999999999,"","",""
100010000,6,"sp",1434,264,999999999,"","",""
100010000,7,"sp",1529,270,999999999,"","",""
100010000,8,"sp",1617,268,999999999,"","",""
100010000,9,"sp",1701,264,999999999,"","",""
100010000,10,"sp",1776,259,999999999,"","",""
100010000,11,"sp",1853,260,999999999,"","",""
100010000,12,"sp",1918,259,999999999,"","",""
100010000,13,"sp",1371,264,999999999,"","",""
100010000,14,"st000",-390,150,999999999,"","",""
100010000,15,"west00",-542,457,100000000,"east00","",""
100010000,16,"east00",1855,456,100020000,"west00","",""
100010000,17,"in00",1673,-360,100010100,"out00","",""
100010100,0,"sp",-580,305,999999999,"","",""
100010100,1,"sp",-485,300,999999999,"","",""
100010100,2,"sp",-397,297,999999999,"","",""
100010100,3,"sp",-300,287,999999999,"","",""
100010100,4,"sp",-214,291,999999999,"","",""
100010100,5,"out00",-516,452,100010000,"in00","",""
100020000,0,"sp",-647,190,999999999,"","",""
100020000,1,"sp",-540,191,999999999,"","",""
100020000,2,"sp",-465,190,999999999,"","",""
100020000,3,"sp",1372,178,999999999,"","",""
100020000,4,"sp",1440,175,999999999,"","",""
100020000,5,"sp",1506,181,999999999,"","",""
100020000,6,"west00",-580,210,100010000,"east00","",""
100020000,7,"east00",1444,215,100030000,"west00","",""
100020000,8,"MD00",720,-175,999999999,"","MD_pig",""
100020100,0,"sp",-180,-150,999999999,"","",""
100020100,1,"sp",-182,-9,999999999,"","",""
100020100,2,"sp",91,-133,999999999,"","",""
100020100,3,"sp",92,-6,999999999,"","",""
100020100,4,"out00",-47,-55,999999999,"","MD_pig",""
100030000,0,"sp",-4142,-2,999999999,"","",""
100030000,1,"sp",-1380,-1064,999999999,"","",""
100030000,2,"sp",-1296,-946,999999999,"","",""
100030000,3,"sp",-969,-407,999999999,"","",""
100030000,4,"sp",-1682,-163,999999999,"","",""
100030000,5,"sp",-4209,133,999999999,"","",""
100030000,6,"sp",-4054,-595,999999999,"","",""
100030000,7,"sp",-3673,-229,999999999,"","",""
100030000,8,"sp",-3314,-1193,999999999,"","",""
100030000,9,"sp",-2453,-1427,999999999,"","",""
100030000,10,"sp",-4301,-1318,999999999,"","",""
100030000,11,"sp",-1861,-646,999999999,"","",""
100030000,12,"ntgo01",-1061,151,120010000,"nt01","",""
100030000,13,"quest00",-4428,-1286,999999999,"","q2073",""
100030000,14,"in00",-3368,-1463,100030001,"out00","",""
100030000,15,"h_east00",-1237,-870,100030000,"h_west00","",""
100030000,16,"h_west00",-2986,273,100030000,"h_east00","",""
100030000,17,"east00",-947,-865,100040000,"west00","",""
100030000,18,"west00",-4326,154,100020000,"east00","",""
100030001,0,"sp",-2687,-1368,999999999,"","",""
100030001,1,"sp",-2591,-1365,999999999,"","",""
100030001,2,"sp",-2385,-1377,999999999,"","",""
100030001,3,"sp",-2301,-1384,999999999,"","",""
100030001,4,"sp",-2813,-1385,999999999,"","",""
100030001,5,"sp",-2744,-1361,999999999,"","",""
100030001,6,"sp",-2431,-1372,999999999,"","",""
100030001,7,"out00",-2476,-1226,100030000,"in00","",""
100040000,0,"sp",-1711,1914,999999999,"","",""
100040000,1,"sp",-1847,1919,999999999,"","",""
100040000,2,"sp",-1587,1914,999999999,"","",""
100040000,3,"sp",-1367,1898,999999999,"","",""
100040000,4,"west00",-1861,2077,100030000,"east00","",""
100040000,5,"in01",-1737,1561,100040001,"out00","",""
100040000,6,"in01_1",-1690,964,100040001,"out01","",""
100040000,7,"in02",-1088,902,100040002,"out00","",""
100040000,8,"in02_1",-1153,295,100040002,"out01","",""
100040000,9,"in03",569,-90,100040003,"out00","",""
100040000,10,"in04",1031,608,100040004,"out00","",""
100040000,11,"in04_1",969,1,100040004,"out01","",""
100040000,12,"east00",1120,-174,100040100,"west00","",""
100040001,0,"sp",-181,185,999999999,"","",""
100040001,1,"sp",-121,183,999999999,"","",""
100040001,2,"out00",-189,277,100040000,"in01","",""
100040001,3,"out01",275,-1090,100040000,"in01_1","",""
100040002,0,"sp",276,-199,999999999,"","",""
100040002,1,"sp",240,-201,999999999,"","",""
100040002,2,"sp",-174,-1608,999999999,"","",""
100040002,3,"sp",-132,-1605,999999999,"","",""
100040002,4,"out00",280,-154,100040000,"in02","",""
100040002,5,"out01",-195,-1572,100040000,"in02_1","",""
100040003,0,"sp",272,-1628,999999999,"","",""
100040003,1,"sp",202,-1599,999999999,"","",""
100040003,2,"sp",150,-1574,999999999,"","",""
100040003,3,"out00",278,-1482,100040000,"in03","",""
100040004,0,"sp",268,-168,999999999,"","",""
100040004,1,"sp",221,-165,999999999,"","",""
100040004,2,"sp",-136,-1642,999999999,"","",""
100040004,3,"sp",-68,-1638,999999999,"","",""
100040004,4,"sp",5,-1645,999999999,"","",""
100040004,5,"out01",-152,-1561,100040000,"in04_1","",""
100040004,6,"out00",278,-116,100040000,"in04","",""
100040100,0,"sp",-239,179,999999999,"","",""
100040100,1,"up10",478,208,100040100,"up11","",""
100040100,2,"up11",484,-191,100040100,"up12","",""
100040100,3,"up12",558,-614,100040100,"up13","",""
100040100,4,"up13",454,-990,999999999,"","",""
100040100,5,"up00",39,-187,100040100,"up01","",""
100040100,6,"up01",-36,-1193,100040100,"up00","",""
100040100,7,"up20",1039,-594,100040100,"up21","",""
100040100,8,"up21",1035,-1393,100040100,"up20","",""
100040100,9,"dw00",1041,207,100040100,"dw01","",""
100040100,10,"dw01",1099,410,100040100,"in01","",""
100040100,11,"in01",1036,1010,100040110,"out01","",""
100040100,12,"up30",469,1010,100040100,"up10","",""
100040100,13,"in00",-32,-1590,100040101,"out00","",""
100040100,14,"dw20",31,612,100040100,"dw21","",""
100040100,15,"dw21",26,1011,100040100,"dw20","",""
100040100,16,"west00",-445,211,100040000,"east00","",""
100040100,17,"east00",1340,225,100050000,"west00","",""
100040101,0,"sp",171,-851,999999999,"","",""
100040101,1,"sp",-134,-765,999999999,"","",""
100040101,2,"sp",88,-851,999999999,"","",""
100040101,3,"sp",287,-772,999999999,"","",""
100040101,4,"sp",414,-704,999999999,"","",""
100040101,5,"sp",689,-608,999999999,"","",""
100040101,6,"sp",778,-600,999999999,"","",""
100040101,7,"sp",857,-590,999999999,"","",""
100040101,8,"dw00",-35,-398,100040101,"dw01","",""
100040101,9,"dw01",25,210,100040101,"dw00","",""
100040101,10,"up00",1029,-198,100040101,"up01","",""
100040101,11,"in01",470,211,100040102,"out00","",""
100040101,12,"in02",533,-613,100040102,"out01","",""
100040101,13,"up01",1012,222,100040101,"up00","",""
100040101,14,"out00",-38,-797,100040100,"in00","",""
100040101,15,"in00",1008,-581,100040103,"out00","",""
100040102,0,"sp",-133,143,999999999,"","",""
100040102,1,"sp",-77,153,999999999,"","",""
100040102,2,"sp",199,-1516,999999999,"","",""
100040102,3,"sp",261,-1521,999999999,"","",""
100040102,4,"out00",-181,188,100040101,"in01","",""
100040102,5,"out01",272,-1440,100040101,"in02","",""
100040103,0,"sp",195,-430,999999999,"","",""
100040103,1,"sp",305,-446,999999999,"","",""
100040103,2,"sp",428,-498,999999999,"","",""
100040103,3,"sp",542,-496,999999999,"","",""
100040103,4,"sp",701,-556,999999999,"","",""
