serial_number,itemid,quantity,price,expiration_days,priority,"gender","flags"
10000085,1112108,1,4000,90,7,"both",""
10000086,1702010,1,3500,90,7,"both",""
10000087,5120002,11,3000,90,7,"both",""
10000088,5152004,1,2100,90,8,"both",""
10000089,5160002,1,1000,90,8,"both",""
10000090,1112209,1,4500,90,8,"both",""
10000091,5160004,1,1000,90,8,"both",""
10000092,5160005,1,1000,90,8,"both",""
10000093,5000003,1,5100,0,8,"both",""
10000094,1802014,1,2400,90,8,"both",""
10000095,5153001,1,2700,90,7,"both",""
10000096,1082102,1,1800,90,9,"both",""
10000097,1702020,1,4100,90,9,"both",""
10000098,1702024,1,3900,90,9,"both",""
10000099,1702025,1,3900,90,9,"both",""
10000100,1702026,1,3900,90,9,"both",""
10000101,1112001,1,6000,90,9,"both",""
10000102,5120005,11,3000,90,9,"both",""
10000104,5120007,11,3000,90,9,"both",""
10000106,5140000,1,1800,90,9,"both",""
10000107,5160009,1,1000,90,9,"both",""
10000108,1802006,1,2400,90,9,"both",""
10000109,1802007,1,2400,90,9,"both",""
10000110,1002421,1,3900,90,9,"both",""
10000111,1002422,1,3900,90,9,"both",""
10000112,1002423,1,3900,90,9,"both",""
10000113,1012028,1,2400,90,9,"both",""
10000114,1041125,1,3100,90,9,"female",""
10000115,1041134,1,3500,90,9,"female",""
10000116,1060114,1,1800,90,9,"male",""
10000117,1072153,1,1500,90,9,"both",""
10000118,1702017,1,3500,90,9,"both",""
10000119,1702013,1,3500,90,9,"both",""
10000120,1112210,1,4500,90,9,"both",""
10000121,5050000,1,3100,90,9,"both",""
10000122,1002299,1,3900,90,9,"both",""
10000123,1040124,1,2700,90,9,"male",""
10000124,1040125,1,3500,90,9,"male",""
10000125,1062038,1,2700,90,9,"both",""
10000126,1102039,1,1800,90,9,"both",""
10000127,5050001,1,2400,90,9,"both",""
10000128,1012000,1,2700,90,7,"both",""
10000129,1042038,1,2400,90,7,"both",""
10000130,1102007,1,3100,90,7,"both",""
10000131,1102008,1,3100,90,7,"both",""
10000132,5150006,1,2100,90,9,"both",""
10000133,5151006,1,2100,90,9,"both",""
10000134,1002428,1,3700,90,8,"both",""
10000135,1001013,1,100,90,6,"female",""
10000136,1072013,1,100,90,6,"both",""
10000137,1072057,1,100,90,6,"both",""
10000138,1102009,1,100,90,7,"both",""
10000139,1102010,1,100,90,8,"both",""
10000140,5000004,1,100,0,9,"both",""
10000141,1802001,1,100,90,8,"both",""
10000142,1072058,1,100,90,9,"both",""
10000143,5152006,1,100,90,9,"both",""
10000144,5150000,1,100,90,9,"both",""
10000145,5160001,1,100,90,9,"both",""
10000146,1802002,1,100,90,9,"both",""
10000147,1802003,1,100,90,9,"both",""
10000148,1002429,1,100,90,9,"both",""
10000149,1050111,1,100,90,9,"male",""
10000150,1051112,1,100,90,9,"female",""
10000151,1072230,1,100,90,9,"both",""
10000152,1072231,1,100,90,9,"both",""
10000153,1072232,1,100,90,9,"both",""
10000154,5130000,5,100,90,9,"both",""
10000155,1001018,1,100,90,9,"female",""
10000156,1001019,1,100,90,9,"female",""
10000157,1001020,1,100,90,9,"female",""
10000158,1011003,1,100,90,9,"both",""
10000159,1042039,1,100,90,9,"both",""
10000160,1042040,1,100,90,9,"both",""
10000161,1042041,1,100,90,9,"both",""
10000162,1061127,1,100,90,9,"female",""
10000163,1061128,1,100,90,9,"female",""
10000164,1702010,1,100,90,9,"both",""
10000165,1702011,1,100,90,9,"both",""
10000166,1112213,1,100,90,9,"both",""
10000167,5150002,1,100,90,9,"both",""
10000168,1001013,1,3900,90,6,"female",""
10000169,1072013,1,2100,90,6,"both",""
10000170,1072057,1,2100,90,6,"both",""
10000171,1102009,1,3100,90,7,"both",""
10000172,1102010,1,3100,90,8,"both",""
10000173,5000004,1,5100,0,9,"both",""
10000174,1802001,1,2000,90,8,"both",""
10000175,1072058,1,2100,90,9,"both",""
10000176,5152006,1,2100,90,9,"both",""
10000177,5160000,1,1000,90,9,"both",""
10000178,5160001,1,1000,90,9,"both",""
10000179,1802002,1,2000,90,9,"both",""
10000180,1802003,1,2000,90,9,"both",""
10000181,1002429,1,4100,90,9,"both",""
10000182,1050111,1,4000,90,8,"male",""
10000183,1051112,1,4000,90,8,"female",""
10000184,1072230,1,1800,90,7,"both",""
10000185,1072231,1,1800,90,7,"both",""
10000186,1072232,1,1800,90,7,"both",""
10000187,5130000,5,3200,90,9,"both",""
10000188,1001018,1,3700,90,7,"female",""
10000189,1001019,1,3700,90,7,"female",""
10000190,1001020,1,3700,90,7,"female",""
10000191,1011003,1,2400,90,7,"both",""
10000192,1042039,1,2700,90,7,"both",""
10000193,1042040,1,2700,90,7,"both",""
10000194,1042041,1,2700,90,7,"both",""
10000195,1061127,1,2400,90,6,"female",""
10000196,1061128,1,2400,90,6,"female",""
10000197,1702010,1,3900,90,8,"both",""
10000198,1702011,1,3900,90,8,"both",""
10000199,1112213,1,4500,90,5,"both",""
10000200,5050002,1,4900,90,9,"both",""
10000201,1000018,1,4300,90,7,"both",""
10000202,1001023,1,4100,90,6,"both",""
10000203,1012006,1,2900,90,7,"both",""
10000204,1050109,1,3900,90,6,"both",""
10000205,1050110,1,3900,90,6,"both",""
10000206,1051108,1,4100,90,7,"both",""
10000207,1051109,1,4100,90,7,"both",""
10000208,1040130,1,4300,90,8,"both",""
10000209,1040131,1,4300,90,8,"both",""
10000210,1062039,1,2700,90,8,"both",""
10000211,1072240,1,2300,90,8,"both",""
10000212,1702016,1,4100,90,6,"both",""
10000213,5120006,11,3000,90,6,"both",""
10000214,5000002,1,4900,0,8,"both",""
10000215,5000005,1,4900,0,8,"both",""
10000216,1802004,1,2100,90,6,"both",""
10000217,1802005,1,2100,90,6,"both",""
10000218,1002197,1,3700,90,6,"both",""
10000219,1002199,1,3700,90,6,"both",""
10000220,1002196,1,3700,90,6,"both",""
10000221,1002198,1,3700,90,6,"both",""
10000222,1051110,1,4100,90,7,"both",""
10000223,1051111,1,4100,90,7,"both",""
10000224,1042009,1,2300,90,5,"both",""
10000225,1042010,1,2300,90,5,"both",""
10000226,1042008,1,2300,90,5,"both",""
10000227,1042011,1,2300,90,5,"both",""
10000228,1040129,1,4700,90,8,"both",""
10000229,1062012,1,1800,90,4,"both",""
10000230,1062013,1,1800,90,4,"both",""
10000231,1062011,1,1800,90,4,"both",""
10000232,1062014,1,1800,90,4,"both",""
10000233,1062040,1,2700,90,8,"both",""
10000234,1072099,1,2300,90,3,"both",""
10000235,1072100,1,2300,90,3,"both",""
10000236,1072098,1,2300,90,3,"both",""
10000237,1082057,1,2400,90,2,"both",""
10000238,1082058,1,2400,90,2,"both",""
10000239,5040000,6,2500,90,8,"both",""
10000240,1002260,1,4300,90,8,"both",""
10000241,1002263,1,4300,90,8,"both",""
10000242,1032029,1,3300,90,8,"both",""
10000243,1042046,1,4900,90,8,"both",""
10000244,1062041,1,2700,90,8,"both",""
10000245,1072235,1,1800,90,8,"both",""
10000246,1102020,1,3700,90,8,"both",""
10000247,5160006,1,1000,90,8,"both",""
10000248,5150000,3,5000,90,6,"both",""
10000249,5150004,3,5000,90,6,"both",""
10000250,5150006,3,5000,90,6,"both",""
10000251,5150002,3,5000,90,6,"both",""
10000252,1002261,1,4300,90,9,"both",""
10000253,1002262,1,4300,90,9,"both",""
10000254,1041001,1,3700,90,9,"both",""
10000255,1041009,1,3700,90,9,"both",""
10000256,1041071,1,1200,90,9,"both",""
10000257,1041070,1,1200,90,9,"both",""
10000258,1061001,1,2100,90,9,"both",""
10000259,1061007,1,2100,90,9,"both",""
10000260,1071000,1,1800,90,9,"both",""
10000261,1071001,1,1800,90,9,"both",""
10000262,1072234,1,1800,90,9,"both",""
10000263,1702014,1,4100,90,9,"both",""
10000264,5050003,1,9300,90,9,"both",""
10000265,9101148,1,10400,90,9,"both",""
10000266,9101149,1,10400,90,9,"both",""
10000267,9101150,1,6100,90,9,"both",""
10000268,9101151,1,9200,90,9,"both",""
10000269,9101152,1,9200,90,9,"both",""
10000270,9101153,1,9200,90,9,"both",""
10000271,9101154,1,7700,90,9,"both",""
10000272,9101155,1,7700,90,9,"both",""
10000273,9101156,1,7700,90,9,"both",""
10000274,9101157,1,7300,90,7,"both",""
10000275,9101158,1,7300,90,7,"both",""
10000276,9101159,1,7300,90,7,"both",""
10000277,9101160,1,7300,90,7,"both",""
10000278,5072000,13,13000,90,9,"both",""
10000279,1010001,1,2400,90,7,"both",""
10000280,1040056,1,1600,90,6,"both",""
10000281,1040054,1,1600,90,6,"both",""
10000282,1040055,1,1600,90,7,"both",""
10000283,1060047,1,1300,90,6,"both",""
10000284,1060049,1,1300,90,6,"both",""
10000285,1060048,1,1300,90,6,"both",""
10000286,1072233,1,2300,90,8,"both",""
10000287,1702009,1,4300,90,8,"both",""
10000288,1102045,1,4300,90,8,"both",""
10000289,5120001,11,3000,90,8,"both",""
10000290,5140004,1,3600,90,9,"both",""
10000291,1002291,1,3900,90,9,"both",""
10000292,1042031,1,1200,90,9,"both",""
10000293,1042029,1,1200,90,9,"both",""
10000294,1702002,1,3700,90,9,"both",""
10000295,1702003,1,3700,90,9,"both",""
10000296,1102044,1,4300,90,9,"both",""
10000297,5160007,1,1000,90,9,"both",""
10000298,5000007,1,5700,0,9,"both",""
10000299,1802013,1,2400,90,9,"both",""
10000300,1002420,1,4100,90,9,"both",""
10000301,1042026,1,2700,90,9,"both",""
10000302,1040001,1,3700,90,9,"both",""
10000303,1060001,1,2100,90,9,"both",""
10000304,1702018,1,4100,90,9,"both",""
10000305,1112216,1,4500,90,9,"both",""
10000306,1102006,1,3900,90,9,"both",""
10000307,5160010,1,1000,90,9,"both",""
10000308,1002447,1,4100,90,6,"both",""
10000309,1022041,1,4000,90,6,"both",""
10000310,1040127,1,3100,90,7,"both",""
10000311,1041127,1,3100,90,7,"both",""
10000312,1062031,1,1800,90,6,"both",""
10000313,1702028,1,4100,90,6,"both",""
10000314,5000008,1,5900,0,8,"both",""
10000315,1002309,1,2700,90,9,"both",""
10000316,1002310,1,2700,90,9,"both",""
10000317,1002315,1,3100,90,9,"both",""
10000318,1002316,1,3100,90,9,"both",""
10000319,1040128,1,3100,90,9,"both",""
10000320,1041128,1,3100,90,9,"both",""
10000321,1042042,1,4100,90,9,"both",""
10000322,1060116,1,2700,90,9,"both",""
10000323,1112215,1,4500,90,9,"both",""
10000324,5140001,1,3600,90,9,"both",""
10000325,9101182,1,11400,90,9,"both",""
10000326,9101183,1,11700,90,9,"both",""
10000327,9101131,1,8000,90,9,"both",""
10000328,1062003,1,1000,90,8,"both",""
10000329,1062015,1,1000,90,8,"both",""
10000330,1022004,1,1000,90,8,"both",""
10000331,1002220,1,1000,90,8,"both",""
10000332,1002250,1,1000,90,8,"both",""
10000333,1050041,1,1000,90,8,"both",""
10000334,1112107,1,1000,90,8,"both",""
10000335,1072111,1,1000,90,8,"both",""
10000336,1040125,1,1000,90,8,"both",""
10000337,1042002,1,1000,90,8,"both",""
10000338,1002342,1,1000,90,8,"both",""
10000339,1012005,1,1000,90,8,"both",""
10000340,1052030,1,1000,90,8,"both",""
10000341,1802006,1,1000,90,8,"both",""
10000342,1112115,1,1000,90,8,"both",""
10000343,1042013,1,1000,90,8,"both",""
10000344,1702010,1,1000,90,8,"both",""
10000345,1102008,1,1000,90,8,"both",""
10000346,1022017,1,1000,90,8,"both",""
10000347,1112202,1,1000,90,8,"both",""
10000348,1000007,1,2700,90,4,"both",""
10000349,1000009,1,2900,90,4,"both",""
10000350,1000010,1,2900,90,4,"both",""
10000351,1000011,1,2900,90,4,"both",""
10000352,1000012,1,2900,90,4,"both",""
10000353,1001014,1,2900,90,4,"both",""
10000354,1001015,1,2900,90,4,"both",""
10000355,1001016,1,2900,90,4,"both",""
10000356,1012033,1,1300,90,8,"both",""
10000357,1012034,1,1300,90,8,"both",""
10000358,1012035,1,1300,90,8,"both",""
10000359,1012036,1,1300,90,8,"both",""
10000360,1012037,1,1300,90,8,"both",""
10000361,1012038,1,1300,90,8,"both",""
10000362,1012039,1,1300,90,8,"both",""
10000363,1012041,1,1300,90,8,"both",""
10000364,1012042,1,1300,90,8,"both",""
10000365,1012043,1,1300,90,8,"both",""
10000366,1050079,1,3500,90,4,"both",""
10000367,1052057,1,2400,90,6,"both",""
10000368,1052058,1,2400,90,6,"both",""
10000369,1052059,1,2400,90,6,"both",""
10000370,1052060,1,2400,90,6,"both",""
10000371,1052061,1,2400,90,6,"both",""
10000372,1052062,1,2400,90,6,"both",""
10000373,1052063,1,2400,90,6,"both",""
10000374,1052064,1,2400,90,6,"both",""
10000375,1052065,1,2400,90,6,"both",""
10000376,1052066,1,2400,90,6,"both",""
10000377,1050084,1,3700,90,4,"both",""
10000378,1050085,1,3700,90,4,"both",""
10000379,1050086,1,3700,90,4,"both",""
10000380,1050087,1,3700,90,4,"both",""
10000381,1051087,1,3700,90,4,"both",""
10000382,1051088,1,3700,90,4,"both",""
10000383,1051089,1,3700,90,4,"both",""
10000384,1041090,1,2100,90,4,"both",""
10000385,1072202,1,1800,90,4,"both",""
10000386,1072201,1,1800,90,4,"both",""
10000387,1072265,1,1200,90,6,"both",""
10000388,1072266,1,1200,90,6,"both",""
10000389,1072267,1,1200,90,6,"both",""
10000390,1070003,1,2100,90,4,"both",""
10000391,1702015,1,4000,90,4,"both",""
10000392,1092031,1,3700,90,4,"both",""
10000393,1112201,1,4500,90,4,"both",""
10000394,5152010,1,1800,90,9,"both",""
10000395,5152011,1,1800,90,9,"both",""
10000396,5152012,1,1800,90,9,"both",""
10000397,1702067,1,2700,90,7,"both",""
10000398,1702071,1,2700,90,7,"both",""
10000399,1702068,1,2700,90,7,"both",""
10000400,1702069,1,2700,90,7,"both",""
10000401,1702075,1,2700,90,7,"both",""
10000402,1702076,1,2700,90,7,"both",""
10000403,1702077,1,2700,90,7,"both",""
10000404,1002449,1,4300,90,7,"both",""
10000405,1002384,1,3700,90,7,"both",""
10000406,1051100,1,3700,90,7,"both",""
10000407,1050101,1,3700,90,7,"both",""
10000408,1040132,1,3500,90,7,"both",""
10000409,1041131,1,3500,90,7,"both",""
10000410,1060117,1,2400,90,6,"both",""
10000411,1061108,1,1500,90,5,"both",""
10000412,1061109,1,1500,90,5,"both",""
10000413,1061110,1,1500,90,5,"both",""
10000414,1061111,1,1500,90,5,"both",""
10000415,1071009,1,2100,90,6,"both",""
10000416,1070004,1,2100,90,6,"both",""
10000417,1112217,1,4500,90,7,"both",""
10000418,5160008,1,1000,90,8,"both",""
10000419,5000006,1,6400,0,8,"both",""
10000420,5150003,1,5700,90,9,"both",""
10000421,5151003,1,4500,90,9,"both",""
10000422,5152001,1,5100,90,9,"both",""
10000423,5150001,1,5700,90,9,"both",""
10000424,5151001,1,4500,90,9,"both",""
10000425,5150005,1,5700,90,9,"both",""
10000426,5151005,1,4500,90,9,"both",""
10000427,5152005,1,5100,90,9,"both",""
10000428,5150007,1,5700,90,9,"both",""
10000429,5151007,1,4500,90,9,"both",""
10000430,5152007,1,5100,90,9,"both",""
10000431,1002255,1,3700,90,8,"both",""
10000432,1002396,1,3900,90,8,"both",""
10000433,1002397,1,3900,90,8,"both",""
10000434,1032024,1,2700,90,8,"both",""
10000435,1022027,1,3700,90,8,"both",""
10000436,1051118,1,4300,90,8,"both",""
10000437,1051119,1,4300,90,8,"both",""
10000438,1050117,1,3700,90,8,"both",""
10000439,1050118,1,3700,90,8,"both",""
10000440,1040114,1,2100,90,8,"both",""
10000441,1041114,1,2100,90,8,"both",""
10000442,1060103,1,1800,90,8,"both",""
10000443,1061113,1,1800,90,8,"both",""
10000444,1002413,1,3100,90,7,"both",""
10000445,1002414,1,3300,90,7,"both",""
10000446,1002416,1,3900,90,7,"both",""
10000447,1002417,1,3100,90,7,"both",""
10000448,1042043,1,3800,90,7,"both",""
10000449,1042044,1,3800,90,7,"both",""
10000450,1041129,1,3700,90,7,"both",""
10000451,1041130,1,3700,90,7,"both",""
10000452,1061126,1,2400,90,7,"both",""
10000453,1702019,1,5100,90,7,"both",""
10000454,1102058,1,4300,90,7,"both",""
10000455,5060000,1,1800,90,7,"both",""
10000456,5010000,1,2300,90,7,"both",""
10000457,9101001,1,7100,90,9,"both",""
10000458,9101197,1,7900,90,9,"both",""
10000459,9101198,1,7900,90,9,"both",""
10000460,9101199,1,10300,90,9,"both",""
10000461,9101200,1,12200,90,9,"both",""
10000462,5240002,11,10000,90,8,"both",""
10000463,5240003,11,10000,90,8,"both",""
10000464,5240004,11,10000,90,8,"both",""
10000465,5240005,11,10000,90,8,"both",""
10000466,5240006,11,10000,90,8,"both",""
10000467,1002194,1,3100,90,9,"both",""
10000468,1002195,1,3100,90,9,"both",""
10000469,1002439,1,4100,90,9,"both",""
10000470,1002440,1,4100,90,9,"both",""
10000471,1012024,1,2700,90,9,"both",""
10000472,1020000,1,3900,90,9,"both",""
10000473,1021000,1,3900,90,9,"both",""
10000474,1042045,1,3900,90,9,"both",""
10000475,1061129,1,2400,90,9,"both",""
10000476,5010001,1,2300,90,9,"both",""
10000477,1112218,1,4500,90,9,"both",""
10000478,1061134,1,2700,90,9,"both",""
10000479,1060003,1,2400,90,9,"both",""
10000480,1102049,1,4100,90,9,"both",""
10000481,1102050,1,4100,90,9,"both",""
10000482,5010002,1,2700,90,9,"both",""
10000483,1802010,1,3100,90,9,"both",""
10000484,1012001,1,2100,90,9,"both",""
10000485,1022031,1,3900,90,9,"both",""
10000486,1022032,1,3900,90,9,"both",""
10000487,1002070,1,1000,90,9,"both",""
10000488,1002071,1,1000,90,9,"both",""
10000489,1022014,1,1500,90,9,"both",""
10000490,1022015,1,1500,90,9,"both",""
10000491,1022016,1,1500,90,9,"both",""
10000492,1022017,1,1500,90,9,"both",""
10000493,1050040,1,1000,90,9,"both",""
10000494,1050041,1,1000,90,9,"both",""
10000495,1051028,1,1000,90,9,"both",""
10000496,1051029,1,1000,90,9,"both",""
10000497,5120009,1,10,90,9,"both",""
10000498,5120009,11,100,90,9,"both",""
10000499,1102051,1,4100,90,9,"both",""
10000500,1102052,1,4100,90,9,"both",""
10000501,1002442,1,4300,90,8,"both",""
10000502,1010003,1,2100,90,8,"both",""
10000503,1022035,1,3900,90,7,"both",""
10000504,1022036,1,3900,90,7,"both",""
10000505,1051121,1,3700,90,7,"both",""
10000506,1102049,1,4100,90,8,"both",""
10000507,1102050,1,4100,90,8,"both",""
10000508,1802016,1,3100,90,8,"both",""
10000509,5150010,1,2100,90,8,"both",""
10000510,5150011,1,2100,90,8,"both",""
10000511,5150012,1,2100,90,8,"both",""
10000512,5150013,1,2100,90,8,"both",""
10000513,5021000,1,5100,90,8,"both",""
10000514,9101225,1,11400,90,9,"both",""
10000515,9101226,1,14100,90,9,"both",""
10000516,5000010,1,5700,0,9,"both",""
10000517,1802015,1,3100,90,9,"both",""
10000518,5010003,1,3500,90,9,"both",""
10000519,1112214,1,4500,90,9,"both",""
10000520,1102059,1,4500,90,9,"both",""
10000521,1002258,1,3700,90,9,"both",""
10000522,1012027,1,3300,90,9,"both",""
10000523,1051123,1,3900,90,9,"both",""
10000524,1041132,1,3500,90,9,"both",""
10000525,1040133,1,3500,90,9,"both",""
10000526,1702043,1,4100,90,9,"both",""
10000527,1112223,1,4500,90,9,"both",""
10000528,1112112,1,4000,90,9,"both",""
10000529,5010004,1,3100,90,9,"both",""
10000530,1002496,1,4100,90,8,"both",""
10000531,1002311,1,2400,90,8,"both",""
10000532,1012030,1,2700,90,8,"both",""
10000533,1042049,1,3500,90,8,"both",""
10000534,5041000,6,4500,90,8,"both",""
10000535,1002433,1,3100,90,9,"both",""
10000536,1002389,1,3500,90,9,"both",""
10000537,1022042,1,4700,90,9,"both",""
10000538,1041136,1,3500,90,9,"both",""
10000539,1042073,1,3500,90,9,"both",""
10000540,1062052,1,2700,90,9,"both",""
10000541,1072257,1,1200,90,9,"both",""
10000542,1702036,1,4300,90,9,"both",""
10000543,5152015,1,4900,90,9,"both",""
10000544,5152013,1,4900,90,9,"both",""
10000545,5152014,1,4900,90,9,"both",""
10000546,1002259,1,3100,90,9,"both",""
10000547,1001008,1,3100,90,9,"both",""
10000548,1041137,1,3100,90,9,"both",""
10000549,1062053,1,2400,90,9,"both",""
10000550,1072259,1,1200,90,9,"both",""
10000551,5010006,1,3500,90,9,"both",""
10000552,5021001,1,4900,90,9,"both",""
10000553,5140003,1,3600,90,9,"both",""
10000554,5000009,1,5700,0,9,"both",""
10000555,9101233,1,11400,90,9,"both",""
10000556,9101234,1,14100,90,9,"both",""
10000557,1002434,1,3100,90,9,"both",""
10000558,1002495,1,4300,90,9,"both",""
10000559,1012008,1,2700,90,9,"both",""
10000560,1052043,1,4500,90,9,"both",""
10000561,1042062,1,3900,90,9,"both",""
10000562,5030000,1,5900,90,9,"both",""
10000563,1802025,1,3100,90,9,"both",""
10000564,1062042,1,2700,90,9,"both",""
10000565,1002261,1,1000,90,9,"both",""
10000566,1002262,1,1000,90,9,"both",""
10000567,1050117,1,1000,90,9,"both",""
10000568,1050118,1,1000,90,9,"both",""
10000569,1051118,1,1000,90,9,"both",""
10000570,1051119,1,1000,90,9,"both",""
10000571,1061129,1,1000,90,9,"both",""
10000572,1060116,1,1000,90,9,"both",""
10000573,1002450,1,3500,90,6,"both",""
10000574,1002451,1,3500,90,6,"both",""
10000575,1040027,1,2100,90,5,"both",""
10000576,1041104,1,2100,90,5,"both",""
10000577,1060096,1,1800,90,5,"both",""
10000578,1061103,1,1800,90,5,"both",""
10000579,1102036,1,2800,90,6,"both",""
10000580,1102037,1,2800,90,6,"both",""
10000581,1102038,1,2800,90,6,"both",""
10000582,5071000,10,1500,90,7,"both",""
10000583,1002437,1,3200,90,7,"both",""
10000584,1052035,1,4000,90,7,"both",""
10000585,1041133,1,3500,90,7,"both",""
10000586,1072236,1,1800,90,7,"both",""
10000587,1702034,1,4500,90,7,"both",""
10000588,1012026,1,3000,90,7,"both",""
10000589,1001030,1,3200,90,9,"both",""
10000590,1051117,1,4000,90,9,"both",""
10000591,1071012,1,1800,90,9,"both",""
10000592,1702030,1,4500,90,9,"both",""
10000593,5000011,1,5700,0,9,"both",""
10000594,1072260,1,1200,90,9,"both",""
10000595,5240000,11,10000,90,9,"both",""
10000596,1012009,1,2700,90,9,"both",""
10000597,1042050,1,3500,90,9,"both",""
10000598,1042071,1,3500,90,9,"both",""
10000599,1062046,1,2400,90,9,"both",""
10000600,1072258,1,1200,90,9,"both",""
10000601,1702048,1,4000,90,9,"both",""
10000602,1102063,1,4500,90,9,"both",""
10000603,1802017,1,3100,90,9,"both",""
10000604,1002435,1,3700,90,9,"both",""
10000605,1002438,1,3200,90,9,"both",""
10000606,1052036,1,4000,90,9,"both",""
10000607,1072237,1,1800,90,9,"both",""
10000608,1702032,1,4500,90,9,"both",""
10000609,1112117,1,4000,90,9,"both",""
10000610,1112227,1,4500,90,9,"both",""
10000611,9101254,1,14700,90,9,"both",""
10000612,9101255,1,12000,90,9,"both",""
10000613,9101256,1,11400,90,9,"both",""
10000614,9101258,1,18400,90,9,"both",""
10000615,9101257,1,12000,90,9,"both",""
10000616,5220000,35,30000,90,9,"both",""
10000617,5220000,11,8000,90,9,"both",""
10000618,5230000,10,5500,90,9,"both",""
10000619,5230000,6,3000,90,9,"both",""
10000620,9101259,1,3100,90,8,"both",""
10000621,9101260,1,2400,90,8,"both",""
10000622,9101261,1,4900,90,8,"both",""
10000623,9101262,1,3200,90,8,"both",""
10000624,9101263,1,13000,90,8,"both",""
10000625,9101264,1,4500,90,8,"both",""
10000626,9101265,1,1800,90,8,"both",""
10000627,9101266,1,4500,90,8,"both",""
10000628,1001002,1,1000,90,7,"both",""
10000629,1002224,1,1000,90,7,"both",""
10000630,1002314,1,1000,90,7,"both",""
10000631,1002312,1,1000,90,7,"both",""
10000632,1002031,1,1000,90,7,"both",""
10000633,1002470,1,1000,90,7,"both",""
10000634,1051002,1,1000,90,7,"both",""
10000635,1050017,1,1000,90,7,"both",""
10000636,1051048,1,1000,90,7,"both",""
