id,mobid,skillid,skill_level,effect_delay
305,9500341,200,84,0
306,9500341,140,12,0
307,8830007,145,4,0
308,8830007,133,3,0
309,8520000,114,6,0
310,8520000,200,43,0
311,8520000,127,4,0
312,8520000,140,5,0
313,8520000,141,4,0
314,8520000,120,6,0
315,8520000,200,44,0
316,8800000,140,1,176
317,8800000,141,1,176
318,8800000,114,2,0
319,8800000,200,4,0
320,8800000,200,5,0
321,8800000,200,6,0
322,8800000,200,7,0
323,4090000,100,1,0
324,9300075,112,4,0
325,9500179,100,4,0
326,8800007,120,3,0
327,8800007,121,3,0
328,8800007,124,3,0
329,8800007,122,3,0
330,8810001,140,9,0
331,8810001,141,8,0
332,8810001,200,58,0
333,8810001,200,59,0
334,8810001,200,60,0
335,8810001,128,1,0
336,8810001,128,2,0
337,8810001,128,3,0
338,9400611,114,29,900
339,8810007,200,56,0
340,8810007,200,57,0
341,8810007,114,9,840
342,8810007,114,10,840
343,8810007,110,5,1260
344,8810007,111,4,1260
345,3000004,113,1,0
346,3000004,122,1,0
347,9300060,110,1,0
348,9400641,121,10,0
349,9400641,127,13,0
350,9400641,200,170,0
351,8810023,100,3,0
352,9300037,140,6,0
353,9420543,140,15,0
354,9420543,141,12,0
355,9420543,200,138,0
356,8810006,120,8,2380
357,8810006,121,4,2380
358,8810006,113,4,1120
359,8810006,128,1,0
360,8810006,128,2,0
361,8810006,128,3,0
362,8810006,128,4,0
363,8810006,128,5,0
364,8810006,122,6,0
365,9300047,101,2,0
366,9300047,103,2,0
367,9300099,101,2,0
368,9300099,127,3,0
369,9300375,100,16,0
370,9300375,132,4,0
371,9700032,123,2,0
372,9400531,100,1,0
373,8830008,200,162,0
374,8830008,200,163,0
375,8140111,101,2,0
376,8140111,102,2,0
377,9300034,140,6,0
378,9500343,200,29,0
379,9500343,200,30,0
380,9500343,200,31,0
381,9500343,120,1,0
382,9500343,121,1,0
383,6090001,129,4,0
384,8810000,140,9,0
385,8810000,141,8,0
386,8810000,200,58,0
387,8810000,200,59,0
388,8810000,200,60,0
389,8810000,128,1,0
390,8810000,128,2,0
391,8810000,128,3,0
392,9300139,131,6,0
393,9300139,200,74,0
394,9300139,200,75,0
395,9300139,200,76,0
396,9300139,129,2,0
397,9300139,121,5,0
398,9300139,129,3,0
399,3230301,121,1,0
400,3230301,122,1,0
401,9300032,200,47,0
402,9300032,120,7,0
403,9400609,100,19,500
404,9300367,100,16,0
405,9300367,132,4,0
406,9300254,140,11,0
407,9001014,133,1,0
408,9400582,120,12,600
409,9500149,100,1,0
410,9500149,102,1,0
411,8830000,145,3,0
412,8830000,133,3,0
413,9420544,140,15,0
414,9420544,141,12,0
415,9420544,200,148,0
416,9300003,200,2,0
417,9501002,122,11,0
418,9500308,114,18,0
419,9500308,110,1,0
420,9500308,112,1,0
421,9500308,113,1,0
422,9500308,200,84,0
423,9500308,140,12,0
424,9500169,100,4,0
425,9400518,110,1,0
426,9400518,123,1,0
427,9300374,100,16,0
428,9300374,132,4,0
429,7130601,200,52,1020
430,6300000,100,1,0
431,6300000,102,1,0
432,8500004,100,2,0
433,8190004,110,4,0
434,6090002,129,7,0
435,9300198,102,1,0
436,9300198,200,117,0
437,5120506,110,2,0
438,9303009,114,15,0
439,9303009,110,1,0
440,9303009,112,1,0
441,9300022,141,5,0
442,9300012,200,29,0
443,9300012,200,30,0
444,9300012,200,31,0
445,9300012,120,1,0
446,9300012,121,1,0
447,9300201,131,5,0
448,9300201,122,5,0
449,9300201,121,8,0
450,9300201,120,3,0
451,9300201,132,2,0
452,9300201,200,120,0
453,9300201,110,6,0
454,9300201,114,22,0
455,9300213,132,2,0
456,9300213,122,3,0
457,9300213,200,132,0
458,9500155,124,4,0
459,7120100,100,21,0
460,7120100,101,17,0
461,3000003,112,1,0
462,3000003,121,1,0
463,9400631,128,2,0
464,7130402,131,2,0
465,7120102,100,22,0
466,7120102,101,18,0
467,7090000,129,6,0
468,9001008,100,1,0
469,9001008,102,1,0
470,9300028,114,8,0
471,9300028,140,7,0
472,9300028,141,6,0
473,9300028,200,48,0
474,8220002,200,88,1200
475,8220002,101,1,1200
476,8220002,111,5,1200
477,8220002,114,19,1200
478,8220002,140,13,1200
479,8220002,103,2,1200
480,9300010,200,28,0
481,7130003,122,2,0
482,9300193,114,17,0
483,9300193,110,1,0
484,9300193,112,1,0
485,9300193,113,1,0
486,9300193,123,1,0
487,9300193,200,112,0
488,8170000,125,1,0
489,8170000,124,1,0
490,8170000,120,1,0
491,8170000,121,1,0
492,9400583,123,5,660
493,9300077,110,4,0
494,7220000,140,4,0
495,7220000,110,1,0
496,7220000,112,4,0
497,7220000,113,2,0
498,7220000,200,83,0
499,8510000,114,5,0
500,8510000,200,41,0
501,8510000,127,2,0
502,8510000,140,5,0
503,8510000,141,4,0
504,8510000,120,5,0
505,8510000,200,42,0
506,8820000,114,3,0
507,8820000,100,8,0
508,8820000,200,102,0
509,8820000,102,4,0
510,8820000,103,3,0
511,8820000,110,7,0
512,8820000,111,6,0
513,8820000,112,5,0
514,7110300,131,2,0
515,9300192,200,111,0
516,8140110,100,2,0
517,8140110,103,2,0
518,9300143,140,11,0
519,9400547,200,73,30
520,8800008,110,3,0
521,8800008,111,3,0
522,8800008,112,3,0
523,8800008,113,3,0
524,8800008,114,1,0
525,9300334,200,27,0
526,9400589,200,135,900
527,7130004,100,2,390
528,9400569,200,93,0
529,9400569,200,98,0
530,9400569,200,99,0
531,5090001,129,8,0
532,8830010,200,161,0
533,9300181,131,5,0
534,9300181,122,5,0
535,9300181,121,8,0
536,9300181,200,94,0
537,9300152,125,8,0
538,9300152,200,74,0
539,9300152,200,75,0
540,9300152,200,76,0
541,9300152,129,2,0
542,9300152,121,5,0
543,9300196,200,115,0
544,9500339,112,1,1500
545,8820007,140,12,0
546,9300204,200,123,0
547,9300205,131,6,0
548,9300205,200,124,0
549,9300205,121,5,0
550,9300206,200,125,1200
551,9300206,101,1,1200
552,9300206,111,5,1200
553,9300206,114,19,1200
554,9300206,140,13,1200
555,9300206,103,2,1200
556,9420537,100,5,0
557,9400517,110,1,0
558,9400517,123,1,0
559,8800005,131,1,0
560,9300344,114,15,0
561,9300344,128,12,0
562,9300344,120,11,0
563,9400007,110,1,0
564,9400007,123,1,0
565,9500354,131,6,0
566,9500354,200,74,0
567,9500354,200,75,0
568,9500354,200,76,0
569,9500354,121,5,0
570,6130209,103,2,0
571,3300005,200,165,0
572,7130200,102,2,0
573,9501001,121,8,0
574,9500177,100,4,0
575,9300184,126,7,0
576,9300184,200,103,0
577,9300184,112,1,0
578,9300184,113,1,0
579,9300267,100,2,0
580,9001004,200,85,0
581,9001004,100,1,0
582,9001004,102,1,0
583,9500181,100,4,0
584,9300248,103,2,0
585,9300023,140,6,0
586,9300285,114,15,0
587,9300285,128,12,0
588,9300285,120,11,0
589,9300180,131,8,0
590,9300180,122,5,0
591,9400613,100,20,300
592,9300243,124,4,0
593,9500356,200,88,1200
594,9500356,101,1,1200
595,9500356,111,5,1200
596,9500356,114,19,1200
597,9500356,140,13,1200
598,9500356,103,2,1200
599,6130104,110,1,0
600,6130104,123,1,0
601,8140512,114,34,0
602,8800002,140,1,176
603,8800002,141,1,176
604,8800002,114,3,0
605,8800002,200,36,0
606,8800002,200,37,0
607,8800002,200,38,0
608,8220011,102,6,0
609,6220000,114,17,0
610,6220000,110,2,0
611,6220000,112,4,0
612,6220000,113,2,0
613,6220000,140,8,0
614,8140510,100,23,0
615,8140510,101,19,0
616,9001001,101,1,0
617,9001001,103,1,0
618,9001001,120,2,0
619,9001001,200,3,0
620,9500171,100,4,0
621,9500338,112,1,1500
622,9500338,114,15,1500
623,9500338,112,1,0
624,9500338,113,1,0
625,9300376,100,16,0
626,9300376,132,4,0
627,9300209,200,128,0
628,8220014,140,16,0
629,9300373,100,16,0
630,9300373,132,4,0
631,9500173,100,4,0
632,9300350,128,11,0
633,9300350,122,5,0
634,9300369,100,16,0
635,9300369,132,4,0
636,8820002,133,1,0
637,8820002,114,25,0
638,8820002,127,7,0
639,8820002,127,10,0
640,8820002,131,4,0
641,8820002,140,9,0
642,8820002,141,8,0
643,9300372,100,16,0
644,9300372,132,4,0
645,8141300,131,3,750
646,9300202,114,15,0
647,9300202,110,1,0
648,9300202,112,1,0
649,9300202,113,1,0
650,9300202,200,121,0
651,9300370,100,16,0
652,9300370,132,4,0
653,6090003,129,9,0
654,9500362,127,1,0
655,9500362,126,1,0
656,9500362,200,39,0
657,9500362,200,40,0
658,9500362,114,4,0
659,9500362,123,4,0
660,9300029,114,7,0
661,8220004,129,2,0
662,8220004,102,3,0
663,9500176,100,4,0
664,9303011,100,4,0
665,9500315,200,80,0
666,9500315,101,1,720
667,9500315,111,2,720
668,9500315,121,7,720
669,9500336,100,6,0
670,9300186,112,1,1500
671,9300186,200,105,1500
672,9300067,100,3,0
673,9400244,100,1,0
674,9400244,102,1,0
675,3230305,100,1,0
676,9400594,120,12,600
677,8810005,127,7,1820
678,8810005,112,4,1120
679,8810005,128,1,0
680,8810005,128,2,0
681,8810005,128,3,0
682,8810005,128,4,0
683,8810005,128,5,0
684,8810005,127,10,1820
685,9300208,200,127,0
686,9300208,123,8,0
687,9300208,131,7,0
688,9400610,101,16,500
689,9700021,115,1,0
690,9500122,200,27,0
691,9400122,200,8,0
692,9400122,200,9,0
693,9400122,200,10,0
694,9400122,200,11,0
695,9400122,200,12,0
696,9400122,200,13,0
697,9400122,200,14,0
698,9400122,200,15,0
699,9400122,200,16,0
700,9400122,200,17,0
701,9400122,200,18,0
702,9400122,200,19,0
703,9400122,200,20,0
704,9400122,200,21,0
705,9400122,200,22,0
706,9400122,200,23,0
707,9400122,200,24,0
708,9400122,200,25,0
709,9400122,200,26,0
710,9500123,100,1,0
711,9500123,102,1,0
712,9400008,110,1,0
713,9400008,123,1,0
714,9300011,100,1,0
715,9300187,200,106,0
716,9300175,131,8,0
717,8220012,143,4,600
718,8220012,113,8,600
719,8220012,114,32,600
720,9400320,120,3,900
721,9500363,114,5,0
722,9500363,200,41,0
723,9500363,127,2,0
724,9500363,140,5,0
725,9500363,141,4,0
726,9500363,120,5,0
727,9500363,200,42,0
728,9303005,110,1,0
729,8120101,100,23,0
730,8120101,101,19,0
731,8820005,143,1,0
732,8820005,144,1,0
733,8820005,145,2,0
734,8820005,120,8,0
735,8820005,122,6,0
736,9420548,140,15,0
737,9420548,141,12,0
738,9420548,200,139,0
739,9501017,132,2,0
740,9400623,101,16,500
741,9500134,101,2,0
742,9500134,103,2,0
743,9500134,200,1,0
744,8120107,121,13,0
745,8120107,126,9,0
746,8190003,112,4,0
747,9300197,200,116,0
748,9400526,110,1,0
749,9400526,123,1,0
750,7220004,120,16,0
751,4220000,140,14,0
752,4220000,121,8,0
753,9400535,110,1,0
754,9400535,123,1,0
755,6090004,129,11,0
756,9300179,131,8,0
757,9400319,114,19,900
758,9300173,102,1,0
759,9300173,140,12,0
760,9300039,200,49,0
761,9300039,200,50,0
762,9300039,200,51,0
763,9300039,126,5,0
764,9300039,120,9,0
765,9300039,121,5,0
766,9300045,101,1,0
767,9300045,103,1,0
768,8820006,129,2,0
769,8820006,128,8,0
770,8820006,128,9,0
771,8820006,128,10,0
772,8820006,122,6,0
773,5090000,129,5,0
774,9400592,200,145,2000
775,9300346,114,15,0
776,9300346,128,12,0
777,9300346,120,11,0
778,9500346,114,17,0
779,9500346,110,2,0
780,9500346,112,4,0
781,9500346,113,2,0
782,9500346,140,8,0
783,9300345,114,15,0
784,9300345,128,12,0
785,9300345,120,11,0
786,9400591,200,140,900
787,9400591,200,141,900
788,9400591,200,142,900
789,9400591,200,143,900
790,9400591,200,144,900
791,9400591,110,8,900
792,5100005,126,1,0
793,9500150,100,1,0
794,9500150,102,1,0
795,9400646,114,29,100
796,9300164,100,2,0
797,9001003,100,1,0
798,9001003,102,1,0
799,9001003,122,2,0
800,9001003,200,3,0
801,9500178,100,4,0
802,9400642,121,10,0
803,9400642,127,13,0
804,9400642,200,171,0
805,9400649,114,30,0
806,9400649,133,4,0
807,9400651,114,31,0
808,9400651,133,4,0
809,7130500,122,5,0
810,9300255,141,10,0
811,8220001,200,77,0
812,8220001,123,8,0
813,8220001,131,7,0
814,9300203,200,122,0
815,9300347,114,23,0
816,7220001,114,15,0
817,7220001,121,7,0
818,7220001,122,10,0
819,7220001,123,7,0
820,9501008,128,6,0
821,9001010,121,8,0
822,9001010,132,1,0
823,9001010,133,1,0
824,9001010,145,1,0
825,9300368,100,16,0
826,9300368,132,4,0
827,9500337,126,7,0
828,9500337,200,78,0
829,9500337,112,1,0
830,9500337,113,1,0
831,9500180,100,4,0
832,8820004,132,2,0
833,8820004,127,7,0
834,8820004,127,10,0
835,9300200,140,4,0
836,9300200,110,1,0
837,9300200,112,4,0
838,9300200,113,2,0
839,9300200,200,119,0
840,9400748,200,135,900
841,9300211,200,130,0
842,9420513,200,79,800
843,9420513,114,13,1200
844,9300119,102,1,0
845,9300119,200,62,0
846,9300119,200,63,0
847,9420538,101,3,0
848,9420539,114,26,0
849,9300098,140,3,0
850,9300098,141,3,0
851,9300030,126,4,0
852,9300189,114,18,0
853,9300189,110,1,0
854,9300189,112,1,0
855,9300189,113,1,0
856,9300189,200,108,0
857,9300189,140,12,0
858,9420549,140,15,0
859,9420549,141,12,0
860,9420549,200,149,0
861,8140701,102,1,0
862,8140701,100,1,0
863,3300007,200,165,0
864,8820001,200,101,0
865,8820001,145,2,0
866,8820001,133,1,0
867,9001000,100,1,0
868,9001000,102,1,0
869,9001000,121,2,0
870,9001000,200,3,0
871,3220001,112,1,1500
872,9300190,123,8,0
873,9300190,200,109,0
874,9300190,110,1,0
875,9300190,112,1,0
876,9300190,113,1,0
877,9300190,114,15,0
878,9501005,125,9,0
879,8220015,140,16,0
880,8220015,200,176,0
881,3000001,110,1,0
882,3000001,123,1,0
883,8140555,140,4,0
884,9500311,114,17,0
885,9500311,110,2,0
886,9500311,112,4,0
887,9500311,113,2,0
888,9500311,140,8,0
889,8500001,127,1,0
890,8500001,126,1,0
891,8500001,200,39,0
892,8500001,200,40,0
893,8500001,114,4,0
894,8500001,123,4,0
895,9300195,200,114,0
896,9300195,126,5,0
897,9300195,120,9,0
898,9300195,121,5,0
899,9300158,140,12,0
900,9500369,200,27,0
901,8150101,126,2,0
902,9300377,100,16,0
903,9300377,132,4,0
904,9300088,100,1,0
905,9300088,102,1,0
906,9300088,122,2,0
907,8810004,140,9,0
908,8810004,141,8,0
909,8810004,200,53,0
910,8810004,200,54,0
911,8810004,200,55,0
912,9700034,142,2,0
913,9400633,200,168,0
914,9400633,200,169,0
915,9300355,114,13,0
916,9300355,120,12,0
917,9300355,127,11,0
918,9300355,133,1,0
919,9501007,127,11,0
920,9400710,200,87,900
921,9400632,133,1,0
922,9400120,200,8,0
923,9400120,200,9,0
924,9400120,200,10,0
925,9400120,200,11,0
926,9400120,200,12,0
927,9400120,200,13,0
928,9400120,200,14,0
929,9400120,200,15,0
930,9400120,200,16,0
931,9400120,200,17,0
932,9400120,200,18,0
933,9400120,200,19,0
934,9400120,200,20,0
935,9400120,200,21,0
936,9400120,200,22,0
937,9400120,200,23,0
938,9400120,200,24,0
939,9400120,200,25,0
940,9400120,200,26,0
941,9500316,200,77,0
942,9500316,123,8,0
943,9500316,131,7,0
944,9501000,120,11,0
945,9500312,114,15,0
946,9500312,121,7,0
947,9500312,122,10,0
948,9500312,123,7,0
949,9400514,140,6,1000
950,9400514,141,5,1000
951,9400514,127,6,1000
952,9500307,112,1,1500
953,9500307,114,15,1500
954,9500307,112,1,0
955,9500307,113,1,0
956,9500310,114,17,0
957,9500310,110,1,0
958,9500310,112,1,0
959,9500310,113,1,0
960,9500310,123,1,0
961,9500310,140,12,0
962,9500310,141,3,0
963,9500313,140,4,0
964,9500313,110,1,0
965,9500313,112,4,0
966,9500313,113,2,0
967,9500313,200,83,0
968,8120103,123,20,0
969,8120103,132,5,0
970,9300019,200,45,0
971,7130103,131,5,900
972,9300214,127,1,0
973,9300214,126,1,0
974,9300214,200,133,0
975,9300214,114,4,0
976,9300214,123,4,0
977,9500342,123,8,0
978,9500342,200,82,0
979,9500342,110,1,0
980,9500342,112,1,0
981,9500342,113,1,0
982,9500342,114,15,0
983,9400590,133,3,0
984,9400590,114,28,1360
985,9400590,102,5,1800
986,9400590,103,4,1800
987,9400590,200,146,1600
988,9500348,114,15,0
989,9500348,121,7,0
990,9500348,122,10,0
991,9500348,123,7,0
992,8140000,101,2,0
993,8140000,103,2,0
994,8140000,200,1,0
995,9500352,114,15,0
996,9500352,110,1,0
997,9500352,112,1,0
998,9500352,113,1,0
999,9500352,140,4,0
1000,9500355,200,80,0
1001,9500355,101,1,720
1002,9500355,111,2,720
1003,9500355,121,7,720
1004,9500349,102,1,0
1005,9500349,200,62,0
1006,9500349,200,63,0
1007,9700035,200,167,0
1008,9700035,121,9,0
1009,8220006,100,2,0
1010,8220006,128,7,0
1011,8220006,114,9,0
1012,5100004,124,4,0
1013,2220000,126,7,0
1014,2220000,200,78,0
1015,2220000,112,1,0
1016,2220000,113,1,0
1017,9300144,141,10,0
1018,9501003,123,12,0
1019,9501004,124,9,0
1020,9501006,126,8,0
1021,9300207,200,126,0
1022,9300215,133,2,0
1023,9300215,128,11,0
1024,9300215,122,5,0
1025,9300215,143,2,0
1026,9300215,144,2,0
1027,9300215,200,134,0
1028,7130501,124,6,0
1029,9500340,200,2,0
1030,9300210,200,129,0
1031,8810009,131,4,1820
1032,9500357,200,77,0
1033,9500357,123,8,0
1034,9500357,131,7,0
1035,9500174,100,4,0
1036,8220013,140,16,0
1037,9300294,114,5,0
1038,9300294,200,41,0
1039,9300294,127,2,0
1040,9300294,140,5,0
1041,9300294,141,4,0
1042,9300294,120,5,0
1043,9300294,200,42,0
1044,9300191,200,110,0
1045,9400653,114,31,0
1046,9400653,133,5,0
1047,5130102,100,2,0
1048,5130102,102,2,0
1049,9500350,140,4,0
1050,9500350,110,1,0
1051,9500350,112,4,0
1052,9500350,113,2,0
1053,9500350,200,83,0
1054,9303008,114,15,0
1055,9700031,134,2,0
1056,9700033,136,1,0
1057,9700037,200,166,0
1058,9700037,134,1,0
1059,9700037,135,1,0
