_id,"flags","shuffleName","defaultMusic",minLevel,timeLimit,regenRate,traction,topx,topy,bottomx,bottomy,returnMap,forcedReturnMap,fieldType,fieldLimitations,decreaseHp,damagePerSecond,protectItem,shipKind,mobRate,link
1010000,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-540,-1140,805,395,1000000,999999999,"","summoning_bag",0,0,0,-1,1.60000014305,0
1010001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,1010000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1010002,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,1010000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1010003,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,1010000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
1010004,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,-900,-1020,720,754,1010000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.20000028610,0
1010100,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-630,-1560,625,-566,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.60000014305,0
1010200,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-630,-1470,625,-566,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.60000014305,0
1010300,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-540,-1560,625,-566,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.60000014305,0
1010400,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-540,-1560,625,-566,1000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.60000014305,0
1020000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-270,-540,810,455,1000000,999999999,"","summoning_bag,vip_rock,no_clue4",0,0,0,-1,1.00000000000,0
1020001,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,-450,-840,1345,454,1010000,999999999,"","summoning_bag",0,0,0,-1,1.00000023842,0
1020100,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,1020000,1020000,"","",0,0,0,-1,1.00000000000,0
1020200,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,1020000,1020000,"","",0,0,0,-1,1.00000000000,0
1020300,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,1020000,1020000,"","",0,0,0,-1,1.00000000000,0
1020400,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,1020000,1020000,"","",0,0,0,-1,1.00000000000,0
1020500,"","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-400,-300,400,300,1020000,1020000,"","",0,0,0,-1,1.00000000000,0
2000000,"town","","Bgm00/GoPicnic",0,0,1,1.000000000000000,-90,-1680,3870,707,2000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
2000001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,2000000,999999999,"","summoning_bag,no_clue4",0,0,0,-1,1.00000000000,0
2010000,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,104000000,104000000,"","",0,0,0,-1,1.00000000000,0
100000000,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000001,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000001,999999999,"","",0,0,0,-1,1.00000000000,0
100000002,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,100000000,"","vip_rock",0,0,0,-1,1.00000000000,0
100000003,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,100000000,"","vip_rock",0,0,0,-1,0.69999992847,0
100000004,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,100000000,"","vip_rock",0,0,0,-1,0.69999992847,0
100000005,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,100000000,"","mystic_door,vip_rock,no_clue4",0,0,0,-1,1.30000007153,0
100000006,"","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,100000000,"","vip_rock",0,0,0,-1,1.00000000000,0
100000100,"town","","Bgm00/GoPicnic",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000101,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-615,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000102,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000103,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000104,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000105,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000200,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","no_clue8",0,0,0,-1,1.00000000000,0
100000201,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-425,400,310,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000202,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","movement_skills",0,0,0,-1,1.00000000000,0
100000203,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","summoning_bag",0,0,0,-1,1.00000000000,0
100000204,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100000205,"town","","Bgm00/FloralLife",0,0,1,1.000000000000000,-400,-300,400,300,100000000,999999999,"","",0,0,0,-1,1.00000000000,0
100010000,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","",0,0,0,-1,1.49999833107,0
100010100,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","",0,0,0,-1,1.79999840260,0
100020000,"","","Bgm00/RestNPeace",0,0,1,1.000000000000000,0,0,0,0,100000000,999999999,"","",0,0,0,-1,0.99999821186,0
100020100,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,0
100020101,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020102,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020103,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020104,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020105,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020106,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020107,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020108,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020109,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020110,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020111,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020112,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020113,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020114,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020115,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020116,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020117,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020118,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020119,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020120,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020121,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020122,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020123,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020124,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020125,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020126,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020127,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020128,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020129,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020130,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020131,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020132,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020133,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020134,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020135,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020136,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020137,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020138,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020139,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020140,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020141,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020142,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020143,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020144,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020145,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020146,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020147,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020148,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020149,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020150,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020151,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020152,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020153,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020154,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020155,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020156,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020157,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020158,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020159,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020160,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020161,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020162,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020163,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020164,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020165,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020166,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020167,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020168,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020169,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020170,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020171,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020172,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020173,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020174,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020175,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020176,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020177,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020178,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020179,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020180,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020181,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020182,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
100020183,"","","Bgm00/RestNPeace",0,7200,1,1.000000000000000,0,0,0,0,100000000,100020000,"no_clue2,no_clue3","mystic_door,vip_rock,no_clue7",0,0,0,-1,2.19999837875,100020100
