level,mobid
55,8810021
55,8810021
55,8810021
55,8810021
56,8810022
56,8810022
57,8810023
57,8810023
58,8810019
58,8810019
59,8810020
59,8810020
60,8810021
60,8810021
61,9300080
61,9300080
62,9300124
62,9300124
62,9300124
63,9300125
63,9300125
63,9300125
64,9300125
64,9300125
64,9300125
65,9300125
65,9300125
65,9300125
66,9300125
66,9300125
66,9300125
67,9300125
67,9300125
67,9300125
68,9300125
68,9300125
68,9300125
69,9300125
69,9300125
69,9300125
70,9300125
70,9300125
70,9300125
71,9300125
71,9300125
71,9300125
72,9300125
72,9300125
72,9300125
73,9400550
74,9300143
74,9300143
75,9300144
75,9300144
76,9300144
76,9300143
77,5100000
77,5100000
78,100100
78,100100
78,100101
78,100101
78,130101
78,130101
79,9420511
79,9420511
79,9420511
79,9420512
79,9420512
79,9420511
80,6230401
80,6230401
80,6230401
80,6230401
80,6230401
81,6230401
81,6230401
81,6230401
81,6230401
81,6230401
82,3230102
82,3230102
82,4230104
82,4230104
82,4230104
83,5120500
83,5120500
83,5120500
84,4230101
84,4230101
84,4230101
85,9001008
86,9300125
86,9300125
86,9300125
87,9300125
87,9300125
87,9300125
88,9300167
88,9300167
88,9300167
88,9300168
88,9300168
88,9300168
89,8150300
89,8150300
90,8150301
90,8150301
91,8150302
91,8150302
92,8150302
92,8150302
93,9400607
94,9300177
94,9300177
94,9300177
94,9300177
94,9300177
95,9300177
95,9300177
95,9300177
95,9300177
95,9300177
96,9300178
96,9300178
96,9300178
96,9300178
96,9300178
97,9300179
97,9300179
97,9300179
97,9300179
97,9300179
98,9400607
98,9400607
98,9400607
99,9400607
99,9400607
99,9400607
99,9400607
100,9300179
100,9300179
100,9300179
100,9300179
100,9300179
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
101,8820007
102,8820007
102,8820007
102,8820007
102,8820007
102,8820007
102,8820007
103,9300217
103,9300218
103,9300217
103,9300218
104,9300219
104,9300220
104,9300219
104,9300220
105,9300221
105,9300222
105,9300221
105,9300222
106,9300223
106,9300223
106,9300223
106,9300223
107,9300224
107,9300224
107,9300224
107,9300224
108,9300225
108,9300226
108,9300225
108,9300226
109,9300227
109,9300228
109,9300227
109,9300228
110,9300229
110,9300229
110,9300229
110,9300229
111,9300230
111,9300231
111,9300230
111,9300231
112,9300232
112,9300233
112,9300232
112,9300233
113,9300234
113,9300235
113,9300234
113,9300235
114,9300236
114,9300236
114,9300236
114,9300236
115,9300238
115,9300238
115,9300238
115,9300238
116,9300239
116,9300240
116,9300239
116,9300240
117,9300241
117,9300242
117,9300241
117,9300242
118,9300243
118,9300243
118,9300243
118,9300243
119,9300244
119,9300245
119,9300244
119,9300245
120,9300246
120,9300247
120,9300246
120,9300247
121,9300248
121,9300248
121,9300248
121,9300248
122,9300249
122,9300250
122,9300249
122,9300250
123,9300251
123,9300251
123,9300251
123,9300251
124,9300252
124,9300253
124,9300252
124,9300253
125,9300254
125,9300255
125,9300254
125,9300255
126,9300256
126,9300256
126,9300256
126,9300256
127,9300258
127,9300258
127,9300258
127,9300258
128,9300259
128,9300259
128,9300259
128,9300259
129,9300260
129,9300260
129,9300260
129,9300260
130,9300261
130,9300263
130,9300261
130,9300263
131,9300261
131,9300262
131,9300261
131,9300262
132,9300264
132,9300265
132,9300264
132,9300265
133,9300266
133,9300267
133,9300266
133,9300267
134,9300270
134,9300270
134,9300270
134,9300270
134,9300270
134,9300270
134,9300270
134,9300270
135,9400706
135,9400706
135,9400706
135,9400706
135,9400706
135,9400706
136,9300270
136,9300270
136,9300270
136,9300270
136,9300270
136,9300270
136,9300270
136,9300270
137,9300125
137,9300125
137,9300125
138,9420545
138,9420545
138,9420545
139,9420550
139,9420550
139,9420550
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
140,9400579
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
141,9400581
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
142,9400577
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
143,9400576
144,9400582
144,9400582
144,9400582
144,9400582
144,9400582
145,9400599
146,9400598
147,9420550
147,9420550
147,9420550
148,9420545
148,9420545
148,9420545
148,9420545
148,9420545
148,9420545
148,9420545
148,9420545
148,9420545
149,9420550
149,9420550
149,9420550
149,9420550
149,9420550
149,9420550
149,9420550
149,9420550
149,9420550
150,6400008
151,9300258
151,9300258
151,9300258
151,9300258
152,9300259
152,9300259
152,9300259
152,9300259
153,9300260
153,9300260
153,9300260
153,9300260
154,9300261
154,9300263
154,9300261
154,9300263
155,9300260
155,9300260
155,9300260
155,9300260
156,9300261
156,9300262
156,9300261
156,9300262
157,9300264
157,9300265
157,9300264
157,9300265
158,9300266
158,9300267
158,9300266
158,9300267
159,6400005
160,6400006
161,6400007
161,6400007
161,6400007
162,6400008
163,6400009
164,3300000
164,3300000
164,3300000
164,3300001
164,3300001
165,3300003
165,3300003
165,3300003
165,3300004
165,3300004
165,3300004
166,9700034
166,9700034
167,9700030
167,9700031
167,9700032
168,9400645
169,9400646
170,9400648
170,9400649
170,9400649
170,9400648
170,9400648
171,9400650
171,9400651
171,9400651
171,9400650
171,9400650
172,9400652
172,9400653
172,9400653
172,9400652
172,9400652
173,4300011
173,4300011
173,4300012
173,4300012
173,4300012
176,8120107
176,8120107
