reactorid,max_states,link,"flags"
9109000,2,0,""
9201000,2,0,""
9201001,5,0,""
9201002,6,0,""
9202000,6,0,""
9202001,6,0,""
9202002,31,0,""
9202003,5,0,""
9202004,5,0,""
9202005,6,0,""
9202006,0,9202005,""
9202007,0,9202005,""
9202008,0,9202005,""
9202009,6,0,""
9202010,0,9202003,""
9202011,0,9202004,""
9202012,0,9202005,""
9208000,1,0,""
9208001,1,0,""
9208002,1,0,""
9208003,2,0,""
9208004,5,0,""
9208005,2,0,""
9208006,2,0,""
9208007,2,0,""
9208008,2,0,""
9208009,2,0,""
9208010,2,0,""
9208011,2,0,""
9208012,2,0,""
9208013,2,0,""
9222000,11,0,""
9701000,2,0,""
9702000,6,0,""
9708000,2,0,""
9802000,26,0,""
9802001,7,0,""
9802002,6,0,""
9802003,4,0,""
9802004,4,0,""
9802005,2,0,""
9802006,2,0,""
9802007,4,0,""
9802008,4,0,""
9808000,12,0,""
9808001,2,0,""
9808002,2,0,""
9808003,11,0,""
9808004,4,0,""
9808005,13,0,""
9808006,5,0,""
9808007,2,0,""
9808008,5,0,""
9808009,6,0,""
9808010,23,0,""
9808011,27,0,""
9808012,2,0,""
9808013,9,0,""
9902000,12,0,""
9908001,2,0,""
9980000,6,0,""
9980001,6,0,""
