itemid,"flags","cure_ailments",effect,hp,mp,hp_percentage,mp_percentage,move_to,decrease_hunger,decrease_fatigue,carnival_points,create_item,prob,buff_time,weapon_attack,magic_attack,weapon_defense,magic_defense,accuracy,avoid,speed,jump,morph,"drop_up",drop_up_item,drop_up_item_range,drop_up_map_ranges,defense_vs_ice,defense_vs_fire,defense_vs_lightning,defense_vs_poison,defense_vs_stun,defense_vs_weakness,defense_vs_curse,defense_vs_darkness,defense_vs_seal
2002005,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,5,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002006,"","",0,0,0,0,0,0,0,0,0,0,0,600,5,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002007,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,5,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002008,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,10,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002009,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,10,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002010,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,10,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002011,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,0,30,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002015,"","",0,0,0,90,90,0,0,0,0,0,0,900,5,0,40,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002016,"","",0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,9,15,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002017,"","",0,0,0,0,0,0,0,0,0,0,0,480,12,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002018,"","",0,0,0,0,0,0,0,0,0,0,0,480,0,20,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002019,"","",0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,20,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002020,"","",0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002021,"","",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002022,"","",0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002023,"","",0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002024,"","",0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002025,"","",0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002026,"","",0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002027,"","",0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,5,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002028,"","",0,0,0,0,0,0,0,0,0,0,0,1200,25,60,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002029,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,100,100,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2002030,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,5,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010000,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010001,"","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010002,"","",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010003,"","",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010004,"","",0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010005,"","",0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010006,"","",0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010007,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2010009,"","",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2011000,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012000,"","",0,0,0,0,0,0,0,0,0,0,0,300,8,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012001,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,10,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012002,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012003,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,10,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012005,"","",0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012006,"","",0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2012008,"","",0,0,0,0,0,0,0,0,0,0,0,60,60,70,10,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020000,"","",0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020001,"","",0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020002,"","",0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020003,"","",0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020004,"","",0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020005,"","",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020006,"","",0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020007,"","",0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020008,"","",0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020009,"","",0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020010,"","",0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020011,"","",0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020012,"","",0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020013,"","",0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020014,"","",0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020015,"","",0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020016,"","",0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020017,"","",0,1400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020018,"","",0,1600,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020019,"","",0,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020020,"","",0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020021,"","",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020022,"","",0,0,0,0,0,0,0,0,0,0,0,1800,5,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020023,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,5,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020024,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,10,10,10,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020025,"","",0,0,0,0,0,0,0,0,0,0,0,1800,5,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020026,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,5,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020027,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,10,10,10,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020028,"","",0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020029,"","",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020030,"","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020031,"","",0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2020032,"","",0,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022000,"","",0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022001,"prevent_freezing","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022002,"","",0,0,0,0,0,0,0,0,0,0,0,300,20,0,0,0,-5,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022003,"","",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022004,"","",0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022005,"","",0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022006,"","",0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022007,"","",0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022008,"","",0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022009,"","",0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022010,"","",0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022011,"","",0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022012,"","",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022013,"","",0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022014,"","",0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022015,"","",0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022016,"","",0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022017,"","",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022018,"","",0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022019,"","",0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022020,"","",0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022021,"","",0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022022,"","",0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022023,"","",0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022024,"","",0,0,0,0,0,0,0,0,0,0,0,300,8,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022025,"","",0,0,0,0,0,0,0,0,0,0,0,600,8,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022026,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022027,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,10,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022028,"","",0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022029,"","",0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022030,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,10,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022031,"","",0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022032,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,30,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022033,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,10,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022035,"","",0,250,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022037,"","",0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022038,"","",0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022039,"","",0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022040,"prevent_drowning","",0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022041,"","",0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022042,"","",0,0,0,0,0,0,0,0,0,0,0,1800,20,20,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022043,"","",0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,10,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022044,"","",0,0,0,0,0,0,0,0,0,0,0,600,20,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022045,"","",0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022047,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,30,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022048,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,30,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022049,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022050,"","",0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022051,"","",0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022052,"","",0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022053,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022054,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022055,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022056,"","",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022057,"","",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022058,"","",0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022060,"","",0,0,0,0,0,0,0,0,0,0,0,1200,10,10,10,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022061,"","",0,0,0,0,0,0,0,0,0,0,0,1200,15,15,15,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022062,"","",0,0,0,0,0,0,0,0,0,0,0,1200,20,20,20,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022063,"","",0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022064,"","",0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022065,"","",0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022066,"","",0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022068,"","",0,0,0,0,0,0,0,0,0,0,0,300,0,35,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022069,"","",0,0,0,0,0,0,0,0,0,0,0,300,34,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022070,"","",0,0,0,0,0,0,0,0,0,0,0,3600,20,20,100,100,50,50,10,10,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022071,"","",0,0,0,0,0,0,0,0,0,0,0,600,20,20,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022072,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,50,50,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022073,"","",0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,20,10,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022074,"","",0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022075,"","",0,0,0,0,0,0,0,0,0,0,0,1200,8,8,0,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
2022076,"","",0,0,0,0,0,0,0,0,0,0,0,900,10,10,10,0,0,0,0,0,0,"none",0,0,0,0,0,0,0,0,0,0,0,0
