id,questid,"quest_state","reward_type",rewardid,quantity,master_level,"gender","job_tracks",job,prop,"flags"
73,10064,"end","exp",100,0,0,"both","",-1,0,""
74,10064,"end","item",4031838,-20,0,"both","",-1,0,""
75,10065,"start","item",4032083,1,0,"both","",-1,0,""
76,10065,"end","exp",50,0,0,"both","",-1,0,""
77,10065,"end","item",4032083,-1,0,"both","",-1,0,""
78,10066,"end","item",2022256,-20,0,"both","",-1,0,""
79,10067,"end","exp",50,0,0,"both","",-1,0,""
80,10068,"end","exp",50,0,0,"both","",-1,0,""
81,1007,"end","exp",50,0,0,"both","",-1,0,""
82,1007,"end","item",1332007,1,0,"both","",-1,1,""
83,1007,"end","item",1332005,1,0,"both","",-1,1,""
84,1007,"end","item",4000000,-5,0,"both","",-1,0,""
85,1007,"end","item",4000001,-1,0,"both","",-1,0,""
86,10070,"end","exp",2500,0,0,"both","",-1,0,""
87,10071,"end","exp",50,0,0,"both","",-1,0,""
88,10072,"end","exp",200,0,0,"both","",-1,0,""
89,10072,"end","item",4031838,-20,0,"both","",-1,0,""
90,10073,"end","exp",50,0,0,"both","",-1,0,""
91,10073,"end","item",4032085,-1,0,"both","",-1,0,""
92,10073,"start","item",4032085,1,0,"both","",-1,0,""
93,10074,"end","exp",777,0,0,"both","",-1,0,""
94,10074,"end","item",1142032,1,0,"both","",-1,0,""
95,10076,"end","item",4032084,-1,0,"both","",-1,0,""
96,10076,"start","item",4032084,1,0,"both","",-1,0,""
97,10077,"start","item",4032088,1,0,"both","",-1,0,""
98,10077,"end","item",4032088,-1,0,"both","",-1,0,""
99,1008,"end","exp",100,0,0,"both","",-1,0,""
100,1008,"end","mesos",200,0,0,"both","",-1,0,""
101,1008,"end","item",4031162,-1,0,"both","",-1,0,""
102,1008,"end","item",4031161,-1,0,"both","",-1,0,""
103,10081,"end","exp",1000,0,0,"both","",-1,0,""
104,10081,"end","item",4032087,-10,0,"both","",-1,0,""
105,10081,"end","item",2022428,1,0,"both","",-1,0,""
106,1009,"end","exp",2,0,0,"both","",-1,0,""
107,1010,"end","exp",4,0,0,"both","",-1,0,""
108,10109,"end","exp",6500,0,0,"both","",-1,0,""
109,10109,"end","fame",2,0,0,"both","",-1,0,""
110,10109,"end","item",4032178,-1,0,"both","",-1,0,""
111,10109,"end","item",1002086,1,0,"both","",-1,36,""
112,10109,"end","item",1002218,1,0,"both","",-1,36,""
113,10109,"end","item",1002214,1,0,"both","",-1,36,""
114,10109,"end","item",1002210,1,0,"both","",-1,36,""
115,10109,"end","item",1032013,1,0,"both","",-1,36,""
116,10109,"end","item",1072135,1,0,"both","",-1,36,""
117,10109,"end","item",1072143,1,0,"both","",-1,36,""
118,10109,"end","item",1072125,1,0,"both","",-1,36,""
119,10109,"end","item",1072130,1,0,"both","",-1,36,""
120,10109,"end","item",1082009,1,0,"both","",-1,36,""
121,10109,"end","item",1082081,1,0,"both","",-1,36,""
122,10109,"end","item",1082084,1,0,"both","",-1,36,""
123,10109,"end","item",1082065,1,0,"both","",-1,36,""
124,10109,"end","item",1032015,1,0,"both","",-1,26,""
125,10109,"end","item",1092009,1,0,"both","",-1,26,""
126,10109,"end","item",1302011,1,0,"both","",-1,26,""
127,10109,"end","item",1312009,1,0,"both","",-1,26,""
128,10109,"end","item",1322018,1,0,"both","",-1,26,""
129,10109,"end","item",1332015,1,0,"both","",-1,26,""
130,10109,"end","item",1332017,1,0,"both","",-1,26,""
131,10109,"end","item",1372007,1,0,"both","",-1,26,""
132,10109,"end","item",1382006,1,0,"both","",-1,26,""
133,10109,"end","item",1402011,1,0,"both","",-1,26,""
134,10109,"end","item",1412007,1,0,"both","",-1,26,""
135,10109,"end","item",1422009,1,0,"both","",-1,26,""
136,10109,"end","item",1432006,1,0,"both","",-1,26,""
137,10109,"end","item",1442010,1,0,"both","",-1,26,""
138,10109,"end","item",1452004,1,0,"both","",-1,26,""
139,10109,"end","item",1462008,1,0,"both","",-1,26,""
140,10109,"end","item",1472022,1,0,"both","",-1,26,""
141,10109,"end","item",2070005,1,0,"both","",-1,26,""
142,10109,"end","item",2100000,1,0,"both","",-1,640,""
143,10109,"end","item",2040704,1,0,"both","",-1,12,""
144,10109,"end","item",2040501,1,0,"both","",-1,12,""
145,10109,"end","item",2040401,1,0,"both","",-1,12,""
146,10109,"end","item",2040601,1,0,"both","",-1,12,""
147,10109,"end","item",2040705,1,0,"both","",-1,12,""
148,10109,"end","item",2040502,1,0,"both","",-1,12,""
149,10109,"end","item",2040402,1,0,"both","",-1,12,""
150,10109,"end","item",2040602,1,0,"both","",-1,12,""
151,10109,"end","item",2040301,1,0,"both","",-1,12,""
152,10109,"end","item",2040302,1,0,"both","",-1,12,""
153,10109,"end","item",2040707,1,0,"both","",-1,12,""
154,10109,"end","item",2040708,1,0,"both","",-1,12,""
155,10109,"end","item",2040804,1,0,"both","",-1,12,""
156,10109,"end","item",2040805,1,0,"both","",-1,12,""
157,10109,"end","item",2040901,1,0,"both","",-1,12,""
158,10109,"end","item",2040902,1,0,"both","",-1,12,""
159,10109,"end","item",2041001,1,0,"both","",-1,12,""
160,10109,"end","item",2041002,1,0,"both","",-1,12,""
161,10109,"end","item",2041004,1,0,"both","",-1,12,""
162,10109,"end","item",2041005,1,0,"both","",-1,12,""
163,10109,"end","item",2041007,1,0,"both","",-1,12,""
164,10109,"end","item",2041008,1,0,"both","",-1,12,""
165,10109,"end","item",2041010,1,0,"both","",-1,12,""
166,10109,"end","item",2041011,1,0,"both","",-1,12,""
167,10109,"end","item",2043001,1,0,"both","",-1,12,""
168,10109,"end","item",2043002,1,0,"both","",-1,12,""
169,10109,"end","item",2043101,1,0,"both","",-1,12,""
170,10109,"end","item",2043102,1,0,"both","",-1,12,""
171,10109,"end","item",2043201,1,0,"both","",-1,12,""
172,10109,"end","item",2043202,1,0,"both","",-1,12,""
173,10109,"end","item",2043301,1,0,"both","",-1,12,""
174,10109,"end","item",2043302,1,0,"both","",-1,12,""
175,10109,"end","item",2043701,1,0,"both","",-1,12,""
176,10109,"end","item",2043702,1,0,"both","",-1,12,""
177,10109,"end","item",2043801,1,0,"both","",-1,12,""
178,10109,"end","item",2043802,1,0,"both","",-1,12,""
179,10109,"end","item",2044001,1,0,"both","",-1,12,""
180,10109,"end","item",2044002,1,0,"both","",-1,12,""
181,10109,"end","item",2044101,1,0,"both","",-1,12,""
182,10109,"end","item",2044102,1,0,"both","",-1,12,""
183,10109,"end","item",2044201,1,0,"both","",-1,12,""
184,10109,"end","item",2044202,1,0,"both","",-1,12,""
185,10109,"end","item",2044301,1,0,"both","",-1,12,""
186,10109,"end","item",2044302,1,0,"both","",-1,12,""
187,10109,"end","item",2044401,1,0,"both","",-1,12,""
188,10109,"end","item",2044402,1,0,"both","",-1,12,""
189,10109,"end","item",2044501,1,0,"both","",-1,12,""
190,10109,"end","item",2044502,1,0,"both","",-1,12,""
191,10109,"end","item",2044601,1,0,"both","",-1,12,""
192,10109,"end","item",2044602,1,0,"both","",-1,12,""
193,10109,"end","item",2044701,1,0,"both","",-1,12,""
194,10109,"end","item",2044702,1,0,"both","",-1,12,""
195,10109,"end","item",4004000,4,0,"both","",-1,187,""
196,10109,"end","item",4004001,4,0,"both","",-1,187,""
197,10109,"end","item",4004002,4,0,"both","",-1,187,""
198,10109,"end","item",4004003,4,0,"both","",-1,187,""
199,10109,"end","item",4010006,10,0,"both","",-1,250,""
200,10109,"end","item",4020007,10,0,"both","",-1,250,""
201,10109,"end","item",4020008,10,0,"both","",-1,250,""
202,10109,"end","item",2000004,30,0,"both","",-1,702,""
203,10109,"end","item",2020012,50,0,"both","",-1,187,""
204,10109,"end","item",2020013,50,0,"both","",-1,187,""
205,10109,"end","item",2020014,50,0,"both","",-1,187,""
206,10109,"end","item",2020015,50,0,"both","",-1,187,""
207,10109,"end","item",2001000,100,0,"both","",-1,1404,""
208,10109,"end","item",2001002,100,0,"both","",-1,1404,""
209,10109,"end","item",2001001,100,0,"both","",-1,1404,""
210,10109,"end","item",1002631,1,0,"both","",-1,36,""
211,10109,"end","item",1072303,1,0,"both","",-1,36,""
212,10109,"end","item",1082198,1,0,"both","",-1,36,""
213,10109,"end","item",1482008,1,0,"both","",-1,26,""
214,10109,"end","item",1492008,1,0,"both","",-1,26,""
215,10109,"end","item",2044801,1,0,"both","",-1,12,""
216,10109,"end","item",2044802,1,0,"both","",-1,12,""
217,10109,"end","item",2044901,1,0,"both","",-1,12,""
218,10109,"end","item",2044902,1,0,"both","",-1,12,""
219,1011,"end","exp",6,0,0,"both","",-1,0,""
220,10111,"end","mesos",100000,0,0,"both","",-1,0,""
221,10111,"end","item",4000016,-100,0,"both","",-1,0,""
222,10111,"end","item",4000004,-50,0,"both","",-1,0,""
223,10112,"end","mesos",200000,0,0,"both","",-1,0,""
224,10112,"end","item",4000024,-80,0,"both","",-1,0,""
225,10112,"end","item",4000020,-100,0,"both","",-1,0,""
226,10113,"end","mesos",100000,0,0,"both","",-1,0,""
227,10113,"end","item",4000016,-100,0,"both","",-1,0,""
228,10113,"end","item",4000004,-50,0,"both","",-1,0,""
229,10114,"end","mesos",200000,0,0,"both","",-1,0,""
230,10114,"end","item",4000024,-80,0,"both","",-1,0,""
231,10114,"end","item",4000020,-100,0,"both","",-1,0,""
232,1012,"end","exp",10,0,0,"both","",-1,0,""
233,1013,"end","exp",10,0,0,"both","",-1,0,""
234,1014,"end","exp",10,0,0,"both","",-1,0,""
235,1015,"end","exp",20,0,0,"both","",-1,0,""
236,1016,"end","exp",70,0,0,"both","",-1,0,""
237,1017,"end","exp",50,0,0,"both","",-1,0,""
238,1017,"end","mesos",300,0,0,"both","",-1,0,""
239,1018,"end","exp",10,0,0,"both","",-1,0,""
240,1018,"end","item",4000142,0,0,"both","",-1,0,""
241,1019,"end","exp",30,0,0,"both","",-1,0,""
242,1020,"end","item",3010000,1,0,"both","",-1,0,""
243,10200,"end","mesos",5000,0,0,"both","",-1,0,""
244,10205,"end","item",1122017,1,0,"both","",-1,0,""
245,1022,"end","exp",70,0,0,"both","",-1,0,""
246,1022,"end","item",2010000,5,0,"both","",-1,0,""
247,1022,"end","item",2010009,5,0,"both","",-1,0,""
248,1023,"end","exp",100,0,0,"both","",-1,0,""
249,1023,"end","item",2000000,5,0,"both","",-1,0,""
250,1023,"end","item",2000003,5,0,"both","",-1,0,""
251,10230,"start","item",2430007,1,0,"both","",-1,0,""
252,1024,"end","exp",70,0,0,"both","",-1,0,""
253,1024,"end","item",2010002,5,0,"both","",-1,0,""
254,1024,"end","item",2010003,5,0,"both","",-1,0,""
255,1024,"end","item",4000003,-3,0,"both","",-1,0,""
256,10240,"end","item",4032264,-10,0,"both","",-1,0,""
257,10240,"end","item",4032266,-10,0,"both","",-1,0,""
258,10240,"end","item",2022526,1,0,"both","",-1,33,""
259,10240,"end","item",2022527,1,0,"both","",-1,33,""
260,10240,"end","item",2022528,1,0,"both","",-1,33,""
261,10241,"end","item",4032265,-10,0,"both","",-1,0,""
262,10241,"end","item",4032270,-10,0,"both","",-1,0,""
263,10241,"end","item",2022526,1,0,"both","",-1,33,""
264,10241,"end","item",2022527,1,0,"both","",-1,33,""
265,10241,"end","item",2022528,1,0,"both","",-1,33,""
266,10242,"end","item",2022526,-3,0,"both","",-1,0,""
267,10242,"end","item",1012139,1,0,"both","",-1,0,""
268,10243,"end","item",2022527,-3,0,"both","",-1,0,""
269,10243,"end","item",1012140,1,0,"both","",-1,0,""
270,10244,"end","item",2022528,-3,0,"both","",-1,0,""
271,10244,"end","item",1012141,1,0,"both","",-1,0,""
272,10245,"end","item",2022526,-3,0,"both","",-1,0,""
273,10245,"end","item",1012139,1,0,"both","",-1,0,""
274,10246,"end","item",2022527,-3,0,"both","",-1,0,""
275,10246,"end","item",1012140,1,0,"both","",-1,0,""
276,10247,"end","item",2022528,-3,0,"both","",-1,0,""
277,10247,"end","item",1012141,1,0,"both","",-1,0,""
278,10248,"end","item",2022526,-3,0,"both","",-1,0,""
279,10248,"end","item",1012139,1,0,"both","",-1,0,""
280,10249,"end","item",2022527,-3,0,"both","",-1,0,""
281,10249,"end","item",1012140,1,0,"both","",-1,0,""
282,1025,"end","exp",50,0,0,"both","",-1,0,""
283,1025,"end","item",4000004,-1,0,"both","",-1,0,""
284,1025,"end","item",4000011,-5,0,"both","",-1,0,""
285,10250,"end","item",2022528,-3,0,"both","",-1,0,""
286,10250,"end","item",1012141,1,0,"both","",-1,0,""
287,10251,"end","item",2022526,-3,0,"both","",-1,0,""
288,10251,"end","item",1012139,1,0,"both","",-1,0,""
289,10252,"end","item",2022527,-3,0,"both","",-1,0,""
290,10252,"end","item",1012140,1,0,"both","",-1,0,""
291,10253,"end","item",2022528,-3,0,"both","",-1,0,""
292,10253,"end","item",1012141,1,0,"both","",-1,0,""
293,10254,"end","item",2022526,-3,0,"both","",-1,0,""
294,10254,"end","item",1012139,1,0,"both","",-1,0,""
295,10255,"end","item",2022527,-3,0,"both","",-1,0,""
296,10255,"end","item",1012140,1,0,"both","",-1,0,""
297,10256,"end","item",2022528,-3,0,"both","",-1,0,""
298,10256,"end","item",1012140,1,0,"both","",-1,0,""
299,1026,"start","item",4031556,1,0,"both","",-1,0,""
300,1026,"end","exp",100,0,0,"both","",-1,0,""
301,1026,"end","item",2000000,10,0,"both","",-1,0,""
302,1026,"end","item",2000003,10,0,"both","",-1,0,""
303,1026,"end","item",4031556,-1,0,"both","",-1,0,""
304,10260,"end","item",2430009,1,0,"both","",-1,0,""
305,10260,"end","item",4032271,-30,0,"both","",-1,0,""
306,10261,"end","item",4032275,-30,0,"both","",-1,0,""
307,10261,"end","item",2430009,1,0,"both","",-1,0,""
308,10262,"end","item",4032276,-30,0,"both","",-1,0,""
309,10262,"end","item",2430009,1,0,"both","",-1,0,""
310,10263,"end","item",4032277,-30,0,"both","",-1,0,""
311,10263,"end","item",2430009,1,0,"both","",-1,0,""
312,10264,"end","item",1012146,1,0,"both","",-1,0,""
313,10264,"end","item",4032284,-1,0,"both","",-1,0,""
314,10265,"end","item",1012146,1,0,"both","",-1,0,""
315,10265,"end","item",4032285,-1,0,"both","",-1,0,""
316,10266,"end","item",1012146,1,0,"both","",-1,0,""
317,10266,"end","item",4032286,-1,0,"both","",-1,0,""
318,10267,"end","item",1012146,1,0,"both","",-1,0,""
319,10267,"end","item",4032287,-1,0,"both","",-1,0,""
320,10268,"end","item",4032272,-10,0,"both","",-1,0,""
321,10268,"end","item",4032273,-10,0,"both","",-1,0,""
322,1027,"end","exp",20,0,0,"both","",-1,0,""
323,10270,"end","item",4032281,-10,0,"both","",-1,0,""
324,10270,"end","item",4032278,-10,0,"both","",-1,0,""
325,10271,"end","item",4032282,-10,0,"both","",-1,0,""
326,10271,"end","item",4032279,-10,0,"both","",-1,0,""
327,10272,"end","item",4032283,-10,0,"both","",-1,-1,""
328,10272,"end","item",4032280,-10,0,"both","",-1,-1,""
329,10273,"end","item",2031006,1,0,"both","",-1,0,""
330,1028,"end","exp",130,0,0,"both","",-1,0,""
331,1028,"end","item",2010001,10,0,"both","",-1,0,""
332,1028,"end","item",2010004,10,0,"both","",-1,0,""
333,10282,"start","item",4220148,1,0,"both","",-1,0,""
334,10283,"start","item",4220149,1,0,"both","",-1,0,""
335,10284,"start","item",4220150,1,0,"both","",-1,0,""
336,10285,"end","item",1142099,-1,0,"both","",-1,0,""
337,10285,"end","item",1142100,1,0,"both","",-1,0,""
338,10286,"end","item",1082252,1,0,"both","",-1,0,""
339,10286,"end","item",4001126,-800,0,"both","",-1,0,""
340,1029,"end","exp",7,0,0,"both","",-1,0,""
341,1030,"end","exp",11,0,0,"both","",-1,0,""
342,10300,"end","item",4032348,-20,0,"both","",-1,0,""
343,10301,"end","item",4032349,-20,0,"both","",-1,0,""
344,10302,"end","item",4032350,-20,0,"both","",-1,0,""
345,10303,"end","item",4001300,1,0,"both","",-1,0,""
346,1031,"end","exp",5,0,0,"both","",-1,0,""
347,1032,"end","exp",7,0,0,"both","",-1,0,""
348,10322,"end","item",1003073,1,0,"both","",-1,-1,""
349,10322,"end","item",1022103,1,0,"both","",-1,-1,""
350,10328,"end","item",1142125,1,0,"both","",-1,0,""
351,1033,"end","exp",7,0,0,"both","",-1,0,""
352,10330,"start","buff",2210034,0,0,"both","",-1,0,""
353,1034,"start","item",4031792,10,0,"both","",-1,0,""
354,1034,"end","exp",20,0,0,"both","",-1,0,""
355,1034,"end","item",4031792,-10,0,"both","",-1,0,""
356,1034,"end","item",2022253,2,0,"both","beginner",-1,0,""
357,1035,"end","exp",30,0,0,"both","",-1,0,""
358,1035,"end","item",1002053,1,0,"both","beginner",-1,1,""
359,1035,"end","item",1002008,1,0,"both","beginner",-1,1,""
360,1035,"end","item",1002014,1,0,"both","beginner",-1,1,""
361,1035,"end","item",1002068,1,0,"both","beginner",-1,1,""
362,1035,"end","item",1002069,1,0,"both","beginner",-1,1,""
363,1035,"end","item",4031802,-1,0,"both","",-1,0,""
364,1036,"end","exp",40,0,0,"both","",-1,0,""
365,10360,"start","item",3994138,1,0,"both","",-1,0,""
366,10360,"end","item",3994139,-1,0,"both","",-1,0,""
367,1037,"end","exp",60,0,0,"both","",-1,0,""
368,1038,"start","item",4031800,1,0,"both","",-1,0,""
369,1038,"end","exp",40,0,0,"both","",-1,0,""
370,1038,"end","item",2000000,5,0,"both","",-1,0,""
371,1038,"end","item",2000003,5,0,"both","",-1,0,""
372,1038,"end","item",4031800,-1,0,"both","",-1,0,""
373,10381,"end","item",1112405,1,0,"both","",-1,0,""
374,10381,"end","item",1112414,-1,0,"both","",-1,0,""
375,1039,"end","exp",100,0,0,"both","",-1,0,""
376,10390,"end","mesos",100000,0,0,"both","",-1,0,""
377,10390,"end","item",4000016,-100,0,"both","",-1,0,""
378,10390,"end","item",4000004,-50,0,"both","",-1,0,""
379,10391,"end","mesos",200000,0,0,"both","",-1,0,""
380,10391,"end","item",4000024,-80,0,"both","",-1,0,""
381,10391,"end","item",4000020,-100,0,"both","",-1,0,""
382,10392,"end","mesos",100000,0,0,"both","",-1,0,""
383,10392,"end","item",4000016,-100,0,"both","",-1,0,""
384,10392,"end","item",4000004,-50,0,"both","",-1,0,""
385,10393,"end","mesos",200000,0,0,"both","",-1,0,""
386,10393,"end","item",4000024,-80,0,"both","",-1,0,""
387,10393,"end","item",4000020,-100,0,"both","",-1,0,""
388,1040,"end","exp",500,0,0,"both","",-1,0,""
389,1040,"end","item",4031801,1,0,"both","",-1,0,""
390,10405,"end","item",4001320,-1,0,"both","",-1,0,""
391,10405,"end","item",1452048,1,0,"both","bowman,cygnus_bowman",-1,-1,""
392,10405,"end","item",1462043,1,0,"both","bowman,cygnus_bowman",-1,-1,""
393,10405,"end","item",1332059,1,0,"both","thief,cygnus_thief",-1,-1,""
394,10405,"end","item",1472058,1,0,"both","thief,cygnus_thief",-1,-1,""
395,10405,"end","item",1382042,1,0,"both","magician,cygnus_magician",-1,-1,""
396,10405,"end","item",1302071,1,0,"both","beginner,warrior,cygnus_beginner,cygnus_warrior",-1,-1,""
397,10405,"end","item",1312034,1,0,"both","warrior,cygnus_warrior",-1,-1,""
398,10405,"end","item",1322056,1,0,"both","warrior,cygnus_warrior",-1,-1,""
399,10405,"end","item",1402041,1,0,"both","warrior,cygnus_warrior",-1,-1,""
400,10405,"end","item",1412029,1,0,"both","warrior,cygnus_warrior",-1,-1,""
401,10405,"end","item",1422033,1,0,"both","warrior,cygnus_warrior",-1,-1,""
402,10405,"end","item",1432042,1,0,"both","warrior,cygnus_warrior",-1,-1,""
403,10405,"end","item",1442053,1,0,"both","warrior,cygnus_warrior,episode2_warrior",-1,-1,""
404,10405,"end","item",1482025,1,0,"both","pirate,cygnus_pirate",-1,-1,""
405,10405,"end","item",1492026,1,0,"both","pirate,cygnus_pirate",-1,-1,""
406,1041,"end","exp",150,0,0,"both","",-1,0,""
407,1041,"end","item",4000003,-3,0,"both","",-1,0,""
408,1041,"start","item",1332066,1,0,"both","",-1,0,""
409,10410,"start","item",2450000,1,0,"both","",-1,0,""
410,10410,"start","item",2450000,1,0,"both","",-1,0,""
411,10410,"start","item",2450000,1,0,"both","",-1,0,""
412,10410,"start","item",2450000,1,0,"both","",-1,0,""
413,10410,"start","item",2450000,1,0,"both","",-1,0,""
414,10410,"start","item",2450000,1,0,"both","",-1,0,""
415,10411,"start","item",2450000,1,0,"both","",-1,0,""
416,10411,"start","item",2450000,1,0,"both","",-1,0,""
417,10411,"start","item",2450000,1,0,"both","",-1,0,""
418,10411,"start","item",2450000,1,0,"both","",-1,0,""
419,10411,"start","item",2450000,1,0,"both","",-1,0,""
420,10411,"start","item",2450000,1,0,"both","",-1,0,""
421,10412,"start","item",2450000,1,0,"both","",-1,0,""
422,10412,"start","item",2450000,1,0,"both","",-1,0,""
423,10412,"start","item",2450000,1,0,"both","",-1,0,""
424,10412,"start","item",2450000,1,0,"both","",-1,0,""
425,10412,"start","item",2450000,1,0,"both","",-1,0,""
426,10412,"start","item",2450000,1,0,"both","",-1,0,""
427,10413,"start","item",2450000,1,0,"both","",-1,0,""
428,10413,"start","item",2450000,1,0,"both","",-1,0,""
429,10413,"start","item",2450000,1,0,"both","",-1,0,""
430,10413,"start","item",2450000,1,0,"both","",-1,0,""
431,10413,"start","item",2450000,1,0,"both","",-1,0,""
432,10413,"start","item",2450000,1,0,"both","",-1,0,""
433,10414,"start","item",2450000,1,0,"both","",-1,0,""
434,10414,"start","item",2450000,1,0,"both","",-1,0,""
435,10414,"start","item",2450000,1,0,"both","",-1,0,""
436,10414,"start","item",2450000,1,0,"both","",-1,0,""
437,10414,"start","item",2450000,1,0,"both","",-1,0,""
438,10414,"start","item",2450000,1,0,"both","",-1,0,""
439,1042,"end","exp",175,0,0,"both","",-1,0,""
440,1042,"end","item",2010002,10,0,"both","",-1,0,""
441,1042,"end","item",2010003,10,0,"both","",-1,0,""
442,10425,"start","item",2430031,1,0,"both","",-1,0,""
443,10425,"end","item",4032433,-1,0,"both","",-1,0,""
444,10425,"end","item",3010081,1,0,"both","",-1,5,""
445,10425,"end","item",3010082,1,0,"both","",-1,5,""
446,10425,"end","item",3010083,1,0,"both","",-1,10,""
447,10425,"end","item",3010084,1,0,"both","",-1,10,""
448,10425,"end","item",1002812,1,0,"both","",-1,10,""
449,10425,"end","item",2210018,3,0,"both","",-1,50,""
450,10425,"end","item",2430008,1,0,"both","",-1,8,""
451,10425,"end","item",1122017,1,0,"both","",-1,2,""
452,10426,"end","item",2430031,1,0,"both","",-1,0,""
453,1043,"end","exp",200,0,0,"both","",-1,0,""
454,1043,"end","item",4000004,-1,0,"both","",-1,0,""
455,10430,"start","item",4220152,1,0,"both","",-1,0,""
456,10430,"end","exp",30000,0,0,"both","",-1,0,""
457,10430,"end","item",4220152,0,0,"both","",-1,0,""
458,10430,"end","item",1052217,1,0,"both","",-1,0,""
459,10431,"start","item",4001333,1,0,"both","",-1,0,""
460,10431,"end","exp",3000,0,0,"both","",-1,0,""
461,10431,"end","item",4001331,1,0,"both","",-1,0,""
462,10431,"end","item",4001334,-1,0,"both","",-1,0,""
463,10432,"start","item",4001333,1,0,"both","",-1,0,""
464,10432,"end","exp",3000,0,0,"both","",-1,0,""
465,10432,"end","item",4001332,1,0,"both","",-1,0,""
