question_set,questionid,"question","display","answer"
2,16,"A single item slot can hold upto 100 ores of same kind at once.","The ores can be stored up to 100 per slot.","o"
2,17,"The item that's dropped onto the field will not disappear, even after a long period of time.","It disappears after a certain amount of time.","x"
2,100,"To make the Mithril Tower Shield, you'll need Steel Tower Shield, 10 Mithril Plates, and 50,000 mesos.","Not 50,000 mesos, but 100,000 mesos.","x"
2,101,"To make the Moon Rock, you'll need to take the a Plate of Mithril, Steel, Bronze, Adamantium, Silver, Orihalcon, and Gold each at Arwen the Fairy.","You also need 10,000 mesos along with the items.","x"
2,102,"To make the Mithril Brist, you'll need Steel Brist, 5 Mithril Plates, and 55,000 mesos.","Mr. Smith of Perion makes it.","o"
2,103,"Steel Pride, a hat for Magicians, has the item option of INT + 1 and LUK + 1","Only INT + 1 is available.","x"
2,104,"To make Steel Trigger, which can be worn at LV. 30 for Warriors, you'll need 30 pieces of Drake's Skin.","It'll take 30 leathers and 20 pieces of Drake's Skin.","x"
2,105,"Green Jack Boots, which is available for Bowman over LV. 25, has the item option of DEX + 2","An option of DEX + 1 is attached to it.","x"
2,106,"Blue White-Lined Boots, which is available for thieves over LV. 35, has the item option of LUK + 1 and DEX + 1.","It's available through Chrishrama of Sleepywood.","o"
2,107,"To make Metal Koif, a helmet for Warriors, you'll need a Bronze Koif, a Steel Plate, and 500 mesos.","Mr. Thunder of Perion makes it.","o"
2,108,"To make Green Diros, a glove for Bowman, you'll need Red Diros as one of the materials.","Not Red Diros, but Blue Diros.","x"
2,109,"To make the Basic Archer Glove, you'll need 20 leathers.","To make the Basic Archer Glove, you'll need 15 leathers.","x"
2,110,"To make Work Glove, a glove for thieves, you'll need 20 leathers and 1,000 mesos.","You need 15 leathers and 1,000 mesos.","x"
2,111,"To make Dark Wolfskin, a Thief glove, you'll need Steel Wolfskin as one of the materials.","Not Steel Wolfskin, but Bronze Wolfskin.","x"
2,112,"To make Steel Titans, a claw for thieves, you'll need 5 screws as one of the materials. ","JM from tha Streetz of Kerning City makes it.","o"
2,113,"To make Steel Igor, a claw for thieves, you'll need Bronze Igor, 2 Steel Plates, and 3,000 mesos. ","JM from tha Streetz of Kerning City makes it.","o"
2,114,"To make Red Lutia, a glove for Magicians, you'll need 60 leathers.","Francois of Ellinia makes it.","o"
2,115,"Dark Arten, a glove for Magicians, has the item option of INT + 2 and LUK + 1.","The only option attached to it is INT + 3.","x"
2,116,"The level limit for Juno, a glove for Warriors, is 15.","The level limit is 10.","x"
2,117,"To make Yellow Briggon, a glove for Warriors, you'll need 2 Topaz's.","Not 2, but 3 Topaz's","x"
2,118,"All weapons that can be used by everyone are only limited by levels, not stats.","There are weapons that are affected by the stats.","x"
2,119,"To make Bronze Husk, a glove for Warriors, you'll need 2 Power Crystals as one of the materials.","An option of STR + 2 is attached to it.","o"
2,120,"Snowshoes, which enables you not to slip through snow, is available to everyone with the level limit of 30.","The boots differ from different jobs.","x"
2,121,"To make a crossbow called Rower, you'll need 45 screws.","You need 40 screws.","x"
2,122,"The most expensive one to refine is the Star Rock.","The most expensive one to refine is Dark Crystal, which will cost you 50,000 mesos.","x"
2,123,"At the Repair Shop, you'll be able to acquire a Steel Plate with 100 pieces of Iron Hog's Metal Hoof and 1,000 mesos.","The Repair Shop is at Kerning City.","o"
2,124,"The Bronze Arrows and Steel Arrows are available through Vicious of Henesys.","Vicious only makes Bronze Arrows.","x"
3,1,"You get 5 mesos for selling one Mushroom Spore.","You get 3 mesos for selling one Mushroom Spore.","x"
3,2,"Slime Bubble costs more than the Squishy Liquid.","Slime Bubble DOES cost more than the Squishy Liquid.","o"
3,3,"You get 100 mesos for selling 1 ore of Bronze.","You get 100 mesos for selling 1 ore of Bronze.","o"
3,4,"Drake's Skull from Red Drake costs more than the Drake's Skull of other Drakes.","They all cost the same.","x"
3,5,"To refine one Black Crystal, it'll cost you 3,000 mesos.","It costs 3,000 mesos to refine a black crystal.","o"
3,6,"You get 8 mesos for selling one Orange Mushroom Cap.","You get 4 mesos for selling one Orange Mushroom Cap.","x"
3,7,"You get 50 mesos for selling 10 tree branches.","You get 4 mesos for selling 1 tree branch.","x"
3,8,"You get 300 mesos for selling 3 leathers.","You get 100 mesos for selling 1 leather.","o"
3,9,"The price of 10 ores of Gold and one Gold Plate is of same price.","You'll get 3,000 mesos for selling 10 ores of Gold, 1,200 mesos for a Gold Plate.","x"
3,10,"The most expensive Return Scroll is the one to Sleepywood.","The Return Scroll : Sleepywood costs 600 mesos.","o"
3,11,"Sell 5 of Malady's Experiemental Frogs, buy Arrows for Bow, sell them back to the store, and you'll get 300 mesos.","You don't get anything for selling arrows at the store. Doesn't that blow?","x"
3,12,"To purchase [Old Wisconsin], you'll need 3,000 mesos.","[Old Wisconsin] is available through the weapon store at Henesys.","o"
3,13,"If you purchase Arrow for Bow at the store, it'll cost you 1 meso per arrow, but you won't be able to sell the arrows for any money.","Arrow for Bow and Crossbow will not get you any money for selling them at the store.","o"
3,14,"The Watermelon at MapleStory costs 3,100 mesos.","It costs 3,200 mesos.","x"
3,15,"The Red Bean Sundae at MapleStory costs 4,000 mesos.","You can buy it from an NPC for 4,000 mesos.","o"
3,16,"The Ice Cream Suckers at MapleStory costs 2,100 mesos.","It costs 2,300 mesos.","x"
3,17,"The price of 150 Huge Bubbles of Bubbling is LOWER than 200 Slime Bubbles.","200 Slime Bubbles : 10,000 mesos. 150 Huge Bubbles of Bubbling : 1,500 mesos.","o"
3,100,"The price of Jr. Neck Skin and Stirge Wing is the same.","They both go for 12 mesos.","o"
3,101,"The price of 2 Jr. Necki skins is LOWER than 1 Ligator skin.","2 Jr. Neck Skins = 24 mesos. 1 Ligator Skin = 25 mesos.","o"
3,102,"Sell 10 Tablecloths from Jr. Wraith, and you'll be able to buy a Lemon with it.","Lemon costs 305 mesos, so you'll be short of 5 mesos.","x"
3,103,"1 Lorang Claw has the same price as 1 Cold Eye Tail.","Lorang Claw = 32 mesos. Cold Eye Tail = 35 mesos.","x"
3,104,"1 Clang Claw has the same price as the price of 5 Blue Mushroom Caps.","Clang Claw = 60 mesos. Blue Mushroom Cap = 12.","o"
3,105,"The price of Umti Shell and Slime Bubble is the same.","They both go for 50 mesos.","o"
3,106,"If you sell 100 pieces of Iron Hog's Metal Hoof, you'll be able to buy a Dark Moon Conehat.","100 pieces of Iron Hog's Metal Hoof = 3,800 mesos. Yes, you can buy Dark Moon Conehat with that.","o"
3,107,"The Medicine with Weird Vibes from Wraith will go for the same price as 1 Processed Wood.","Medicine with Weird Vibes = 50 mesos. Processed Wood = 20 mesos.","x"
3,108,"The price of 128 pieces of Croko Skin is 6,500 mesos.","128 x 50 = 6,400, not 6,500.","x"
3,109,"If you sell 10 Pig Ribbons to the store, you can buy a Red Potion with those mesos.","10 Pig Ribbons = 50 mesos.","o"
3,110,"A Mushmom Spore has the same price as a Tauromacis Horn.","They both go for 100 mesos.","o"
3,111,"If you sell the Star Rock at the store, you'll get 10,000 mesos per.","You'll get 10,000 mesos per Star Rock.","o"
3,112,"If you sell 2 Red Snail Shells, 2 Pig Heads, and 1 Slime Bubble at the store, you'll get 140 mesos.","You'll get 30+60+50=140 mesos.","o"
3,113,"Both the Yellow Umbrella and the Sky-Blue Umbrella will get you 1 meso if you sell them at the stores.","1 meso for Sky-Blue Umbrella, but 50,000 mesos for Yellow Umbrella. ","x"
3,114,"It costs the same whereever in MapleStory to refine the ores.","It's a little bit cheaper at Kerning City.","x"
3,115,"If you sell your screws at the store, it'll fetch you 100 mesos per screw.","It goes fo 50 mesos.","x"
4,1,"Red Potion increases the HP by 100.","Increases the HP by 50.","x"
4,2,"Lemon increases the MP by 150.","Increases the MP by 150.","o"
4,3,"The Warrior Potion increases the Weapon ATT by 10 for 3 min.","Increases the Weapon ATT by 5 for 3 min.","x"
4,4,"Blue Potion is 8 mesos cheaper at the Ellinia Department Store than other places.","The Blue Potion is cheaper in Ellinia Department Store.","o"
4,5,"If you take the Orange Potion, it'll improve your HP by 150, and it costs 150 mesos at stores.","It costs 160 mesos.","x"
4,6,"The Speed Potion will increase your speed for 5 min.","Increases the speed for 3 min.","x"
4,7,"The Wizard Potion will increase your Magic ATT by 10 for 5 min.","Increases the Magic ATT by 5 for 3 min.","x"
4,8,"The Sap of an Ancient Tree will increase your Magic ATT by 10 for 5 min.","Increases the Magic ATT by 10 for 5 min.","o"
4,9,"The Drake's Meat will increase your Weapon DEF by 10 for 3 min.","Increases the Weapon DEF by 10 for 3 min.","o"
4,10,"Drake's Blood will increase your Weapon ATT by 10 for 5 min.","Increases the Weapon ATT by 8 for 5 min.","x"
4,11,"Take one Power Elixir, and it'll restore your HP and MP back to 100%.","Power Elixir recovers all HP and MP.","o"
4,12,"Meat can be bought at stores for 106 mesos, and it recovers HP 100.","Increases the HP by 100.","o"
4,100,"Sniper Potion will increase your accuracy by 5 for 5 min.","Increases accuracy by 5 for 5 min.","o"
4,101,"Pizza costs 420 mesos, and one slice will recover HP 400.","Pizza costs 450 mesos.","x"
4,102,"Cake costs 320 mesos, and one piece will recover HP 100 and MP 100.","Check the 24 Hr Mobile Store","o"
4,103,"The Pure Water that can be purchased at 24 Hr Mobile Store costs 1600 mesos and recovers MP 800.","The Pure Water that can be purchased at 24 Hr Mobile Store costs 1650 mesos","x"
4,104,"Hot Dog costs 320 mesos and one will recover HP 300.","Check the 24 Hr Mobile Store","o"
4,105,"Hamburger costs 430 mesos and one will recover HP 400.","Hamburger costs 450 mesos.","x"
4,106,"You'll get 2,750 mesos from the stores if you sell your Power Elixir.","It fetches 2,500 mesos.","x"
4,107,"DEX Potion increases your avoidability by 5 for 3 min.","Increases the avoidability by 5 for 3 min.","o"
4,108,"Sunset Dew recovers MP 5000","It recovers MP 5,000.","o"
4,109,"Sunrise Dew recovers HP 4000.","It recovers MP 4,000.","x"
4,110,"Sunrise Dew can be sold to the stores for 4,050 mesos.","It's sold for 4,050 mesos.","o"
4,111,"Sunset Dew can be sold to the stores for 5,050 mesos.","It's sold for 5,100 mesos.","x"
4,112,"Pure Water can be bought through 24 Hr Mobile Store, Jane, Valen, Hana, or Mr. Sweatbottom.","Hana of El Nath does NOT sell pure water.","x"
5,1,"Once you complete the quest of \"Sera and Her Mirror\" at the Maple Island, you'll gain a little bit of EXP and mesos.","Only EXP, not mesos.","x"
5,2,"During the quest of \"Nina & Sen's Dinner\" at the Maple Island, Sen asks for the Mushroom Soup.","Sen wants the Mushroom Soup.","o"
5,3,"Once you complete the quest of \"Roger and the Apple\" at the Maple Island, you'll get a watermelon from him.","Gives away an apple.","x"
5,4,"Once you complete the quest of \"Deliver the Letter to the Chief\" at the Maple Island, you'll gain Wooden Shield.","Gives away a bandana.","x"
5,5,"Once you complete the quest of \"Biggs' Collection of Items\" at the Maple Island, you'll gain a Wooden Sword.","You'll get either a Fruit Knife or a Razor.","x"
5,6,"The quest of \"Fixing Blackbull's House\" at Perion can only be cleared by the ones that have gone through the 1st job adv.","The quest can be completed even without a job adv.","x"
5,7,"To clear the quest of \"Pia and the Blue Mushroom\" at Henesys, you'll need 60 Horned Mushroom Caps and 60 Blue Mushroom Caps.","Not Horned Mushroom Caps, but Green Mushroom Caps.","x"
5,8,"Once you complete the quest of \"Jane and the Wild Boar\" at Lith Harbor, you'll gain a Scroll for Armor DEF.","Not the scroll for armor, but the scroll for weapon.","x"
5,9,"To clear the quest of \"Alex the Runaway Kid\" at Kerning City, you'll need to get a gold watch from Chief Stan and deliver it back to Alex.","Chief Stan is at Henesys, Alex at Kerning City.","o"
5,10,"The quest of \"Arwen and the Glass Shoes\" at Ellinia can only be completed once.","The \"Glass Shoes\" quest can be repeated over and over again.","x"
5,11,"To clear the quest of \"Fixing Blackbull's House,\" you'll need 50 tree branches and 30 firewoods.","You need 30 tree branches and 50 firewoods.","x"
5,12,"The time limit for Party Quest at Kerning City is 30 min.","Has to be cleared within the 30 min. time limit.","o"
5,13,"If you're over LV. 40, even without the 2nd job adv., you'll be able to take on the quest of \"Jane the Alchemist\"","You need to have 2nd job adv. in order to take on the quest.","x"
5,14,"You won't be able to enter the Party Quest at Kerning City if some other party is already in there.","Only one party can enter the map to take on the Party Quest at a time.","o"
5,15,"Alex the runaway kid from Kerning City's father is Mr. Wetbottom of the VIP sauna at Sleepywood.","Alex's father is Chief Stan of Henesys.","x"
5,16,"Once you clear the quest of \"John's Pink Flower Basket,\" you'll receive 30 screws from him as a reward.","You'll receive 30 screws from John.","o"
5,17,"Mr. Wetbottom's Secret Book is blue.","It's in red.","x"
5,18,"The ticket sold at the subway construction site for B1, B2, and B3 all cost 2,000 mesos.","B1 - 500 mesos. B2 - 1,200 mesos. B3 - 2,000 mesos.","x"
5,19,"The level limit for Party Quest at Kerning City is between 20 and 30.","The level limit is between 21 and 30.","x"
5,20,"To take on the quest of \"Building a New House for Blackbull,\" your fame level needs to be at least 5.","The fame level has to be at least 10.","x"
5,21,"Every time you clear Shumi's quest, your fame level will increase by 1, all 3 times.","You'll earn a total of +3 on fame level through her quests.","o"
5,22,"Once the quest of \"Sabirtrama and the Anti-Aging Medicine\" is cleared, you'll be able to gain either a Star Rock or a Moon Rock.","If the items are NOT of the ones Sabitrama requested, you'll get a Moon Rock instead.","o"
5,23,"For the quest of \"Sabitrama and the Diet Medicine,\" the color of the flowers he asks for are the same throughout.","The color of flowers differ everytime you ask him.","x"
5,24,"The Party Quest of Kerning City consists of 5 stages.","You need to clear 5 stages. There's also a bonus stage available.","o"
5,25,"The quest of \"Jane the Alchemist\" asks for materials 3 different times.","You need to gather up the materials 3 times to clear the quest.","o"
5,26,"For the quest of \"Sabitrama and the Diet Medicine,\" if you clear it without delivering the right herb, you'll just receive EXP 500.","You'll receive EXP 500 while clearing it.","o"
5,100,"Once you clear the quest of \"Jane and the Wild Boar,\" you'll receive a random weapon attack scroll of either 100%, 60%, or 10%.","You'll receive EXP 500 and a 60% Scroll for Weapon Att.","x"
5,101,"The Forest of Patience consists of 5 levels.","Diet Medicine (LV 1, 2). Anti-Aging Medicine (LV 3, 4, 5)","o"
5,102,"Shumi's quest goes from <Lost Coin - Lots of Money - Sack of Money> ","The 2nd quest is \"Shumi and the Lost Bundle of Money\"","x"
5,103,"The Unagi Special you'll need for Mr. Wetbottom's quests consists of Lupin Banana, Curse Eye Tail, and Pig Head.","Lupin Banana does NOT go in the Unagi Special.","x"
5,104,"The Deep Forest of Patience consists of 7 levels.","Deep Forest of Patience consists of 7 levels.","o"
5,105,"To clear the quest of \"Luke the Security Guy,\" you'll need 100 pieces of Jr. Necki Skin, 10 Stirge Wings, and 1 Pure Water. ","1 Bowl of Salad, not Pure Water.","x"
5,106,"To clear the quest of \"Rowen and the Cursed Dolls,\" you'll need a total of 2,300 cursed dolls.","You'll need 100. 200, 400, 600, and 1,000 cursed dolls per quest.","o"
5,107,"To reawaken the Ragged Gladius from the quest of \"Manji's Ragged Gladius,\" you'll need the Moon Rock for it.","You need the Star Rock.","x"
5,108,"Once you clear the quest of \"Building a New House for Blackbull,\" you'll randomly receive a 10% Scroll for Weapon Att. ","The scrolls can be chosen according to your occupation.","x"
5,109,"The Deed to the Land you need to clear the quest of \"Building a New House for Blackbull\" can be obtained through Cold Eye.","The Deed can be obtained through Curse Eye.","x"
5,110,"Once you clear the quest of \"Ronnie & the Fairies Building a New House,\" you'll receive EXP 4,000.","You'll receive EXP 3,900.","x"
5,111,"Once you clear the quest of \"Sabitrama and the Anti-Aging  Medicine,\" your fame level will increase by 2.","Your fame level will increase, along with gaining some EXP and items.","o"
5,112,"Once you clear the quest of \"Pia's Present for a Friend,\" you'll receive an overall armor for Thief with the level limit of 60.","You'll receive a set of LV. 60 top and bottom.","x"
5,113,"The quest of \"Trade with Sergeant Charlie\" can be done regardless of the level.","The quest is available even to the beginners.","o"
5,114,"The NPC's that you need to see for the quest of \"Alpha Platoon's Network of Communication\" are Master Sergeant Fox, Staff Sergeant Bravo, Sergeant Charlie, and Corporal Easy.","They are Master Sergeant Fox, Staff Sergeant Bravo, Sergeant Charlie, and Corporal Easy.","x"
5,115,"For the quest of \"Looking For a Book of Ancient,\" all users over LV. 50, regardless of the job, can take part in it.","All users LV. 55 and over, minus the beginners, can take part in it.","x"
6,1,"In order to become a Bowman, beginners need to head over to Bowman Training School.","The beginners can become bowmen at the Bowman Instructional School.","x"
6,2,"In order to become a Warrior, beginners need to head over to the Warrior Sanctuary.","The beginners can become Warriors at the Warrior Sanctuary.","o"
6,3,"In order to become a Magician, beginners need to head over to the Magic Library.","The beginners can become Magicians at the Magic Library.","o"
6,4,"The item you need to collect to make the 2nd job adv., all 30 of them, is called the Brown Crystal.","You need to collect 30 BLACK Crystals.","x"
6,5,"Once you have collected 30 Black Crystals for the 2nd job adv., you'll be awarded the \"Proof of a Hero.\"","Once you have collected 30 Black Crystals for the 2nd job adv., you'll be awarded the \"Proof of a Hero.\"","o"
6,6,"For the 2nd job adv., a Warrior can choose between becoming a Fighter, Page, or an Axeman.","You can choose between Fighter, Page, or Spearman as your 2nd job adv. as a Warrior. ","x"
6,7,"For the 2nd job adv., a Bowman can choose between becoming a Hunter or a Sniper.","Hunter for the Bowman, Sniper for the crossBowman.","o"
6,8,"For the 2nd job adv., a Thief can choose between becoming an Assassin or a Bandit.","Assassin for the Thief with throwing stars, Bandit for the Thief with daggers.","o"
6,9,"For the 2nd job adv., a Magician can choose between becoming a Wizard or a Priest.","You'll be choosing either Wizard or Cleric.","x"
6,10,"When the beginner is at level 10, he/she can choose to become a Warrior, Magician, Thief, or a Bowman.","You can become a Magician at LV. 8","x"
6,11,"For a beginner to become a Thief, one needs to have at least LUK of 25 or over.","You need DEX of 25 or over.","x"
6,12,"To make the 3rd job adv., the user needs be at least at LV. 70 or above.","The 3rd job adv. will be available to users at LV 70 or over.","o"
6,13,"When a beginner makes the first job adv., 1 skill point is awarded.","When a beginner makes the job adv., 1 skill point will be awarded.","o"
6,14,"","Can't change your job into something totally different.","x"
6,15,"To make the 4th job advancement, you'll need to be at least at LV. 120, with a 3rd job adv. under your belt.","The 4th job adv. will be available to the ones over LV. 120.","o"
6,16,"A 1st-level Magician skill, \"Improving MP Recovery,\" goes up to level 15.","The skill goes up to level 16.","x"
6,100,"When the Spearman's skill, \"Hyper Body,\" is fully mastered, your MaxHP and MaxMP increases by 60%.","If you have mastered the skill, your MaxHP & MaxMP increases 60%.","o"
6,101,"When the Sniper's skill, \"Iron Arrow,\" is fully mastered, the damage will increase by 180%.","Once you have mastered the Iron Arrow, the damage will increase by 180%.","o"
6,102,"The Thief has a skill called \"Lucky Seven,\" which enables you to throw stars in mid-air.","Thieves can use skills while in mid-air.","o"
6,103,"All 2nd-level skills, regardless of the occupation, has a total of 6 sets of skills.","There are 8 different sets of skills for Warriors.","x"
6,104,"In order to become a Bowman, beginners need to head over to Bowman Training School.","The beginners can become thieves at the Thieves' Hideout.","x"
6,105,"Magicians have 3 different types of jobs available for the 4th job adv.","Only Warriors have the jobs split 3 ways for the 4th job adv.","x"
6,109,"Add up all the occupations for the 4th job adv., and it adds up to 9.","3 for Warriors + 2 for Magicians + 2 for bowmen + 2 for thieves = 9","o"
7,1,"After making your new character, the first place you head over to is the [Maple Island].","[Maple Island] is the very first place you end up in MapleStory.","o"
7,2,"When creating a character, you'll be rolling a dice for the character stats. When you add up the stats for STR, DEX, INT, LUK, it'll add up to 24.","It's a total of 25 points.","x"
7,3,"The first NPC you run into in MapleStory is \"Rina.\"","The first NPC you run into in MapleStory is \"Heena.\"","x"
7,4,"Beginners need to pay only 100 mesos, a major discount, to use the cabs that are placed on every town on the island.","Beginners only need to pay 50 mesos to use the cab.","x"
7,5,"To purchase potions and scrolls at Kerning City, head over to \"Famous Pharmacy.\"","To purchase potions at Kerning City, head over to \"Famous Pharmacy.\"","o"
7,6,"In a safe town, you won't die even if your HP runs out by dropping from a high place.","Even in a safe town, if the HP runs out, the character will die.","x"
7,7,"To enter the Hidden Street, your character needs to be at least at LV. 10, with the job adv. under its belt.","Anyone can enter the Hidden Street.","x"
7,8,"The VIP Sauna at the Sleepywood Hotel costs 999 mesos to enter.","The VIP Sauna costs 999 mesos to enter.","o"
7,9,"To contact the MapleStory Hotline, dial 1588-7703","To contact the MapleStory Hotline, dial 1588-7703","o"
7,10,"The EXP points needed to level up differ from different jobs.","All EXP points needed for the level-up is equal to that of other jobs.","x"
7,11,"The EXP points awarded from the same monster differ from each time out.","The EXP points awarded will be the same, if it's from the same monster.","x"
7,12,"The NPC that sells potions at Florina Beach is named \"Valen.\"","The NPC that sells potions there is \"Valen.\"","o"
7,13,"You'll need EXP 15 to go from LV. 1 to LV. 2.","You'll need 15 points of EXP to go from LV 1 to LV 2.","o"
7,14,"You'll need EXP 34 to go from LV. 2 to LV. 3.","You'll need 34 points of EXP for that.","o"
7,15,"You'll need EXP 67 to go from LV. 3 to LV. 4.","You'll need 57 points of EXP for that.","x"
