mapid,seatid,x_pos,y_pos
100000203,20,1409,213
100010000,0,1350,-62
100010000,1,1417,-62
102000000,0,1473,70
102000000,1,1490,70
102000000,2,1508,70
102000000,3,1601,57
102000000,4,1618,57
102000000,5,1636,57
102000000,6,2364,1604
102000000,7,2381,1604
102000000,8,2399,1604
102000000,9,2227,1724
102000000,10,2244,1724
102000000,11,2262,1724
102000000,12,1992,1934
102000000,13,2009,1934
102000000,14,2027,1934
102000000,15,2101,1934
102000000,16,2118,1934
102000000,17,2136,1934
102000000,18,2211,1934
102000000,19,2228,1934
102000000,20,2246,1934
103020100,0,3861,-454
103020100,1,3928,-454
103040000,0,460,89
103040000,1,479,89
103040000,2,497,89
103040000,3,582,89
103040000,4,601,89
103040000,5,619,89
103040000,6,219,416
103040000,7,238,416
103040000,8,256,416
103040000,9,310,416
103040000,10,329,416
103040000,11,347,416
103040000,12,260,89
103040000,13,279,89
103040000,14,297,89
103040000,15,156,89
103040000,16,175,89
103040000,17,193,89
103040000,18,-1125,89
103040000,19,-1106,89
103040000,20,-1088,89
103040100,0,49,416
103040100,1,68,416
103040100,2,86,416
103040100,3,234,430
103040100,4,253,430
103040100,5,271,430
103040100,6,248,445
103040100,7,267,445
103040100,8,285,445
103040100,9,263,461
103040100,10,282,461
103040100,11,300,461
103040100,12,130,416
103040100,13,149,416
103040100,14,167,416
103040102,0,70,87
103040102,1,100,87
103040102,2,-58,87
103040102,3,-28,87
103040103,0,1082,416
103040103,1,1101,416
103040103,2,1119,416
103040103,3,1175,416
103040103,4,1194,416
103040103,5,1212,416
103040200,0,248,416
103040200,1,267,416
103040200,2,285,416
103040200,3,65,416
103040200,4,84,416
103040200,5,102,416
103040202,0,-255,416
103040202,1,-236,416
103040202,2,-218,416
103040300,0,265,414
103040300,1,295,414
103040300,2,328,414
103040300,3,358,414
103040300,4,-183,414
103040300,5,-153,414
103040300,6,-120,414
103040300,7,-90,414
103040301,0,-852,88
103040301,1,-833,88
103040301,2,-815,88
103040301,3,-1078,89
103040301,4,-1059,89
103040301,5,-1041,89
103040301,6,987,416
103040301,7,1006,416
103040301,8,1024,416
103040302,0,-1078,416
103040302,1,-1059,416
103040302,2,-1041,416
103040302,3,-982,416
103040302,4,-963,416
103040302,5,-945,416
103040410,0,-666,431
103040410,1,-647,431
103040410,2,-629,431
103040430,0,-1051,416
103040430,1,-1032,416
103040430,2,-1014,416
103040440,0,-666,431
103040440,1,-647,431
103040440,2,-629,431
103040460,0,-1051,416
103040460,1,-1032,416
103040460,2,-1014,416
104000000,0,2404,525
104000000,1,2427,525
104000000,2,2448,525
104000000,3,2606,525
104000000,4,2629,525
104000000,5,2650,525
104000000,6,2504,525
104000000,7,2527,525
104000000,8,2548,525
109010100,0,-1252,92
109010100,1,-1185,92
109010100,2,-1125,93
109010100,3,-1058,93
109010100,4,1479,-2368
109010100,5,1546,-2368
109010100,6,1595,-2366
109010100,7,1662,-2366
109010100,8,1590,-2607
109010100,9,1657,-2607
109010100,10,1658,-2848
109010100,11,1725,-2848
109070000,0,409,-910
120000000,0,707,108
120000000,1,714,108
120000000,2,2666,-334
120000000,3,2677,-334
200000000,0,1141,-485
200000000,1,1158,-485
200000000,2,1175,-485
200000000,3,1116,-140
200000000,4,1133,-140
200000000,5,1150,-140
200000000,6,-1227,-65
200000000,7,-1211,-65
200000000,8,-1194,-65
200000000,9,-1355,-98
200000000,10,-1339,-98
200000000,11,-1322,-98
200000000,12,1312,-77
200000000,13,1329,-77
200000000,14,1346,-77
200000000,15,1213,-108
200000000,16,1230,-108
200000000,17,1247,-108
200000000,18,-168,-420
200000000,19,-152,-420
200000000,20,-135,-420
200000000,21,-43,-386
200000000,22,-27,-386
200000000,23,-10,-386
200000000,24,-1241,-1290
200000000,25,-1225,-1290
200000000,26,-1208,-1290
200000000,27,-311,-1290
200000000,28,-295,-1290
200000000,29,-278,-1290
200000000,30,1247,-461
200000000,31,1264,-461
200000000,32,1281,-461
200000000,33,-498,-1245
200000000,34,-481,-1245
200000000,35,-464,-1245
200000000,36,-406,-1270
200000000,37,-389,-1270
200000000,38,-372,-1270
200000000,39,-1057,-1245
200000000,40,-1040,-1245
200000000,41,-1023,-1245
200000000,42,-1150,-1270
200000000,43,-1133,-1270
200000000,44,-1116,-1270
200000000,45,2925,-435
200000000,46,2942,-435
200000000,47,2959,-435
200000000,48,2813,-435
200000000,49,2830,-435
200000000,50,2847,-435
200000202,0,-11,54
200000202,1,106,194
200000202,2,206,194
200000300,0,-681,102
200000300,1,-664,102
200000300,2,-647,102
200000300,3,-904,102
200000300,4,-887,102
200000300,5,-870,102
200000301,0,-177,-144
200000301,1,-142,-144
200000301,2,-106,-144
200000301,3,547,-148
200000301,4,582,-148
200000301,5,618,-148
211000000,0,276,-519
211000000,1,298,-519
211000000,2,377,-519
211000000,3,402,-519
211000000,4,-106,-520
211000000,5,-78,-520
211000000,6,-231,-520
211000000,7,-203,-520
211000000,8,-2082,91
211000000,9,-2054,91
211000000,10,-2273,92
211000000,11,-2245,92
211000000,12,227,-100
211000000,13,255,-100
211000000,14,307,-100
211000000,15,335,-100
211000000,16,146,-100
211000000,17,174,-100
211000100,0,1066,94
211000100,1,1088,94
211000100,2,1167,94
211000100,3,1192,94
211000100,4,-676,94
211000100,5,-648,94
211000100,6,2206,93
211000100,7,2234,93
211000100,8,2121,93
211000100,9,2149,93
211000100,10,1773,94
211000100,11,1801,94
220000000,0,500,-258
220000000,1,512,-258
220000000,2,1884,-678
220000000,3,1903,-678
220000000,4,1921,-678
220000000,5,-2391,-18
220000000,6,-2372,-18
220000000,7,-2354,-18
220000000,8,-2514,-18
220000000,9,-2495,-18
220000000,10,-2477,-18
220000000,11,-1521,-678
220000000,12,-1502,-678
220000000,13,-1484,-678
220000000,14,-1404,-678
220000000,15,-1385,-678
220000000,16,-1367,-678
220000000,17,-989,-198
220000000,18,-977,-198
220000000,19,-950,-198
220000000,20,-938,-198
220000000,21,-911,-198
220000000,22,-899,-198
220000000,23,-2316,102
220000000,24,-2297,102
220000000,25,-2279,102
220000000,26,-2589,102
220000000,27,-2570,102
220000000,28,-2552,102
220000000,29,454,-258
220000000,30,466,-258
220000000,31,-741,102
220000000,32,-722,102
220000000,33,-704,102
220000000,34,569,-258
220000000,35,581,-258
220000000,36,1117,-559
220000000,37,1136,-559
220000000,38,1154,-559
220000000,39,578,-618
220000000,40,597,-618
220000000,41,615,-618
220000000,42,457,-618
220000000,43,476,-618
220000000,44,494,-618
220000000,45,1206,-198
220000000,46,1225,-198
220000000,47,1243,-198
220000000,48,-595,102
220000000,49,-576,102
220000000,50,-558,102
220000000,51,1132,102
220000000,52,1151,102
220000000,53,1169,102
220000000,54,-2456,102
220000000,55,-2437,102
220000000,56,-2419,102
220000000,57,1286,102
220000000,58,1305,102
220000000,59,1323,102
220000100,0,278,101
220000100,1,297,101
220000100,2,315,101
220000100,3,-573,102
220000100,4,-554,102
220000100,5,-536,102
220000100,6,-453,102
220000100,7,-434,102
220000100,8,-416,102
220000100,9,750,101
220000100,10,769,101
220000100,11,787,101
220000110,0,-394,102
220000110,1,-375,102
220000110,2,-357,102
220000110,3,-281,102
220000110,4,-262,102
220000110,5,-244,102
220000300,0,-2693,102
220000300,1,-2674,102
220000300,2,-2656,102
220000300,3,2422,102
220000300,4,2434,102
220000300,5,2504,102
220000300,6,2516,102
220000300,7,2546,102
220000300,8,2558,102
220000300,9,2380,102
220000300,10,2392,102
220000300,11,558,-18
220000300,12,577,-18
220000300,13,595,-18
220000300,14,675,-18
220000300,15,694,-18
220000300,16,712,-18
220000300,17,-2580,102
220000300,18,-2561,102
220000300,19,-2543,102
220000300,20,452,102
220000300,21,471,102
220000300,22,489,102
220000300,23,567,102
220000300,24,586,102
220000300,25,604,102
220000300,26,659,102
220000300,27,678,102
220000300,28,696,102
220000300,29,771,102
220000300,30,790,102
220000300,31,808,102
220000400,0,-1519,-18
220000400,1,-1507,-18
220000400,2,-1467,-18
220000400,3,-1455,-18
220000400,4,-978,-18
220000400,5,-966,-18
220000400,6,-926,-18
220000400,7,-914,-18
220000400,8,-3014,-259
220000400,9,-2995,-259
220000400,10,-2977,-259
220000400,11,-3139,-259
220000400,12,-3120,-259
220000400,13,-3102,-259
220000400,14,-1270,102
220000400,15,-1251,102
220000400,16,-1233,102
220000400,17,-2485,-79
220000400,18,-2466,-79
220000400,19,-2448,-79
220000400,20,-1188,102
220000400,21,-1169,102
220000400,22,-1151,102
220000500,0,-1407,102
220000500,1,-1388,102
220000500,2,-1370,102
220000500,3,-1225,102
220000500,4,-1206,102
220000500,5,-1188,102
220000500,6,-1052,102
220000500,7,-1033,102
220000500,8,-1015,102
220000500,9,-870,102
220000500,10,-851,102
220000500,11,-833,102
220000500,12,-691,102
220000500,13,-672,102
220000500,14,-654,102
220000500,15,-503,102
220000500,16,-484,102
220000500,17,-466,102
220000500,18,-329,102
220000500,19,-310,102
220000500,20,-292,102
220080000,0,-1329,-334
220080000,1,-1300,-334
220080000,2,-1271,-334
220080000,3,-1682,-334
220080000,4,-1653,-334
220080000,5,-1624,-334
220080000,6,-989,-334
220080000,7,-960,-334
220080000,8,-931,-334
220080000,9,378,-335
220080000,10,408,-335
220080000,11,437,-335
220080000,12,726,-335
220080000,13,756,-335
220080000,14,785,-335
220080000,15,1071,-335
220080000,16,1101,-335
220080000,17,1130,-335
230000001,0,-286,-69
230000001,1,-316,-69
230000001,2,-256,-69
230000002,0,-287,-1190
230000002,1,-317,-1190
230000002,2,-257,-1190
230000002,3,265,82
230000002,4,235,82
230000002,5,295,82
230000003,0,266,7
230000003,1,236,7
230000003,2,296,7
250000000,0,1282,51
250000000,1,1248,51
250000000,2,1312,51
250000000,3,943,51
250000000,4,909,51
250000000,5,973,51
260010600,0,-603,-58
260010600,1,-637,-58
260010600,2,-573,-58
260010600,3,-614,-36
260010600,4,-595,-36
260010600,5,-577,-36
261000000,0,-2560,188
261000000,1,-2528,188
261000000,2,-2877,190
261000000,3,-2845,190
261000000,4,-2450,188
261000000,5,-2418,188
261000000,6,2401,187
261000000,7,2433,187
261000000,8,-2988,189
261000000,9,-2956,189
261000000,10,2512,187
261000000,11,2544,187
261000000,12,2970,188
261000000,13,3002,188
261000000,14,3087,187
261000000,15,3119,187
540000000,0,1131,225
540000000,1,1171,225
540000000,2,1211,225
540000000,3,1119,346
540000000,4,1159,346
540000000,5,1199,346
540000100,0,-2599,584
540000100,1,-2559,584
540000100,2,-2519,584
540000100,3,545,526
540000100,4,585,526
540000100,5,625,526
540000200,0,-262,585
540000200,1,-222,585
540000200,2,-182,585
540000300,0,-2407,584
540000300,1,-2367,584
540000300,2,-2327,584
540020000,0,-726,-318
540020000,1,-686,-318
540020000,2,-646,-318
540020000,3,-947,-317
540020000,4,-907,-317
540020000,5,-867,-317
541000100,0,-454,-494
541000100,1,-414,-494
541000100,2,-374,-494
600000000,0,1529,20
600000000,1,1557,20
600000000,2,1543,20
600010002,0,-199,101
600010002,1,-123,101
600010002,2,-7,101
600010002,3,-58,101
600010002,4,308,100
600010002,5,274,100
600010002,6,240,100
600010002,7,-462,101
600010002,8,-514,101
600010003,0,-462,101
600010003,1,-514,101
600010003,2,-661,100
600010003,3,-695,100
600010003,4,-729,100
600010003,5,-1347,100
600010003,6,-1399,100
600010003,7,-1169,100
600010003,8,-1093,100
600010003,9,-977,100
600010003,10,-1028,100
600010003,11,308,100
600010003,12,274,100
600010003,13,240,100
600010003,14,-199,101
600010003,15,-123,101
600010003,16,-7,101
600010003,17,-58,101
600010004,0,-199,101
600010004,1,-123,101
600010004,2,-7,101
600010004,3,-58,101
600010004,4,308,100
600010004,5,274,100
600010004,6,240,100
600010004,7,-462,101
600010004,8,-514,101
600010005,0,-462,101
600010005,1,-514,101
600010005,2,-661,100
600010005,3,-695,100
600010005,4,-729,100
600010005,5,-1347,100
600010005,6,-1399,100
600010005,7,-1169,100
600010005,8,-1093,100
600010005,9,-977,100
600010005,10,-1028,100
600010005,11,308,100
600010005,12,274,100
600010005,13,240,100
600010005,14,-199,101
600010005,15,-123,101
600010005,16,-7,101
600010005,17,-58,101
600010100,0,842,-1332
600010100,1,870,-1332
600010100,2,856,-1332
600010100,3,775,-1332
600010100,4,803,-1332
600010100,5,789,-1332
600010400,0,-1417,-1128
600010400,1,-1389,-1128
600010400,2,-1403,-1128
600010400,3,-1357,-1128
600010400,4,-1329,-1128
600010400,5,-1343,-1128
600010400,6,-1192,-1129
600010400,7,-1164,-1129
600010400,8,-1178,-1129
600010400,9,-1256,-1129
600010400,10,-1228,-1129
600010400,11,-1242,-1129
610030600,0,52,-34
610030600,1,88,-34
610030600,2,224,-36
610030600,3,260,-36
610030600,4,-311,-36
610030600,5,-275,-36
610030600,6,-132,-33
610030600,7,-96,-33
610030700,0,-552,95
610030700,1,-512,95
610030700,2,-156,96
610030700,3,-116,96
680000000,0,3102,-626
680000000,1,3131,-626
680000000,2,3117,-626
680000000,3,3860,-626
680000000,4,3889,-626
680000000,5,3875,-626
680000000,6,3456,-626
680000000,7,3485,-626
680000000,8,3471,-626
680000000,9,3547,-626
680000000,10,3576,-626
680000000,11,3562,-626
680000000,12,3192,-626
680000000,13,3221,-626
680000000,14,3207,-626
680000000,15,2623,-147
680000000,16,2652,-147
680000000,17,2638,-147
680000000,18,2810,-626
680000000,19,2839,-626
680000000,20,2825,-626
680000000,21,3771,-626
680000000,22,3800,-626
680000000,23,3786,-626
680000000,24,2903,-626
680000000,25,2932,-626
680000000,26,2918,-626
680000110,0,21,6
680000110,1,54,6
680000110,2,90,6
680000110,3,155,6
680000110,4,188,6
680000110,5,224,6
680000110,6,55,-38
680000110,7,88,-38
680000110,8,124,-38
680000110,9,188,-38
680000110,10,221,-38
680000110,11,257,-38
680000110,12,89,-82
680000110,13,122,-82
680000110,14,158,-82
680000110,15,223,-82
680000110,16,256,-82
680000110,17,292,-82
680000110,18,322,-38
680000110,19,353,-38
680000110,20,383,-38
680000110,21,349,-82
680000110,22,366,-82
680000110,23,383,-82
680000110,24,291,6
680000110,25,324,6
680000110,26,360,6
680000200,0,-420,224
680000200,1,-380,224
680000200,2,-343,224
680000200,3,204,224
680000200,4,245,225
680000200,5,284,225
680000200,6,-407,224
680000200,7,-394,224
680000200,8,-368,224
680000200,9,-356,224
680000200,10,-332,224
680000200,11,190,224
680000200,12,217,225
680000200,13,231,225
680000200,14,258,225
680000200,15,271,225
680000210,0,320,30
680000210,1,348,30
680000210,2,335,30
680000210,3,361,30
680000210,4,307,30
680000210,5,293,30
680000210,6,281,30
680000210,7,270,30
680000210,8,374,30
680000210,9,386,30
680000210,10,398,30
680000210,11,411,30
680000210,12,-34,30
680000210,13,-6,30
680000210,14,-19,30
680000210,15,7,30
680000210,16,-47,30
680000210,17,-61,30
680000210,18,-73,30
680000210,19,-84,30
680000210,20,20,30
680000210,21,32,30
680000210,22,44,30
680000210,23,57,30
680000210,24,144,30
680000210,25,172,30
680000210,26,159,30
680000210,27,185,30
680000210,28,131,30
680000210,29,117,30
680000210,30,105,30
680000210,31,94,30
680000210,32,198,30
680000210,33,210,30
680000210,34,222,30
680000210,35,235,30
680000210,36,75,-20
680000210,37,103,-20
680000210,38,90,-20
680000210,39,116,-20
680000210,40,62,-20
680000210,41,48,-20
680000210,42,36,-20
680000210,43,25,-20
680000210,44,129,-20
680000210,45,141,-20
680000210,46,153,-20
680000210,47,166,-20
680000210,48,253,-20
680000210,49,281,-20
680000210,50,268,-20
680000210,51,294,-20
680000210,52,240,-20
680000210,53,226,-20
680000210,54,214,-20
680000210,55,203,-20
680000210,56,307,-20
680000210,57,319,-20
680000210,58,331,-20
680000210,59,344,-20
680000210,60,418,-20
680000210,61,446,-20
680000210,62,433,-20
680000210,63,459,-20
680000210,64,405,-20
680000210,65,391,-20
680000210,66,379,-20
680000210,67,185,-70
680000210,68,213,-70
680000210,69,200,-70
680000210,70,226,-70
680000210,71,172,-70
680000210,72,158,-70
680000210,73,146,-70
680000210,74,135,-70
680000210,75,239,-70
680000210,76,251,-70
680000210,77,263,-70
680000210,78,276,-70
680000210,79,362,-70
680000210,80,390,-70
680000210,81,377,-70
680000210,82,403,-70
680000210,83,349,-70
680000210,84,335,-70
680000210,85,323,-70
680000210,86,312,-70
680000210,87,416,-70
680000210,88,428,-70
680000210,89,440,-70
680000210,90,453,-70
680000210,91,452,30
680000210,92,480,30
680000210,93,467,30
680000210,94,493,30
680000210,95,439,30
680000400,0,78,-988
680000400,1,107,-988
680000400,2,93,-988
680000400,3,8,-988
680000400,4,37,-988
680000400,5,23,-988
680000400,6,1174,-1437
680000400,7,1203,-1437
680000400,8,1189,-1437
680010000,0,1276,-207
680010000,1,1305,-207
680010000,2,1291,-207
680100003,0,-10,-191
680100003,1,6,-191
680100003,2,23,-191
800000000,0,2801,-149
800000000,1,2824,-149
800000000,2,2847,-149
800000000,3,2902,-149
800000000,4,2925,-149
800000000,5,2948,-149
800000000,6,375,152
800000000,7,398,152
800000000,8,421,152
800000000,9,4950,91
800000000,10,4973,91
800000000,11,4996,91
800000000,12,4848,91
800000000,13,4871,91
800000000,14,4894,91
800000000,15,4747,91
800000000,16,4770,91
800000000,17,4793,91
913030000,0,-449,86
913030000,1,-503,86
913030000,2,-405,86
970000001,0,-1990,52
970000001,1,-1971,52
970000001,2,-1953,52
970000001,3,-1890,52
970000001,4,-1871,52
970000001,5,-1853,52
970000102,0,230,102
970000102,1,249,102
970000102,2,267,102
970000102,3,70,102
970000102,4,89,102
970000102,5,107,102
970000108,0,-175,462
970000108,1,-156,462
970000108,2,-138,462
970000108,3,212,462
970000108,4,231,462
970000108,5,249,462
970000108,6,-94,462
970000108,7,-75,462
970000108,8,-57,462
970010000,0,352,1263
970010000,1,375,1263
970010000,2,396,1263
970010000,3,466,1263
970010000,4,489,1263
970010000,5,510,1263
970010000,6,579,1263
970010000,7,602,1263
970010000,8,623,1263
970020001,0,410,92
970020001,1,417,92
970020001,2,828,155
970020001,3,835,155
970020001,4,758,155
970020001,5,765,155
970020004,0,-559,-25
970020004,1,-527,-25
970020004,2,-402,-23
970020004,3,-370,-23
970020004,4,332,-22
970020004,5,364,-22
970020004,6,476,-23
970020004,7,508,-23
970030001,0,643,2203
970030001,1,660,2203
970030001,2,678,2203
970030001,3,451,2203
970030001,4,468,2203
970030001,5,486,2203
970030001,6,549,2203
970030001,7,566,2203
970030001,8,584,2203
970030002,0,643,2203
970030002,1,660,2203
970030002,2,678,2203
970030002,3,451,2203
970030002,4,468,2203
970030002,5,486,2203
970030002,6,549,2203
970030002,7,566,2203
970030002,8,584,2203
970030003,0,643,2203
970030003,1,660,2203
970030003,2,678,2203
970030003,3,451,2203
970030003,4,468,2203
970030003,5,486,2203
970030003,6,549,2203
970030003,7,566,2203
970030003,8,584,2203
970030004,0,643,2203
970030004,1,660,2203
970030004,2,678,2203
970030004,3,451,2203
970030004,4,468,2203
970030004,5,486,2203
970030004,6,549,2203
970030004,7,566,2203
970030004,8,584,2203
970030005,0,643,2203
970030005,1,660,2203
970030005,2,678,2203
970030005,3,451,2203
970030005,4,468,2203
970030005,5,486,2203
970030005,6,549,2203
970030005,7,566,2203
970030005,8,584,2203
970030006,0,643,2203
970030006,1,660,2203
970030006,2,678,2203
970030006,3,451,2203
970030006,4,468,2203
970030006,5,486,2203
970030006,6,549,2203
970030006,7,566,2203
970030006,8,584,2203
970030007,0,643,2203
970030007,1,660,2203
970030007,2,678,2203
970030007,3,451,2203
970030007,4,468,2203
970030007,5,486,2203
970030007,6,549,2203
970030007,7,566,2203
970030007,8,584,2203
970030008,0,643,2203
970030008,1,660,2203
970030008,2,678,2203
970030008,3,451,2203
970030008,4,468,2203
970030008,5,486,2203
970030008,6,549,2203
970030008,7,566,2203
970030008,8,584,2203
970030009,0,643,2203
970030009,1,660,2203
970030009,2,678,2203
970030009,3,451,2203
970030009,4,468,2203
970030009,5,486,2203
970030009,6,549,2203
970030009,7,566,2203
970030009,8,584,2203
970030010,0,643,2203
970030010,1,660,2203
970030010,2,678,2203
970030010,3,451,2203
970030010,4,468,2203
970030010,5,486,2203
970030010,6,549,2203
970030010,7,566,2203
970030010,8,584,2203
