mobid,mob_level,"flags",hp,mp,hp_recovery,mp_recovery,explode_hp,experience,link,summon_type,knockback,fixed_damage,death_buff,death_after,traction,damaged_by_skill_only,damaged_by_mob_only,drop_item_period,hp_bar_color,hp_bar_bg_color,carnival_points,physical_attack,physical_defense,magical_attack,magical_defense,accuracy,avoidability,speed,chase_speed,"ice_modifier","fire_modifier","poison_modifier","lightning_modifier","holy_modifier","nonelemental_modifier"
1110100,15,"",250,25,0,0,0,26,0,1,1,0,0,0,10.0,0,0,0,0,0,0,82,12,0,40,45,5,-20,-20,"normal","normal","immune","normal","normal","normal"
1110101,10,"",250,10,0,0,0,18,0,1,1,0,0,0,10.0,0,0,0,0,0,0,65,20,0,10,42,0,-70,-70,"normal","weak","normal","normal","normal","normal"
1110130,15,"",250,25,0,0,0,26,0,1,1,0,0,0,10.0,0,0,0,0,0,0,82,12,0,40,45,5,-20,-20,"normal","normal","immune","normal","normal","normal"
1120100,12,"",200,50,0,0,0,24,0,1,1,0,0,0,10.0,0,0,0,0,0,0,82,10,0,40,40,4,0,0,"normal","normal","normal","weak","normal","normal"
1130100,17,"",300,30,0,0,0,30,0,1,1,0,0,0,10.0,0,0,0,0,0,0,85,30,0,10,50,5,-50,-50,"normal","normal","normal","normal","normal","normal"
1140100,19,"",330,35,0,0,0,33,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,40,0,15,55,10,-45,-45,"normal","normal","normal","normal","normal","normal"
1140130,19,"",330,35,0,0,0,33,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,40,0,15,55,10,-45,-45,"normal","normal","normal","normal","normal","normal"
1210100,7,"",75,40,0,0,0,15,0,1,1,0,0,0,10.0,0,0,0,0,0,0,37,5,0,20,40,0,0,0,"normal","normal","normal","normal","normal","normal"
1210101,10,"",120,45,0,0,0,20,0,1,1,0,0,0,10.0,0,0,0,0,0,0,70,10,0,30,40,2,5,5,"normal","normal","normal","normal","normal","normal"
1210102,8,"",80,45,0,0,0,15,0,1,1,0,0,0,10.0,0,0,0,0,0,0,42,0,0,10,42,1,0,0,"normal","normal","normal","normal","normal","normal"
1210103,15,"",240,10,0,0,0,26,0,1,30,0,0,0,10.0,0,0,0,0,0,0,80,40,0,50,80,5,10,10,"normal","normal","normal","normal","normal","normal"
2100100,20,"",350,0,0,0,0,32,0,1,1,0,0,0,10.0,0,0,0,0,0,0,85,20,0,20,55,8,-40,-40,"normal","normal","normal","normal","normal","normal"
2100101,21,"",400,0,0,0,0,34,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,25,0,30,70,9,-40,-40,"normal","normal","normal","normal","normal","normal"
2100102,22,"",450,0,0,0,0,37,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,30,0,30,55,8,-40,-40,"normal","weak","normal","normal","normal","normal"
2100103,25,"",550,0,0,0,0,47,0,1,1,0,0,0,10.0,0,0,0,0,0,0,95,35,0,40,55,9,-50,-50,"normal","weak","normal","normal","normal","normal"
2100104,28,"",750,0,0,0,0,55,0,1,1,0,0,0,10.0,0,0,0,0,0,0,105,40,0,40,60,10,-50,-50,"normal","weak","normal","normal","normal","normal"
2100105,23,"",500,0,0,0,0,42,0,1,250,0,0,0,10.0,0,0,0,0,0,0,90,35,0,40,55,9,-40,-40,"normal","normal","strong","normal","normal","normal"
2100106,24,"",550,0,0,0,0,45,0,1,0,0,0,0,10.0,0,0,0,0,0,0,95,35,0,35,50,9,5,5,"normal","strong","normal","normal","normal","normal"
2100107,27,"",700,0,0,0,0,50,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,35,0,40,55,10,5,5,"normal","strong","normal","normal","normal","normal"
2100108,29,"",780,0,0,0,0,58,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,40,0,45,60,10,0,0,"normal","normal","normal","normal","normal","normal"
2110200,22,"",300,35,0,0,0,35,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,30,0,0,55,7,-20,-20,"normal","normal","normal","normal","normal","normal"
2110300,24,"",600,0,0,0,0,55,0,1,0,0,0,0,10.0,0,0,0,0,0,0,95,35,0,40,55,10,-15,-15,"normal","normal","normal","normal","normal","normal"
2110301,29,"",780,0,0,0,0,58,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,40,0,45,60,10,-15,-15,"normal","normal","normal","normal","normal","normal"
2130100,22,"",550,40,0,0,0,38,0,1,1,0,0,0,10.0,0,0,0,0,0,0,85,50,0,20,45,7,-50,-50,"normal","weak","normal","normal","normal","normal"
2130103,21,"",285,20,0,0,0,38,0,1,50,0,0,0,10.0,0,0,0,0,0,0,100,30,0,30,120,25,10,10,"normal","normal","normal","normal","normal","normal"
2220000,20,"boss,auto_aggro",2000,30,10,1,0,120,0,1,1,0,0,0,10.0,0,0,0,1,5,0,90,20,0,30,60,8,-40,-40,"normal","normal","normal","normal","normal","normal"
2220100,20,"",350,30,0,0,0,32,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,10,0,60,55,7,5,5,"normal","normal","normal","normal","normal","normal"
2230100,27,"",720,40,0,0,0,50,0,1,1,0,0,0,10.0,0,0,0,0,0,0,100,35,0,70,60,10,-10,-10,"normal","normal","normal","normal","normal","normal"
2230101,24,"undead",500,50,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,95,20,0,30,50,8,0,0,"normal","normal","normal","normal","weak","normal"
2230102,25,"",550,55,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,90,20,0,30,50,8,0,0,"normal","normal","normal","normal","normal","normal"
2230103,23,"",450,0,0,0,0,42,0,1,0,0,0,0,0.0,0,0,0,0,0,0,95,52,0,65,93,10,0,0,"normal","weak","normal","normal","strong","normal"
2230104,28,"",780,0,0,0,0,55,0,1,0,0,0,0,0.0,0,0,0,0,0,0,105,75,0,75,115,12,0,0,"normal","normal","immune","normal","normal","normal"
2230105,23,"",500,0,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,85,35,0,45,55,9,-30,-30,"normal","strong","weak","normal","normal","normal"
2230106,25,"",550,0,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,95,30,0,40,50,8,-20,-20,"normal","strong","weak","normal","normal","normal"
2230107,24,"flying",500,50,0,0,0,45,0,1,0,0,0,0,10.0,0,0,0,0,0,0,95,20,0,30,50,8,0,0,"normal","strong","weak","normal","normal","normal"
2230108,22,"auto_aggro",400,0,0,0,0,36,0,1,0,0,0,0,0.0,0,0,0,0,0,0,100,30,0,30,55,7,0,0,"normal","strong","normal","normal","normal","normal"
2230109,28,"flying",740,40,0,0,0,52,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,35,0,40,55,10,0,0,"normal","strong","weak","weak","normal","normal"
2230110,23,"",500,0,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,85,30,0,40,55,10,-30,-30,"normal","normal","normal","normal","normal","normal"
2230111,24,"",600,0,0,0,0,45,0,1,1,0,0,0,10.0,0,0,0,0,0,0,95,35,0,40,55,10,-30,-30,"normal","normal","normal","normal","normal","normal"
2230131,24,"undead",500,50,0,0,0,42,0,1,1,0,0,0,10.0,0,0,0,0,0,0,95,20,0,30,50,8,0,0,"normal","normal","normal","normal","weak","normal"
2230200,29,"",790,0,0,0,0,58,0,1,0,0,0,0,10.0,0,0,0,0,0,0,110,80,0,85,75,10,-60,-60,"weak","strong","strong","normal","normal","normal"
2300100,20,"flying",300,10,0,0,0,33,0,1,30,0,0,0,10.0,0,0,0,0,0,0,85,20,0,20,80,10,0,0,"normal","normal","normal","normal","normal","normal"
3000000,30,"",900,50,0,3,0,55,0,1,10,0,0,0,10.0,0,0,0,0,0,0,120,275,118,85,75,12,-20,-20,"weak","normal","normal","strong","strong","normal"
3000001,30,"",800,175,0,0,0,120,0,1,300,0,0,0,10.0,0,0,0,0,0,0,80,85,0,105,145,25,10,10,"normal","normal","normal","normal","normal","normal"
3000002,30,"",800,175,0,0,0,120,3000001,1,300,0,0,0,10.0,0,0,0,0,0,0,80,85,0,105,145,25,10,10,"normal","normal","normal","normal","normal","normal"
3000003,30,"",800,175,0,0,0,120,3000001,1,300,0,0,0,10.0,0,0,0,0,0,0,80,85,0,105,145,25,10,10,"normal","normal","normal","normal","normal","normal"
3000004,30,"",800,175,0,0,0,120,3000001,1,300,0,0,0,10.0,0,0,0,0,0,0,80,85,0,105,145,25,10,10,"normal","normal","normal","normal","normal","normal"
3000005,30,"",950,0,10,0,0,60,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,38,0,40,65,12,-15,-15,"normal","normal","normal","normal","normal","normal"
3000006,30,"",900,50,0,0,0,55,0,1,1,0,0,0,10.0,0,0,0,0,0,0,100,40,0,40,65,12,-20,-20,"normal","strong","weak","normal","normal","normal"
3100101,32,"",1000,0,0,0,0,60,0,1,1,0,0,0,10.0,0,0,0,0,0,0,110,45,0,40,60,12,-40,-40,"weak","weak","normal","normal","normal","normal"
3100102,30,"",870,50,0,0,0,60,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,40,0,40,70,13,-10,-10,"normal","normal","normal","normal","normal","normal"
3110100,32,"",1200,40,0,0,0,60,0,1,1,0,0,0,10.0,0,0,0,0,0,0,110,45,0,40,70,12,-40,-40,"strong","weak","normal","normal","normal","normal"
3110101,32,"",1050,0,10,0,0,65,0,1,0,0,0,0,10.0,0,0,0,0,0,0,105,50,0,70,80,14,-10,-10,"normal","normal","normal","normal","normal","normal"
3110102,32,"",1000,0,0,0,0,65,0,1,0,0,0,0,10.0,0,0,0,0,0,0,102,65,0,75,90,13,-5,-5,"normal","normal","normal","normal","normal","normal"
3110300,32,"",1000,0,0,0,0,62,0,1,0,0,0,0,10.0,0,0,0,0,0,0,90,40,0,40,70,12,-20,-20,"normal","normal","normal","normal","normal","normal"
3110301,32,"",1000,40,0,0,0,62,0,1,0,0,0,0,10.0,0,0,0,0,0,0,90,40,0,40,70,12,-30,-30,"weak","strong","normal","normal","normal","normal"
3110302,35,"",1400,70,0,0,0,75,0,1,0,0,0,0,10.0,0,0,0,0,0,0,130,110,0,100,105,18,-10,-10,"normal","normal","normal","normal","normal","normal"
3110303,38,"",1850,0,0,0,0,85,0,1,0,0,0,0,10.0,0,0,0,0,0,0,125,105,0,125,130,18,-30,-30,"normal","normal","normal","normal","normal","normal"
3210100,32,"",1000,60,0,0,0,60,0,1,1,0,0,0,10.0,0,0,0,0,0,0,110,40,0,40,60,10,0,0,"weak","strong","normal","normal","normal","normal"
3210200,33,"",1100,70,0,0,0,65,0,1,1,0,0,0,10.0,0,0,0,0,0,0,105,60,0,80,95,15,0,0,"weak","strong","normal","normal","normal","normal"
3210201,33,"",1100,70,0,0,0,65,0,1,1,0,0,0,10.0,0,0,0,0,0,0,105,60,0,80,95,15,0,0,"weak","normal","normal","strong","normal","normal"
3210202,33,"",1100,70,0,0,0,65,0,1,1,0,0,0,10.0,0,0,0,0,0,0,105,60,0,80,95,15,0,0,"strong","weak","normal","normal","normal","normal"
3210203,36,"",1400,0,10,0,0,77,0,1,0,0,0,0,10.0,0,0,0,0,0,0,120,95,0,95,100,16,0,0,"normal","normal","normal","normal","normal","normal"
3210204,34,"",1200,0,10,0,0,70,0,1,0,0,0,0,10.0,0,0,0,0,0,0,110,70,0,85,100,16,0,0,"normal","normal","normal","normal","normal","normal"
3210205,34,"",1150,0,0,0,0,70,0,1,0,0,0,0,10.0,0,0,0,0,0,0,115,75,0,75,105,14,5,5,"normal","normal","normal","normal","normal","normal"
3210206,36,"flying",1350,0,0,0,0,77,0,1,0,0,0,0,10.0,0,0,0,0,0,0,115,85,0,105,130,17,0,0,"normal","normal","normal","normal","normal","normal"
3210207,34,"",1100,0,0,0,0,70,0,1,0,0,0,0,10.0,0,0,0,0,0,0,115,95,0,90,90,14,-70,-70,"normal","normal","normal","normal","normal","normal"
3210208,36,"",1400,0,0,0,0,78,0,1,1,0,0,0,10.0,0,0,0,0,0,0,120,90,0,85,100,18,5,5,"normal","normal","normal","normal","normal","normal"
3210450,36,"",1430,0,0,0,0,80,0,1,0,0,0,0,10.0,0,0,0,0,0,0,120,90,0,155,100,18,25,25,"strong","strong","normal","normal","normal","normal"
3210800,37,"",1500,100,0,0,0,77,0,1,1,0,0,0,10.0,0,0,0,0,0,0,110,35,125,40,100,20,25,25,"normal","normal","normal","normal","normal","normal"
3220000,35,"boss,auto_aggro",7000,120,35,1,0,405,0,1,1,0,0,0,10.0,0,0,0,1,5,0,125,50,0,70,80,12,-60,-60,"normal","normal","normal","normal","normal","normal"
3220001,38,"boss,auto_aggro",7700,200,50,20,0,445,0,1,1,0,0,0,10.0,0,0,0,1,5,0,130,100,0,120,130,18,-60,-60,"normal","normal","normal","normal","normal","normal"
3230100,35,"",1250,65,0,0,0,70,0,1,1,0,0,0,10.0,0,0,0,0,0,0,120,45,0,70,60,10,-15,-15,"normal","normal","strong","normal","normal","normal"
3230101,35,"undead",1200,80,0,0,0,70,0,1,50,0,0,0,10.0,0,0,0,0,0,0,110,90,0,90,100,17,0,0,"normal","weak","normal","normal","weak","normal"
3230102,37,"",1950,10,0,0,0,80,0,1,1,0,0,0,10.0,0,0,0,0,0,0,125,100,0,200,85,18,-10,-10,"normal","normal","normal","weak","normal","normal"
3230103,38,"",1850,110,10,5,0,85,0,1,0,0,0,0,10.0,0,0,0,0,0,0,120,120,130,140,140,18,5,5,"normal","normal","normal","normal","normal","normal"
3230104,32,"flying",1000,0,0,0,0,65,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,70,0,80,70,14,0,0,"normal","strong","normal","normal","normal","normal"
3230200,35,"",1300,100,0,5,0,72,0,1,100,0,0,0,10.0,0,0,0,0,0,0,120,100,130,100,145,21,0,0,"normal","normal","normal","normal","strong","normal"
3230300,35,"",1700,300,0,0,0,150,0,1,500,0,0,0,10.0,0,0,0,0,0,0,90,120,0,155,150,27,-15,-15,"normal","normal","normal","normal","normal","normal"
3230301,35,"",1700,300,0,0,0,150,3230300,1,500,0,0,0,10.0,0,0,0,0,0,0,90,120,0,155,150,27,-15,-15,"normal","normal","normal","normal","normal","normal"
3230302,35,"",1300,0,10,0,0,72,0,1,0,0,0,0,10.0,0,0,0,0,0,0,105,100,115,130,125,15,0,0,"normal","normal","normal","normal","normal","normal"
3230303,37,"flying",1700,0,0,0,0,82,0,1,0,0,0,0,10.0,0,0,0,0,0,0,118,95,0,115,140,18,0,0,"normal","normal","normal","normal","normal","normal"
3230304,38,"flying",1830,0,0,0,0,85,0,1,0,0,0,0,10.0,0,0,0,0,0,0,122,105,0,125,150,19,0,0,"normal","normal","normal","normal","normal","normal"
3230305,39,"",1920,0,0,0,0,92,0,1,1,0,0,0,10.0,0,0,0,0,0,0,124,110,0,130,135,18,20,20,"normal","normal","normal","normal","normal","normal"
3230306,37,"undead",1750,30,0,0,0,82,0,1,0,0,0,0,10.0,0,0,0,0,0,0,117,90,0,120,135,20,-20,-20,"normal","normal","normal","normal","normal","normal"
3230307,31,"flying",800,0,0,0,0,62,0,1,0,0,0,0,10.0,0,0,0,0,0,0,95,60,0,50,70,10,0,0,"normal","normal","normal","normal","normal","normal"
3230308,39,"flying",1900,0,0,0,0,85,0,1,0,0,0,0,10.0,0,0,0,0,0,0,130,120,0,130,135,17,0,0,"normal","normal","normal","normal","normal","normal"
3230400,30,"",950,0,10,0,0,60,0,1,0,0,0,0,10.0,0,0,0,0,0,0,100,38,0,40,65,12,-45,-45,"normal","normal","normal","normal","normal","normal"
3230405,38,"",1850,0,0,0,0,85,0,1,1,0,0,0,10.0,0,0,0,0,0,0,125,90,0,125,130,18,0,0,"normal","strong","normal","normal","normal","normal"
3300000,30,"",750,0,0,0,0,63,0,1,0,0,0,0,10.0,0,0,0,0,0,0,80,25,0,32,65,10,-30,-30,"normal","normal","normal","normal","normal","normal"
3300001,30,"",780,0,0,0,0,65,0,1,0,0,0,0,10.0,0,0,0,0,0,0,80,25,0,32,65,10,-20,-20,"normal","normal","normal","normal","normal","normal"
3300002,31,"",810,0,0,0,0,68,0,1,0,0,0,0,10.0,0,0,0,0,0,0,88,25,0,45,65,11,0,0,"normal","normal","normal","normal","normal","normal"
3300003,32,"",850,0,0,0,0,71,0,1,0,0,0,0,10.0,0,0,0,0,0,0,93,30,0,36,70,12,0,0,"normal","normal","normal","normal","normal","normal"
3300004,33,"",900,0,0,0,0,75,0,1,0,0,0,0,10.0,0,0,0,0,0,0,80,25,0,38,75,13,0,0,"normal","normal","normal","normal","normal","normal"
3300005,35,"explosive_reward,auto_aggro",120000,10000,150,1000,0,210,0,1,550,0,0,0,10.0,0,0,0,3,5,0,125,50,120,70,80,15,-30,-30,"normal","normal","normal","normal","normal","normal"
3300006,35,"explosive_reward,auto_aggro",120000,10000,150,1000,0,210,0,1,550,0,0,0,10.0,0,0,0,3,5,0,125,50,120,70,80,15,-30,-30,"normal","normal","normal","normal","normal","normal"
3300007,35,"explosive_reward,auto_aggro",120000,10000,150,1000,0,210,0,1,550,0,0,0,10.0,0,0,0,3,5,0,125,50,120,70,80,15,-30,-30,"normal","normal","normal","normal","normal","normal"
3300008,38,"boss,auto_aggro",12500,100,0,0,0,800,0,23,300,0,0,0,10.0,0,0,0,3,5,0,130,160,165,160,140,10,-30,-30,"normal","normal","normal","normal","normal","normal"
3400000,35,"",1400,100,0,0,0,80,9410005,1,200,0,0,0,10.0,0,0,0,0,0,0,110,100,115,115,90,16,-20,-20,"normal","normal","normal","normal","normal","normal"
3400001,36,"",1500,100,0,0,0,85,9410006,1,200,0,0,0,10.0,0,0,0,0,0,0,112,105,118,118,95,16,-20,-20,"normal","normal","normal","normal","normal","normal"
3400002,37,"",1600,100,0,0,0,88,9410007,1,200,0,0,0,10.0,0,0,0,0,0,0,115,110,120,100,100,17,-20,-20,"normal","normal","normal","normal","normal","normal"
3400003,38,"",1600,100,0,0,0,95,0,1,220,0,0,0,10.0,0,0,0,0,0,0,120,115,125,105,105,18,-30,-30,"normal","normal","normal","normal","normal","normal"
3400004,35,"auto_aggro",200,0,0,0,0,5,0,1,100,0,0,200,10.0,0,0,0,0,0,0,50,50,0,50,80,15,20,20,"normal","normal","normal","normal","normal","normal"
3400005,38,"",1700,100,0,0,0,100,0,0,250,0,0,0,10.0,0,0,0,0,0,0,125,120,130,110,110,18,-30,-30,"normal","normal","normal","normal","normal","normal"
3400006,35,"auto_aggro",200,0,0,0,0,5,0,1,100,0,0,200,10.0,0,0,0,0,0,0,50,50,0,50,80,15,20,20,"normal","normal","normal","normal","normal","normal"
3400007,39,"",200,100,0,0,0,5,0,0,100,0,0,0,10.0,0,0,0,0,0,0,50,100,50,100,50,15,-30,-30,"normal","normal","normal","normal","normal","normal"
3400008,39,"auto_aggro",1800,100,0,0,0,110,0,1,250,0,0,0,10.0,0,0,0,0,0,0,130,125,135,115,115,19,-15,-15,"normal","normal","normal","normal","normal","normal"
4090000,42,"",2200,60,0,0,0,99,0,1,100,0,0,360,10.0,0,0,0,0,0,0,95,400,0,400,100,18,20,20,"normal","normal","normal","normal","normal","normal"
4110300,42,"",2400,0,0,0,0,102,0,1,100,0,0,0,10.0,0,0,0,0,0,0,135,110,0,90,95,12,-20,-20,"normal","normal","normal","normal","normal","normal"
4110301,45,"",2550,0,0,0,0,110,0,1,250,0,0,0,10.0,0,0,0,0,0,0,135,150,0,160,200,20,-20,-20,"normal","normal","normal","normal","normal","normal"
4110302,47,"",2750,0,0,0,0,117,0,1,250,0,0,0,10.0,0,0,0,0,0,0,140,155,0,160,130,18,-10,-10,"normal","normal","normal","normal","normal","normal"
4130100,45,"",2700,150,0,0,0,105,0,1,200,0,0,0,10.0,0,0,0,0,0,0,150,100,0,100,70,18,10,10,"normal","normal","normal","normal","normal","normal"
4130101,46,"",2550,100,0,0,0,110,0,1,2000,0,0,0,10.0,0,0,0,0,0,0,125,300,160,300,130,15,-50,-50,"normal","normal","normal","normal","normal","normal"
4130102,47,"auto_aggro",2700,135,50,2,0,115,0,1,300,0,0,0,0.0,0,0,0,0,0,0,145,170,165,220,165,15,0,0,"normal","normal","normal","normal","weak","normal"
4130103,47,"boss",11000,220,0,0,0,720,0,1,1000,0,0,0,10.0,0,0,0,0,0,0,165,165,185,180,135,16,-50,-50,"normal","normal","normal","normal","normal","normal"
4130104,47,"",2700,135,50,2,0,115,4130102,1,300,0,0,0,0.0,0,0,0,0,0,0,145,170,165,220,165,15,0,0,"normal","normal","normal","normal","weak","normal"
4220000,45,"boss,auto_aggro",7800,150,650,40,0,330,0,1,300,0,0,0,10.0,0,0,0,1,5,0,135,150,155,200,200,20,0,0,"normal","normal","normal","normal","normal","normal"
4220001,45,"boss",2550,150,0,0,0,0,0,1,3000,0,0,0,10.0,0,0,0,0,0,0,135,150,155,200,200,20,0,0,"normal","normal","normal","normal","normal","normal"
4230100,40,"",2000,50,0,0,0,85,0,1,1,0,0,0,10.0,0,0,0,0,0,0,130,80,0,80,65,15,5,5,"strong","weak","normal","normal","normal","normal"
4230101,40,"undead",1800,100,0,0,0,90,0,1,100,0,0,0,10.0,0,0,0,0,0,0,120,70,135,70,110,25,30,30,"normal","normal","normal","normal","weak","normal"
4230102,48,"undead",2800,80,50,0,0,120,0,1,300,0,0,0,10.0,0,0,0,0,0,0,155,180,0,180,130,20,15,15,"normal","normal","normal","normal","weak","normal"
4230103,42,"",2200,60,0,0,0,99,0,1,100,0,0,0,10.0,0,0,0,0,0,0,95,400,0,400,100,18,20,20,"normal","normal","normal","normal","normal","normal"
4230104,48,"",3000,50,0,0,0,128,0,1,400,0,0,0,10.0,0,0,0,0,0,0,160,120,0,150,150,20,0,0,"normal","normal","normal","weak","normal","normal"
4230105,42,"auto_aggro",2100,120,30,2,0,99,0,1,100,0,0,0,0.0,0,0,0,0,0,0,135,120,145,120,150,10,0,0,"normal","weak","normal","normal","normal","normal"
4230106,45,"",2500,115,0,5,0,105,0,1,200,0,0,0,10.0,0,0,0,0,0,0,140,145,155,160,165,24,5,5,"normal","normal","normal","normal","normal","normal"
4230107,41,"flying",1600,80,0,0,0,95,0,1,500,0,0,0,10.0,0,0,0,0,0,0,130,90,0,110,160,28,0,0,"normal","normal","normal","normal","normal","normal"
4230108,43,"",2300,20,0,0,0,102,0,1,300,0,0,0,10.0,0,0,0,0,0,0,132,290,0,150,155,25,0,0,"normal","normal","normal","normal","normal","normal"
4230109,42,"",2400,0,0,0,0,102,0,1,300,0,0,0,10.0,0,0,0,0,0,0,135,110,0,90,95,12,-60,-60,"strong","weak","normal","strong","normal","normal"
4230110,45,"",2600,0,0,0,0,110,0,1,400,0,0,0,10.0,0,0,0,0,0,0,150,130,0,110,105,14,-40,-40,"normal","normal","normal","normal","normal","normal"
4230111,41,"",2000,0,0,0,0,99,0,1,0,0,0,0,10.0,0,0,0,0,0,0,133,190,0,175,105,15,-40,-40,"strong","strong","normal","normal","normal","normal"
4230112,44,"",2450,0,0,0,0,105,0,1,0,0,0,0,10.0,0,0,0,0,0,0,140,210,0,195,115,18,-30,-30,"normal","normal","normal","normal","normal","normal"
4230113,40,"",1900,50,0,0,0,95,0,1,0,0,0,0,10.0,0,0,0,0,0,0,120,160,0,170,115,20,-60,-60,"normal","normal","normal","normal","normal","normal"
4230114,41,"undead",2050,50,0,0,0,99,0,1,0,0,0,0,10.0,0,0,0,0,0,0,125,130,142,160,145,22,-15,-15,"normal","normal","normal","normal","normal","normal"
4230115,46,"undead",2600,70,0,0,0,115,0,1,300,0,0,0,10.0,0,0,0,0,0,0,130,170,160,200,155,24,-10,-10,"normal","normal","normal","normal","normal","normal"
4230116,40,"",1930,130,0,0,0,95,0,1,0,0,0,0,10.0,0,0,0,0,0,0,120,140,140,160,170,18,-10,-10,"normal","normal","normal","normal","normal","normal"
4230117,42,"flying",2300,55,0,15,0,102,0,0,0,0,0,0,10.0,0,0,0,0,0,0,130,160,150,180,190,20,0,0,"normal","normal","normal","normal","normal","normal"
4230118,45,"",2550,170,0,0,0,110,0,1,0,0,0,0,10.0,0,0,0,0,0,0,140,180,155,200,210,21,-5,-5,"normal","normal","normal","strong","normal","normal"
4230119,41,"",2080,150,0,0,0,99,0,1,0,0,0,0,10.0,0,0,0,0,0,0,130,120,135,120,160,16,-40,-40,"normal","normal","normal","normal","normal","normal"
4230120,44,"",2480,0,0,0,0,105,0,1,0,0,0,0,10.0,0,0,0,0,0,0,140,140,0,190,170,18,0,0,"normal","normal","normal","normal","normal","normal"
4230121,46,"",2600,170,0,0,0,110,0,1,300,0,0,0,10.0,0,0,0,0,0,0,135,160,158,210,180,20,-50,-50,"normal","normal","normal","normal","normal","normal"
