"script_type",helper,objectid,"script"
"npc",0,1063013,"holySton"
"npc",0,1063016,"DollWayKeeper1"
"npc",0,1063017,"DollWayKeeper2"
"npc",0,1072000,"change_swordman"
"npc",0,1072001,"change_magician"
"npc",0,1072002,"change_archer"
"npc",0,1072003,"change_rogue"
"npc",0,1072004,"inside_swordman"
"npc",0,1072005,"inside_magician"
"npc",0,1072006,"inside_archer"
"npc",0,1072007,"inside_rogue"
"npc",0,1072008,"inside_pirate"
"npc",0,1081001,"florina1"
"npc",0,1090000,"kairinT"
"npc",0,1091003,"refine_nautillus"
"npc",0,1092000,"nautil_cow"
"npc",0,1092007,"nautil_black"
"npc",0,1092008,"s4mind_in"
"npc",0,1092010,"remove_DirtytreasureMap"
"npc",0,1092014,"taxi5"
"npc",0,1092016,"nautil_stone"
"npc",0,1092018,"nautil_letter"
"npc",0,1092019,"s4strike"
"npc",0,1092090,"mom_cow"
"npc",0,1092091,"mom_cow"
"npc",0,1092092,"mom_cow"
"npc",0,1092093,"baby_cow"
"npc",0,1092094,"baby_cow"
"npc",0,1092095,"baby_cow"
"npc",0,1092097,"nautil_pearl"
"npc",0,1094002,"nautil_Abel1"
"npc",0,1094003,"nautil_Abel1"
"npc",0,1094004,"nautil_Abel1"
"npc",0,1094005,"nautil_Abel1"
"npc",0,1094006,"nautil_Abel1"
"npc",0,1095000,"s4mind_out"
"npc",0,1095002,"enter_pirate"
"npc",0,1100003,"contimoveEreEli"
"npc",0,1100004,"contimoveEreOrb"
"npc",0,1100005,"talkVic"
"npc",0,1100006,"talkOrv"
"npc",0,1100007,"contimoveEliEre"
"npc",0,1100008,"contimoveOrbEre"
"npc",0,1101001,"createCygnus"
"npc",0,1101008,"helperCygnus"
"npc",0,1102001,"outSecondDH"
"npc",0,1102002,"giveupRiding"
"npc",0,1102003,"cygnus_lv120"
"npc",0,1102009,"tutorNineheart"
"npc",0,1103005,"erebWarp"
"npc",0,1104000,"DollMaster"
"npc",0,1104002,"blackWitch"
"npc",0,1104100,"desguiseSoul"
"npc",0,1104101,"desguiseFlame"
"npc",0,1104102,"desguiseWind"
"npc",0,1104103,"desguiseNight"
"npc",0,1104104,"desguiseStrike"
"npc",0,1104200,"enterBlackEreb"
"npc",0,1200003,"contimoveRieRit"
"npc",0,1200004,"contimoveRitRie"
"npc",0,1200005,"PurotalkRie"
"npc",0,1200006,"PurotalkVic"
"npc",0,1202000,"awake"
"npc",0,1202009,"enterWolf"
"npc",0,1202010,"aran_lv200"
"npc",0,1204001,"dollMaster00"
"npc",0,1204002,"dollMaster01"
"npc",0,1204003,"dollMaster02"
"npc",0,1204005,"downTrue"
"npc",0,1204010,"giantDagoth"
"npc",0,1204020,"ShadowWarrier"
"npc",0,1204030,"Warehouse"
"npc",0,1204031,"Disguised"
"npc",0,1204032,"downHelena"
"npc",0,1209000,"talkHelena"
"npc",0,1300012,"TD_MC_bossEnter"
"npc",0,1300013,"TD_MC_violetaEnter"
"npc",0,1300014,"forself"
"npc",0,2001000,"desc_tree"
"npc",0,2001001,"go_tree1"
"npc",0,2001002,"go_tree2"
"npc",0,2001003,"go_tree3"
"npc",0,2001004,"out_tree"
"npc",0,2001005,"job_3th"
"npc",0,2002000,"go_victoria"
"npc",0,2010000,"carlie"
"npc",0,2010001,"hair_orbis1"
"npc",0,2010002,"face_orbis1"
"npc",0,2010003,"make_orbis"
"npc",0,2010005,"florina2"
"npc",0,2010007,"guild_proc"
"npc",0,2010008,"guild_mark"
"npc",0,2010009,"guild_union"
"npc",0,2012000,"sell_ticket"
"npc",0,2012001,"get_ticket"
"npc",0,2012002,"goOutWaitingRoom"
"npc",0,2012006,"getAboard"
"npc",0,2012007,"hair_orbis2"
"npc",0,2012008,"skin_orbis1"
"npc",0,2012009,"face_orbis2"
"npc",0,2012012,"oldBook2"
"npc",0,2012013,"get_ticket"
"npc",0,2012014,"ossyria3_1"
"npc",0,2012015,"ossyria3_2"
"npc",0,2012021,"get_ticket"
"npc",0,2012022,"goOutWaitingRoom"
"npc",0,2012023,"s4tornado"
"npc",0,2012024,"goOutWaitingRoom"
"npc",0,2012025,"get_ticket"
"npc",0,2012027,"elizaHarp1"
"npc",0,2012028,"elizaHarp2"
"npc",0,2012029,"elizaHarp3"
"npc",0,2012030,"elizaHarp4"
"npc",0,2012031,"elizaHarp5"
"npc",0,2012032,"elizaHarp6"
"npc",0,2012033,"elizaHarp7"
"npc",0,2013000,"party3_enter"
"npc",0,2013001,"party3_play"
"npc",0,2013002,"party3_minerva"
"npc",0,2020000,"refine_elnath"
"npc",0,2020002,"make_elnath"
"npc",0,2020005,"oldBook1"
"npc",0,2020008,"warrior3"
"npc",0,2020009,"wizard3"
"npc",0,2020010,"bowman3"
"npc",0,2020011,"thief3"
"npc",0,2020013,"pirate3"
"npc",0,2022004,"s4common1_out"
"npc",0,2023000,"ossyria_taxi"
"npc",0,2030000,"goDungeon"
"npc",0,2030006,"holyStone"
"npc",0,2030008,"Zakum00"
"npc",0,2030010,"Zakum06"
"npc",0,2030011,"Zakum04"
"npc",0,2030013,"zakum_accept"
"npc",0,2030014,"s4freeze_item"
"npc",0,2032001,"oldBook5"
"npc",0,2032002,"Zakum01"
"npc",0,2032003,"Zakum02"
"npc",0,2040000,"sell_ticket"
"npc",0,2040002,"ludi023"
"npc",0,2040003,"ludi020"
"npc",0,2040014,"minigame00"
"npc",0,2040016,"make_ludi1"
"npc",0,2040019,"face_ludi2"
"npc",0,2040020,"make_ludi2"
"npc",0,2040021,"make_ludi3"
"npc",0,2040022,"make_ludi4"
"npc",0,2040024,"ludi014"
"npc",0,2040025,"ludi015"
"npc",0,2040026,"ludi016"
"npc",0,2040027,"ludi017"
"npc",0,2040028,"ludi024"
"npc",0,2040030,"ludi026"
"npc",0,2040031,"ludi027"
"npc",0,2040032,"ludi028"
"npc",0,2040033,"ludi029"
"npc",0,2040034,"party2_enter"
"npc",0,2040035,"party2_play"
"npc",0,2040036,"party2_play"
"npc",0,2040037,"party2_play"
"npc",0,2040038,"party2_play"
"npc",0,2040039,"party2_play"
"npc",0,2040040,"party2_play"
"npc",0,2040041,"party2_play"
"npc",0,2040042,"party2_play"
"npc",0,2040043,"party2_play"
"npc",0,2040044,"party2_play"
"npc",0,2040045,"party2_play"
"npc",0,2040046,"friend01"
"npc",0,2040047,"party2_out"
"npc",0,2040048,"florina2"
"npc",0,2040050,"make_ston"
"npc",0,2040052,"library"
"npc",0,2041000,"get_ticket"
"npc",0,2041001,"goOutWaitingRoom"
"npc",0,2041007,"hair_ludi1"
"npc",0,2041009,"hair_ludi2"
"npc",0,2041010,"face_ludi1"
"npc",0,2041013,"skin_ludi1"
"npc",0,2041023,"s4efreet"
"npc",0,2041025,"Populatus01"
"npc",0,2041026,"giveupTimer"
"npc",0,2042000,"mc_enter"
"npc",0,2042001,"mc_enter1"
"npc",0,2042002,"mc_move"
"npc",0,2042003,"mc_roomout"
"npc",0,2042004,"mc_roomout"
"npc",0,2042005,"mc2_enter"
"npc",0,2042006,"mc_enter1"
"npc",0,2042007,"mc2_move"
"npc",0,2042008,"mc2_roomout"
"npc",0,2042009,"mc2_roomout"
"npc",0,2043000,"s4time"
"npc",0,2050014,"earth009"
"npc",0,2050015,"earth010"
"npc",0,2050016,"earth011"
"npc",0,2050017,"earth012"
"npc",0,2050018,"earth013"
"npc",0,2050019,"earth014"
"npc",0,2060005,"tamepig_enter"
"npc",0,2060009,"aqua_taxi"
"npc",0,2060010,"aqua_taxi3"
"npc",0,2060100,"s4common2"
"npc",0,2060103,"PRaid_enter"
"npc",0,2071012,"foxLaidy"
"npc",0,2073000,"watermelon_out"
"npc",0,2080000,"minar_weapon"
"npc",0,2081000,"job4_item"
"npc",0,2081004,"babyfood"
"npc",0,2081005,"hontale_keroben"
"npc",0,2081009,"s4blocking_enter"
"npc",0,2081010,"s4blocking"
"npc",0,2081100,"warrior4"
"npc",0,2081200,"magician4"
"npc",0,2081300,"archer4"
"npc",0,2081400,"thief4"
"npc",0,2081500,"pirate4"
"npc",0,2082000,"sell_ticket"
"npc",0,2082001,"get_ticket"
"npc",0,2082002,"goOutWaitingRoom"
"npc",0,2082003,"flyminidraco"
"npc",0,2082004,"TD_neo_Andy"
"npc",0,2083000,"hontale_enterToE"
"npc",0,2083001,"hontale_enter1"
"npc",0,2083002,"hontale_out"
"npc",0,2083003,"hontale_Bdoor"
"npc",0,2083004,"hontale_accept"
"npc",0,2083005,"s4holycharge"
"npc",0,2083006,"TD_neoCity_enter"
"npc",0,2084000,"goldCompass"
"npc",0,2084001,"goldrich"
"npc",0,2084002,"goldrich"
"npc",0,2090004,"make_murueng"
"npc",0,2090005,"crane"
"npc",0,2090100,"hair_mureung1"
"npc",0,2090101,"hair_mureung2"
"npc",0,2090102,"skin_mureung1"
"npc",0,2090103,"face_mureung1"
"npc",0,2090104,"face_mureung2"
"npc",0,2091005,"dojang_enter"
"npc",0,2091006,"dojang_move"
"npc",0,2091009,"enterShadow"
"npc",0,2093004,"aqua_taxi2"
"npc",0,2094000,"davyJohn_enter"
"npc",0,2094001,"davy_clear"
"npc",0,2094002,"davyJohn_play"
"npc",0,2095000,"s4mind"
"npc",0,2096000,"sca_dollBear"
"npc",0,2100001,"make_ariant1"
"npc",0,2100005,"hair_ariant2"
"npc",0,2100006,"hair_ariant1"
"npc",0,2100007,"skin_ariant1"
"npc",0,2100008,"face_ariant1"
"npc",0,2100009,"face_ariant2"
"npc",0,2101003,"adin_enter"
"npc",0,2101011,"cejan"
"npc",0,2101013,"karakasa"
"npc",0,2101014,"aMatchEnt"
"npc",0,2101015,"aMatchScore"
"npc",0,2101016,"aMatchRwd"
"npc",0,2101017,"aMatchPlay"
"npc",0,2101018,"aMatchMove"
"npc",0,2102000,"get_ticket"
"npc",0,2102001,"goOutWaitingRoom"
"npc",0,2102002,"sell_ticket"
"npc",0,2103000,"ariant_oasis"
"npc",0,2103001,"secret_wall"
"npc",0,2103002,"ariant_ring"
"npc",0,2103003,"ariant_house1"
"npc",0,2103004,"ariant_house2"
"npc",0,2103005,"ariant_house3"
"npc",0,2103006,"ariant_house4"
"npc",0,2103008,"thief_in2"
"npc",0,2103009,"ariant_gold1"
"npc",0,2103010,"ariant_gold2"
"npc",0,2103011,"ariant_gold3"
"npc",0,2103012,"ariant_gold4"
"npc",0,2103013,"dooat"
"npc",0,2110005,"nihal_taxi"
"npc",0,2111000,"jenu_homun"
"npc",0,2111003,"snow_rose"
"npc",0,2111006,"drang_room1"
"npc",0,2111010,"magatia_dark1"
"npc",0,2111011,"absence_wall"
"npc",0,2111012,"absence_box"
"npc",0,2111013,"absence_frame"
"npc",0,2111014,"absence_desk"
"npc",0,2111015,"alcadno_potion"
"npc",0,2111017,"pipe1"
"npc",0,2111018,"pipe2"
"npc",0,2111019,"pipe3"
"npc",0,2111020,"alceCircle1"
"npc",0,2111021,"alceCircle2"
"npc",0,2111022,"alceCircle3"
"npc",0,2111023,"alceCircle4"
"npc",0,2111024,"secretNPC"
"npc",0,2111025,"sca_auto"
"npc",0,2111026,"sca_DitRoi"
"npc",0,2112000,"yurete_mad"
"npc",0,2112001,"yurete_dead"
"npc",0,2112002,"yurete_wise"
"npc",0,2112003,"juliet_start"
"npc",0,2112004,"romio_start"
"npc",0,2112005,"juliet"
"npc",0,2112006,"romio"
"npc",0,2112007,"rnj_look"
"npc",0,2112008,"juliet_dead"
"npc",0,2112009,"romio_dead"
"npc",0,2112010,"yurete2_mad"
"npc",0,2112011,"yurete2_dead"
"npc",0,2112012,"yurete2_wise"
"npc",0,2112013,"jnr_look"
"npc",0,2112016,"q3367npc"
"npc",0,2120001,"gateKeeper"
"npc",0,2120002,"halloweenpq"
"npc",0,2120004,"giveUpDoll"
"npc",0,2120009,"hwreward"
"npc",0,2121001,"tablet01"
"npc",0,2121002,"tablet02"
"npc",0,2121003,"tablet03"
"npc",0,2121004,"tablet04"
"npc",0,2121005,"musicNote"
"npc",0,2121006,"picture1"
"npc",0,2121007,"picture4"
"npc",0,2121008,"picture5"
"npc",0,2121009,"picture3"
"npc",0,2121010,"picture2"
"npc",0,2121011,"hwpicture"
"npc",0,2133000,"party6_entry"
"npc",0,2133001,"party6_elin"
"npc",0,2133002,"party6_giveUp"
"npc",0,2133004,"party6_spra"
"npc",0,2141000,"PinkBeen_Summon"
"npc",0,2141001,"PinkBeen_accept"
"npc",0,2141002,"PinkBeen_Out"
"npc",0,9000000,"Event00"
"npc",0,9000001,"Event00"
"npc",0,9000002,"Event02"
"npc",0,9000003,"Event03"
"npc",0,9000004,"Event03"
"npc",0,9000005,"Event03"
"npc",0,9000006,"Event03"
"npc",0,9000007,"Event04"
"npc",0,9000008,"Event05"
"npc",0,9000009,"Event03_1"
"npc",0,9000010,"Event06"
"npc",0,9000011,"Event00"
"npc",0,9000012,"Event09"
"npc",0,9000013,"Event00"
"npc",0,9000018,"pc_weapon"
"npc",0,9000020,"world_trip"
"npc",0,9000021,"getRank"
"npc",0,9000035,"M_info"
"npc",0,9000036,"A_office"
"npc",0,9000037,"Raid_solo"
"npc",0,9000038,"Raid_party"
"npc",0,9000039,"watermelon_out"
"npc",0,9000040,"medal_rank"
"npc",0,9000041,"Donation"
"npc",0,9000042,"babyBird"
"npc",0,9000043,"lostDoyo"
"npc",0,9000044,"itemDoyo"
"npc",0,9000045,"arrivalDoyo"
"npc",0,9000047,"escapeFromDungeon"
"npc",0,9000048,"jackynSkytree"
"npc",0,9000049,"treasureHunter"
"npc",0,9000050,"pinokio_npc"
"npc",0,9000051,"pinokio_npc2"
"npc",0,9000052,"BF_sheep"
"npc",0,9000053,"BF_wolf"
"npc",0,9000054,"BF_master"
"npc",0,9000055,"armi"
"npc",0,9000056,"witchRewordS"
"npc",0,9000057,"witchRewordM"
"npc",0,9000058,"witchRewordH"
"npc",0,9000059,"PB_bossOut"
"npc",0,9000060,"PB_bossOut"
"npc",0,9000070,"fullmoon"
"npc",0,9001000,"cokeTown"
"npc",0,9001100,"moonFlower"
"npc",0,9001102,"giveupMoonPicture"
"npc",0,9001105,"spaceGaGa_papa"
"npc",0,9001107,"outRabbitJump"
"npc",0,9001108,"outmoonFlower"
"npc",0,9010001,"Event07"
"npc",0,9010002,"Event07"
"npc",0,9010003,"Event07"
"npc",0,9010004,"ludiEvent"
"npc",0,9010005,"child00"
"npc",0,9010006,"child01"
"npc",0,9010007,"child02"
"npc",0,9010010,"bingoBoard"
"npc",0,9010014,"firework"
"npc",0,9010015,"cheeseEnter"
"npc",0,9010021,"RyuhoRank"
"npc",0,9010022,"unityPortal"
"npc",0,9020000,"party1_enter"
"npc",0,9020001,"party1_play"
"npc",0,9020002,"party1_out"
"npc",0,9040000,"guildquest1_enter"
"npc",0,9040001,"guildquest1_clear"
"npc",0,9040002,"guildquest1_comment"
"npc",0,9040003,"guildquest1_NPC1"
"npc",0,9040005,"guildquest1_out"
"npc",0,9040006,"guildquest1_baseball"
"npc",0,9040007,"guildquest1_will"
"npc",0,9040009,"guildquest1_statue"
"npc",0,9040010,"guildquest1_bonus"
"npc",0,9040011,"guildquest1_board"
"npc",0,9040012,"guildquest1_knight"
"npc",0,9060000,"tamepig_out"
"npc",0,9100000,"neko1"
"npc",0,9100001,"neko2"
"npc",0,9100002,"neko3"
"npc",0,9100003,"neko4"
"npc",0,9100004,"neko5"
"npc",0,9100100,"gachapon1"
"npc",0,9100101,"gachapon2"
"npc",0,9100102,"gachapon3"
"npc",0,9100103,"gachapon4"
"npc",0,9100104,"gachapon5"
"npc",0,9100105,"gachapon6"
"npc",0,9100106,"gachapon7"
"npc",0,9100107,"gachapon8"
"npc",0,9100108,"gachapon9"
"npc",0,9100109,"gachapon10"
"npc",0,9100110,"gachapon11"
"npc",0,9100111,"gachapon9"
"npc",0,9100112,"gachapon13"
"npc",0,9100117,"gachapon18"
"npc",0,9100200,"Pachinko_machine"
"npc",0,9100201,"Pachinko_machine"
"npc",0,9100202,"Pachinko_machine"
"npc",0,9100203,"Pachinko_machine"
"npc",0,9100204,"Pachinko_machine"
"npc",0,9100205,"Pachinko_machine"
"npc",0,9101001,"begin_jp2"
"npc",0,9102100,"multipet_success"
"npc",0,9102101,"multipet_fail"
"npc",0,9103000,"party_ludimaze_goal"
"npc",0,9103001,"party_ludimaze_enter"
"npc",0,9103002,"party_ludimaze_success"
"npc",0,9103003,"party_ludimaze_fail"
"npc",0,9105004,"08_xmas"
"npc",0,9105005,"out_08Xmas"
"npc",0,9110015,"surfing"
"npc",0,9120003,"in_bath"
"npc",0,9120010,"whitto"
"npc",0,9120013,"boss_cat"
"npc",0,9120015,"con1"
"npc",0,9120020,"zcap_out"
"npc",0,9120022,"hina_out"
"npc",0,9120100,"hair_shouwa1"
"npc",0,9120101,"hair_shouwa2"
"npc",0,9120102,"face_shouwa1"
"npc",0,9120103,"face_shouwa2"
"npc",0,9120200,"con2"
"npc",0,9120201,"s_dungeon"
"npc",0,9120202,"con3"
"npc",0,9120203,"con4"
"npc",0,9200001,"easter"
"npc",0,9200100,"lens_henesys1"
"npc",0,9200101,"lens_orbis1"
"npc",0,9200102,"lens_ludi1"
"npc",0,9201000,"EngageRing"
"npc",0,9201001,"ProofHene"
"npc",0,9201002,"HighPriest"
"npc",0,9201003,"MeetPare"
"npc",0,9201004,"abouttheWedding"
"npc",0,9201005,"cathedral"
"npc",0,9201006,"watingCathedral"
"npc",0,9201007,"beginCeremony"
"npc",0,9201008,"vegas"
"npc",0,9201009,"beginVagasCeremony"
"npc",0,9201010,"waitingChapel"
"npc",0,9201012,"vegasCoordinator"
"npc",0,9201013,"cathedralCoordinator"
"npc",0,9201014,"presentExchange"
"npc",0,9201015,"hair_wedding1"
"npc",0,9201016,"hair_wedding2"
"npc",0,9201017,"lens_wedding1"
"npc",0,9201018,"face_wedding1"
"npc",0,9201019,"face_wedding2"
"npc",0,9201021,"weddingParty"
"npc",0,9201022,"Thomas"
"npc",0,9201023,"ProofKern"
"npc",0,9201024,"ProofElli"
"npc",0,9201025,"ProofOrbi"
"npc",0,9201026,"ProofLudi"
"npc",0,9201027,"ProofPeri"
"npc",0,9201028,"halloweenTrick"
"npc",0,9201033,"go_xmas06"
"npc",0,9201039,"hair_wedding3"
"npc",0,9201041,"targetsay"
"npc",0,9201042,"TickShop"
"npc",0,9201043,"PartyAmoria_enter"
"npc",0,9201044,"PartyAmoria_play"
"npc",0,9201045,"PartyAmoria_play3"
"npc",0,9201046,"PartyAmoria_playBo"
"npc",0,9201047,"PartyAmoria_play2"
"npc",0,9201048,"PartyAmoria_enter2"
"npc",0,9201049,"ExitWedding"
"npc",0,9201050,"About_NLC"
"npc",0,9201051,"naomi"
"npc",0,9201052,"refine_TCG1"
"npc",0,9201054,"Lost_Trans1"
"npc",0,9201056,"NLC_Taxi"
"npc",0,9201057,"NLC_ticketing"
"npc",0,9201061,"NLC_LensExp"
"npc",0,9201062,"NLC_LensVip"
"npc",0,9201063,"NLC_HairExp"
"npc",0,9201064,"NLC_HairVip"
"npc",0,9201065,"NLC_Skin"
"npc",0,9201068,"NLC_Move"
"npc",0,9201069,"NLC_FaceVip"
"npc",0,9201070,"NLC_FaceExp"
"npc",0,9201071,"Sunstone"
"npc",0,9201072,"Moonstone"
"npc",0,9201073,"Tombstone"
"npc",0,9201076,"halloween_Lud"
"npc",0,9201082,"naomi1"
"npc",0,9201083,"Lost_Trans2"
"npc",0,9201084,"Tomb_Hall"
"npc",0,9201091,"pongo_present"
"npc",0,9201092,"grubber_present"
"npc",0,9201093,"suzy_lost"
"npc",0,9201094,"TCG3"
"npc",0,9201095,"Gear_Upgrade"
"npc",0,9201096,"Jack_Additional "
"npc",0,9201097,"Badge_Bounty"
"npc",0,9201098,"Brewing_Storm"
"npc",0,9201099,"MoStore"
"npc",0,9201100,"Fallen_Woods"
"npc",0,9201101,"tcg4_7"
"npc",0,9201102,"tcg4_8"
"npc",0,9201103,"tcg4_6_8241"
"npc",0,9201104,"Masteria_Sage01"
"npc",0,9201105,"Masteria_Sage02"
"npc",0,9201106,"TCG5"
"npc",0,9201107,"glpqstatue0"
"npc",0,9201108,"glpqstatue1"
"npc",0,9201109,"glpqstatue2"
"npc",0,9201110,"glpqstatue3"
"npc",0,9201111,"glpqstatue4"
"npc",0,9201112,"glpqStory"
"npc",0,9201113,"glpqStart"
"npc",0,9201114,"glpqEnter"
"npc",0,9201115,"glpqStory2"
"npc",0,9201117,"gachaponbox1"
"npc",0,9201123,"goPerion"
"npc",0,9201124,"goHenesys"
"npc",0,9201125,"goElinia"
"npc",0,9201126,"goKerningCity"
"npc",0,9201127,"goNautilus"
"npc",0,9201128,"Enter_Darkportal_W"
"npc",0,9201129,"Enter_Darkportal_M"
"npc",0,9201130,"Enter_Darkportal_T"
"npc",0,9201131,"Enter_Darkportal_H"
"npc",0,9201132,"Enter_Darkportal_P"
"npc",0,9201133,"Astaroth_door"
"npc",0,9201134,"Malay_Warp"
"npc",0,9201135,"Malay_Warp2"
"npc",0,9201139,"oliviaMirror1"
"npc",0,9201140,"oliviaMirror2"
"npc",0,9201141,"oliviaMirror3"
"npc",0,9201142,"witchMaladyGL"
"npc",0,9201143,"oliviaEnter"
"npc",0,9209000,"dealerA"
"npc",0,9209001,"MapleMarket7_Enter"
"npc",0,9209100,"xmas_party_ent"
"npc",0,9209101,"xmas_sale"
"npc",0,9220004,"wxmasB"
"npc",0,9220018,"guyfawkes_ch"
"npc",0,9220019,"guyfawkes_milla2"
"npc",0,9220020,"guyfawkes_ch2"
"npc",0,9270017,"goback_kerning"
"npc",0,9270018,"goback_cbd"
"npc",0,9270023,"face_sg2"
"npc",0,9270024,"face_sg1"
"npc",0,9270025,"skin_sg1"
"npc",0,9270026,"lens_sg1"
"npc",0,9270033,"captinsg01"
"npc",0,9270036,"hair_sg1"
"npc",0,9270037,"hair_sg2"
"npc",0,9270038,"sellticket_cbd"
"npc",0,9270041,"sellticket_sg"
"npc",0,9270047,"MalaysiaBoss_GL"
"npc",0,9300010,"necklaceGL"
"npc",0,9310058,"Jump_event"
"npc",0,9310083,"Jump_event_out"
"npc",0,9330021,"hair_taiwan1"
"npc",0,9330022,"hair_taiwan2"
"npc",0,9330023,"face_taiwan1"
"npc",0,9330024,"face_taiwan2"
"npc",0,9330025,"skin_taiwan1"
"npc",0,9330028,"nightmarket01"
"npc",0,9330032,"nightmarket02"
"npc",0,9900000,"levelUP"
"npc",0,9900001,"levelUP2"
"npc",0,9901000,"rank_user"
"npc",0,9901001,"rank_user"
"npc",0,9901002,"rank_user"
"npc",0,9901003,"rank_user"
"npc",0,9901004,"rank_user"
"npc",0,9901005,"rank_user"
"npc",0,9901006,"rank_user"
"npc",0,9901007,"rank_user"
"npc",0,9901008,"rank_user"
"npc",0,9901009,"rank_user"
"npc",0,9901010,"rank_user"
"npc",0,9901011,"rank_user"
"npc",0,9901012,"rank_user"
"npc",0,9901013,"rank_user"
"npc",0,9901014,"rank_user"
"npc",0,9901015,"rank_user"
"npc",0,9901016,"rank_user"
"npc",0,9901017,"rank_user"
"npc",0,9901018,"rank_user"
"npc",0,9901019,"rank_user"
"npc",0,9901100,"rank_user"
"npc",0,9901101,"rank_user"
"npc",0,9901102,"rank_user"
"npc",0,9901103,"rank_user"
"npc",0,9901104,"rank_user"
"npc",0,9901105,"rank_user"
"npc",0,9901106,"rank_user"
"npc",0,9901107,"rank_user"
"npc",0,9901108,"rank_user"
"npc",0,9901109,"rank_user"
"npc",0,9901110,"rank_user"
"npc",0,9901111,"rank_user"
"npc",0,9901112,"rank_user"
"npc",0,9901113,"rank_user"
"npc",0,9901114,"rank_user"
"npc",0,9901115,"rank_user"
"npc",0,9901116,"rank_user"
"npc",0,9901117,"rank_user"
"npc",0,9901118,"rank_user"
"npc",0,9901119,"rank_user"
"npc",0,9901200,"rank_user"
"npc",0,9901201,"rank_user"
"npc",0,9901202,"rank_user"
"npc",0,9901203,"rank_user"
"npc",0,9901204,"rank_user"
"npc",0,9901205,"rank_user"
"npc",0,9901206,"rank_user"
"npc",0,9901207,"rank_user"
"npc",0,9901208,"rank_user"
